time,x1,x2,x3,x4
0.000000000000000000e+00,9.999999999999998890e-01,4.999999999999999445e-01,2.999999999999999889e-01,2.000000000000000389e-01
1.005025125628140753e-01,1.053791752385207836e+00,5.326655011552737795e-01,3.131543541738437408e-01,2.108211407863588294e-01
2.010050251256281506e-01,1.105854157663219040e+00,5.708014274285951872e-01,3.286322175501465437e-01,2.232962082729225139e-01
3.015075376884422398e-01,1.154867728834574780e+00,6.151027879691066680e-01,3.466353728223871000e-01,2.375956532144183897e-01
4.020100502512563012e-01,1.199301142616185922e+00,6.662852551508756660e-01,3.673507689547599320e-01,2.538846439166098645e-01
5.025125628140704181e-01,1.237440159601604472e+00,7.250402388019967503e-01,3.909287171951643103e-01,2.723090453873172057e-01
6.030150753768844796e-01,1.267448422019630483e+00,7.919676759774991748e-01,4.174536205894435192e-01,2.929761950472772880e-01
7.035175879396985410e-01,1.287467715673487501e+00,8.674832209197907984e-01,4.469071831434696107e-01,3.159302419755480318e-01
8.040201005025126024e-01,1.295760484329832485e+00,9.517019019327851437e-01,4.791265709320003952e-01,3.411233959380141068e-01
9.045226130653266639e-01,1.290891092079031743e+00,1.044306211407488805e+00,5.137624232374435884e-01,3.683859472656617617e-01
1.005025125628140836e+00,1.271925704714274907e+00,1.144419035696140785e+00,5.502454940350373080e-01,3.974005591121930747e-01
1.105527638190954898e+00,1.238621720231306789e+00,1.250509182287926180e+00,5.877726514230333654e-01,4.276876835943571598e-01
1.206030150753768959e+00,1.191563381569791247e+00,1.360364853703520005e+00,6.253234434777893425e-01,4.586096893794862073e-01
1.306532663316583021e+00,1.132200652964068244e+00,1.471165895796603840e+00,6.617145927990412124e-01,4.893992599765660811e-01
1.407035175879397082e+00,1.062763459649498143e+00,1.579667224949147242e+00,6.956911181432967606e-01,5.192125258055596548e-01
1.507537688442211143e+00,9.860527470103614966e-01,1.682476911456867841e+00,7.260420936608686926e-01,5.472007033999652936e-01
1.608040201005025205e+00,9.051441490624673181e-01,1.776381922497543675e+00,7.517197936789343782e-01,5.725878002127494648e-01
1.708542713567839266e+00,8.230652794507479220e-01,1.858656945444016939e+00,7.719383084285517116e-01,5.947394032826712751e-01
1.809045226130653328e+00,7.425123210230948345e-01,1.927294696936080021e+00,7.862325379617338683e-01,6.132096274260473434e-01
1.909547738693467389e+00,6.656552122142592731e-01,1.981119707846485500e+00,7.944697114006493699e-01,6.277595633769342820e-01
2.010050251256281673e+00,5.940500151760571557e-01,2.019781211630980344e+00,7.968180245359317571e-01,6.383481924952665310e-01
2.110552763819095734e+00,5.286487961550162540e-01,2.043648664982421259e+00,7.936855863677011458e-01,6.451024887234653171e-01
2.211055276381909795e+00,4.698778324638836490e-01,2.053650067097723131e+00,7.856465368508801506e-01,6.482764259204563118e-01
2.311557788944723857e+00,4.177513919092709083e-01,2.051091479660426486e+00,7.733680948518378839e-01,6.482074994398472345e-01
2.412060301507537918e+00,3.719921656747958161e-01,2.037489121371869771e+00,7.575485425965080566e-01,6.452774998464475553e-01
2.512562814070351980e+00,3.321397052171540243e-01,2.014431209128375144e+00,7.388702919329838137e-01,6.398809235487467051e-01
2.613065326633166041e+00,2.976375901615495034e-01,1.983475942300173767e+00,7.179684393530519904e-01,6.324020585672914807e-01
2.713567839195980103e+00,2.678973679006019792e-01,1.946083961708535703e+00,6.954127211255974883e-01,6.232000823143178936e-01
2.814070351758794164e+00,2.423415220368557166e-01,1.903579463856614584e+00,6.716997435486113943e-01,6.126006814337234818e-01
2.914572864321608225e+00,2.204296430611894786e-01,1.857132943257021607e+00,6.472524228207119368e-01,6.008925294150413432e-01
3.015075376884422287e+00,2.016721812073231646e-01,1.807758900022025772e+00,6.224239665117642373e-01,5.883270831802749345e-01
3.115577889447236348e+00,1.856357444488627162e-01,1.756322940325791171e+00,5.975043433393222303e-01,5.751204380421781615e-01
3.216080402010050410e+00,1.719429893584287494e-01,1.703554197598615261e+00,5.727278406696285629e-01,5.614563308744620063e-01
3.316582914572864471e+00,1.602693627781833496e-01,1.650060181241047808e+00,5.482807797562782026e-01,5.474896499997607968e-01
3.417085427135678533e+00,1.503382544624743689e-01,1.596342158458541327e+00,5.243088347237407909e-01,5.333500352738727024e-01
3.517587939698492594e+00,1.419155420008462731e-01,1.542809961876051794e+00,5.009236761834037210e-01,5.191453270356933825e-01
3.618090452261306655e+00,1.348041336585083516e-01,1.489795604175300214e+00,4.782088181576475971e-01,5.049647304923078339e-01
