time,connectedness
0.000000000000000000e+00,1.998423746820255253e+00
1.005025125628140753e-01,2.101427128290672464e+00
2.010050251256281506e-01,2.210408598260466206e+00
3.015075376884422398e-01,2.325149479247276663e+00
4.020100502512563012e-01,2.445118663596520747e+00
5.025125628140704181e-01,2.569342985651308808e+00
6.030150753768844796e-01,2.696260049730495378e+00
7.035175879396985410e-01,2.823571412002872094e+00
8.040201005025126024e-01,2.948129819676016616e+00
9.045226130653266639e-01,3.065909500742274307e+00
1.005025125628140836e+00,3.172115107797654154e+00
1.105527638190954898e+00,3.261478054671608007e+00
1.206030150753768959e+00,3.328752735536762319e+00
1.306532663316583021e+00,3.369365545424099384e+00
1.407035175879397082e+00,3.380099670770729148e+00
1.507537688442211143e+00,3.359652107225052475e+00
1.608040201005025205e+00,3.308906237823932894e+00
1.708542713567839266e+00,3.230834484254819561e+00
1.809045226130653328e+00,3.130053789823934007e+00
1.909547738693467389e+00,3.012157373102201330e+00
2.010050251256281673e+00,2.882992507224945378e+00
2.110552763819095734e+00,2.748038590536379111e+00
2.211055276381909795e+00,2.611978107090404677e+00
2.311557788944723857e+00,2.478483617294953145e+00
2.412060301507537918e+00,2.350189331683046223e+00
2.512562814070351980e+00,2.228789723405450118e+00
2.613065326633166041e+00,2.115205354204057642e+00
2.713567839195980103e+00,2.009768188166408454e+00
2.814070351758794164e+00,1.912395182806856386e+00
2.914572864321608225e+00,1.822734322633761561e+00
3.015075376884422287e+00,1.740277979050993462e+00
3.115577889447236348e+00,1.664445361033733750e+00
3.216080402010050410e+00,1.594638827538698678e+00
3.316582914572864471e+00,1.530279828939404396e+00
3.417085427135678533e+00,1.470829937965739465e+00
3.517587939698492594e+00,1.415801470133075668e+00
3.618090452261306655e+00,1.364761204188610355e+00
3.718592964824120717e+00,1.317329811838519715e+00
3.819095477386934778e+00,1.273178814964597505e+00
3.919597989949748840e+00,1.232026232872410088e+00
4.020100502512563345e+00,1.193631756467678606e+00
4.120603015075377407e+00,1.157791908558507554e+00
4.221105527638191468e+00,1.124335495401670215e+00
4.321608040201005529e+00,1.093119462192831737e+00
4.422110552763819591e+00,1.064025203356705029e+00
4.522613065326633652e+00,1.036955371285277261e+00
4.623115577889447714e+00,1.011831143190044857e+00
4.723618090452261775e+00,9.885898996339328448e-01
4.824120603015075837e+00,9.671832750812734414e-01
4.924623115577889898e+00,9.475755337826012870e-01
5.025125628140703959e+00,9.297422280141065531e-01
5.125628140703518021e+00,9.136690959738527074e-01
5.226130653266332082e+00,8.993511630219914732e-01
5.326633165829146144e+00,8.867920126649121437e-01
5.427135678391960205e+00,8.760031987339406134e-01
5.527638190954774267e+00,8.670037732326223434e-01
5.628140703517588328e+00,8.598199072265257925e-01
5.728643216080402389e+00,8.544845851769586886e-01
5.829145728643216451e+00,8.510373554764149029e-01
5.929648241206030512e+00,8.495241221298258649e-01
6.030150753768844574e+00,8.499969645817301300e-01
6.130653266331658635e+00,8.525139746768766180e-01
6.231155778894472697e+00,8.571391017915036548e-01
6.331658291457286758e+00,8.639419993821848553e-01
6.432160804020100819e+00,8.729978686683502742e-01
6.532663316582914881e+00,8.843872979850198046e-01
6.633165829145728942e+00,8.981960995858326857e-01
6.733668341708543004e+00,9.145151493871688242e-01
6.834170854271357065e+00,9.334402393215819327e-01
6.934673366834171127e+00,9.550719565495563446e-01
7.035175879396985188e+00,9.795156086088900871e-01
7.135678391959799249e+00,1.006881218381338483e+00
7.236180904522613311e+00,1.037283617072124242e+00
7.336683417085427372e+00,1.070842666532268783e+00
7.437185929648241434e+00,1.107683643170197296e+00
7.537688442211055495e+00,1.147937812886295816e+00
7.638190954773869557e+00,1.191743217741743521e+00
7.738693467336683618e+00,1.239245677320976347e+00
7.839195979899497679e+00,1.290599976535413029e+00
7.939698492462311741e+00,1.345971160719045656e+00
8.040201005025126690e+00,1.405535779670934016e+00
8.140703517587940752e+00,1.469482803167559304e+00
8.241206030150754813e+00,1.538013756238430840e+00
8.341708542713568875e+00,1.611341374534825288e+00
8.442211055276382936e+00,1.689685737716130731e+00
8.542713567839196998e+00,1.773266383372075650e+00
8.643216080402011059e+00,1.862288328623701084e+00
8.743718592964825120e+00,1.956919254036924238e+00
8.844221105527639182e+00,2.057254418809876473e+00
8.944723618090453243e+00,2.163265370385313080e+00
9.045226130653267305e+00,2.274728550180003861e+00
9.145728643216081366e+00,2.391131075659517435e+00
9.246231155778895427e+00,2.511554133891427565e+00
9.346733668341709489e+00,2.634540496256974507e+00
9.447236180904523550e+00,2.757962295382748952e+00
9.547738693467337612e+00,2.878917917502114676e+00
9.648241206030151673e+00,2.993699944576468042e+00
9.748743718592965735e+00,3.097883754616656660e+00
9.849246231155779796e+00,3.186579711137201620e+00
9.949748743718593857e+00,3.254864699670596107e+00
1.005025125628140792e+01,3.298357264558386515e+00
1.015075376884422198e+01,3.313841101063061068e+00
1.025125628140703604e+01,3.299795925867633706e+00
1.035175879396985010e+01,3.256693433900150758e+00
1.045226130653266416e+01,3.186969104566296895e+00
1.055276381909547823e+01,3.094672716728115169e+00
1.065326633165829229e+01,2.984891496349529216e+00
1.075376884422110635e+01,2.863092140744680769e+00
1.085427135678392041e+01,2.734524594315337787e+00
1.095477386934673447e+01,2.603785344419508263e+00
1.105527638190954853e+01,2.474573913685761628e+00
1.115577889447236259e+01,2.349625717673110348e+00
1.125628140703517666e+01,2.230774330860016530e+00
1.135678391959799072e+01,2.119089111200316289e+00
1.145728643216080478e+01,2.015041988521501626e+00
1.155778894472361884e+01,1.918671069888034930e+00
1.165829145728643290e+01,1.829722978409767054e+00
1.175879396984924696e+01,1.747766656454300849e+00
1.185929648241206102e+01,1.672278307861837732e+00
1.195979899497487509e+01,1.602701090860569222e+00
1.206030150753768915e+01,1.538484517092149284e+00
1.216080402010050321e+01,1.479108556431253829e+00
1.226130653266331727e+01,1.424096824599972777e+00
1.236180904522613133e+01,1.373022345477765027e+00
1.246231155778894539e+01,1.325508524568432822e+00
1.256281407035175945e+01,1.281227228044955258e+00
1.266331658291457352e+01,1.239895257583109034e+00
1.276381909547738758e+01,1.201270095158684326e+00
1.286432160804020164e+01,1.165145457541451046e+00
1.296482412060301570e+01,1.131346986655814346e+00
1.306532663316582976e+01,1.099728262728509876e+00
1.316582914572864382e+01,1.070167223827209302e+00
1.326633165829145788e+01,1.042563019905151878e+00
1.336683417085427195e+01,1.016833291137254847e+00
1.346733668341708601e+01,9.929118445529878656e-01
1.356783919597990007e+01,9.707466908681802176e-01
1.366834170854271413e+01,9.502984000293291933e-01
1.376884422110552819e+01,9.315387346995490647e-01
1.386934673366834225e+01,9.144495235587501991e-01
1.396984924623115631e+01,8.990217395839192882e-01
1.407035175879397038e+01,8.852547515778761422e-01
1.417085427135678444e+01,8.731557209043213641e-01
1.427135678391959850e+01,8.627391187298807385e-01
1.437185929648241256e+01,8.540263419473385076e-01
1.447236180904522662e+01,8.470454085417257195e-01
1.457286432160804068e+01,8.418307154133347625e-01
1.467336683417085474e+01,8.384228436424514541e-01
1.477386934673366881e+01,8.368683979553250829e-01
1.487437185929648287e+01,8.372198688036888159e-01
1.497487437185929693e+01,8.395355070915671014e-01
1.507537688442211099e+01,8.438792032663626763e-01
1.517587939698492505e+01,8.503203643310981441e-01
1.527638190954773911e+01,8.589337844237775466e-01
