time,linear_connectedness
0.000000000000000000e+00,1.784567433916579349e+00
1.005025125628140753e-01,1.985448548947462477e+00
2.010050251256281506e-01,2.190861908067642361e+00
3.015075376884422398e-01,2.399918227447710883e+00
4.020100502512563012e-01,2.612554726051032006e+00
5.025125628140704181e-01,2.830391465002745743e+00
6.030150753768844796e-01,3.058654811389856398e+00
7.035175879396985410e-01,3.311792605188236038e+00
8.040201005025126024e-01,3.647938575345509804e+00
9.045226130653266639e-01,3.501317784192564897e+00
1.005025125628140836e+00,3.318466092789925437e+00
1.105527638190954898e+00,3.131236298204490787e+00
1.206030150753768959e+00,2.922711324450938619e+00
1.306532663316583021e+00,2.689639674413398129e+00
1.407035175879397082e+00,2.435260916669438558e+00
1.507537688442211143e+00,2.166926047289254420e+00
1.608040201005025205e+00,1.894717918756998021e+00
1.708542713567839266e+00,1.630625194710998427e+00
1.809045226130653328e+00,1.388773522450962750e+00
1.909547738693467389e+00,1.189283086085116903e+00
2.010050251256281673e+00,1.073143549565628296e+00
2.110552763819095734e+00,9.321142885681000800e-01
2.211055276381909795e+00,9.287869217453426085e-01
2.311557788944723857e+00,8.533131831736843198e-01
2.412060301507537918e+00,8.229132236331295758e-01
2.512562814070351980e+00,8.507490640653889713e-01
2.613065326633166041e+00,9.018387630100740404e-01
2.713567839195980103e+00,9.618110841826305046e-01
2.814070351758794164e+00,1.023385795460247438e+00
2.914572864321608225e+00,1.082667226155084483e+00
3.015075376884422287e+00,1.137608399119173885e+00
3.115577889447236348e+00,1.187239057491826788e+00
3.216080402010050410e+00,1.231235389602460817e+00
3.316582914572864471e+00,1.269667060091225652e+00
3.417085427135678533e+00,1.302845712159282687e+00
3.517587939698492594e+00,1.331235982908326010e+00
3.618090452261306655e+00,1.355407837753934919e+00
3.718592964824120717e+00,1.376019074119575691e+00
3.819095477386934778e+00,1.393824005990588866e+00
3.919597989949748840e+00,1.409711684825818434e+00
4.020100502512563345e+00,1.424788310720978668e+00
4.120603015075377407e+00,1.440543841014055637e+00
4.221105527638191468e+00,1.459214898749643829e+00
4.321608040201005529e+00,1.484724285658833631e+00
4.422110552763819591e+00,1.526103148199814186e+00
4.522613065326633652e+00,1.578806217544337587e+00
4.623115577889447714e+00,1.501128837846564146e+00
4.723618090452261775e+00,1.462106527599940531e+00
4.824120603015075837e+00,1.436814608908492552e+00
4.924623115577889898e+00,1.418369023226162984e+00
5.025125628140703959e+00,1.403522220306284485e+00
5.125628140703518021e+00,1.390402656055854891e+00
5.226130653266332082e+00,1.377795828907380393e+00
5.326633165829146144e+00,1.364845068277257045e+00
5.427135678391960205e+00,1.350906082565217048e+00
5.527638190954774267e+00,1.335468678674178955e+00
5.628140703517588328e+00,1.318111627925783624e+00
5.728643216080402389e+00,1.298475495284943992e+00
5.829145728643216451e+00,1.276246025377512305e+00
5.929648241206030512e+00,1.251144254422138724e+00
6.030150753768844574e+00,1.222921322077389128e+00
6.130653266331658635e+00,1.191356962374761519e+00
6.231155778894472697e+00,1.156261289135406711e+00
6.331658291457286758e+00,1.117479978273224317e+00
6.432160804020100819e+00,1.074903418569917779e+00
6.532663316582914881e+00,1.028480983169751450e+00
6.633165829145728942e+00,9.782424162275762392e-01
6.733668341708543004e+00,9.243297135454189295e-01
6.834170854271357065e+00,8.670453381660420122e-01
6.934673366834171127e+00,8.069273443135898116e-01
7.035175879396985188e+00,7.448718487844979697e-01
7.135678391959799249e+00,6.823460417830231606e-01
7.236180904522613311e+00,6.217948050291960405e-01
7.336683417085427372e+00,5.675341784114078525e-01
7.437185929648241434e+00,5.282425763478222347e-01
7.537688442211055495e+00,5.291343142301838665e-01
7.638190954773869557e+00,5.084521676857619576e-01
7.738693467336683618e+00,4.664853999351322167e-01
7.839195979899497679e+00,4.606141541709412590e-01
7.939698492462311741e+00,4.847911660561229352e-01
8.040201005025126690e+00,5.527165487461611626e-01
8.140703517587940752e+00,6.656516195881654330e-01
8.241206030150754813e+00,8.076407410665166209e-01
8.341708542713568875e+00,9.665656402230917710e-01
8.442211055276382936e+00,1.138081349892029692e+00
8.542713567839196998e+00,1.319760789576279514e+00
8.643216080402011059e+00,1.509872421933525555e+00
8.743718592964825120e+00,1.706978414379586972e+00
8.844221105527639182e+00,1.909804075898870579e+00
8.944723618090453243e+00,2.117255829575624304e+00
9.045226130653267305e+00,2.328579153634795951e+00
9.145728643216081366e+00,2.543716868847107904e+00
9.246231155778895427e+00,2.764042189686549467e+00
9.346733668341709489e+00,2.993981351712164507e+00
9.447236180904523550e+00,3.245545425268760109e+00
9.547738693467337612e+00,3.561277590633536771e+00
9.648241206030151673e+00,3.515594228137574717e+00
9.748743718592965735e+00,3.340829595822690568e+00
9.849246231155779796e+00,3.166057443813104832e+00
9.949748743718593857e+00,2.969991237768764503e+00
1.005025125628140792e+01,2.746986535711860800e+00
1.015075376884422198e+01,2.498254404360839676e+00
1.025125628140703604e+01,2.229386630772299593e+00
1.035175879396985010e+01,1.949082297784756168e+00
1.045226130653266416e+01,1.668415583171734440e+00
1.055276381909547823e+01,1.401086353110044369e+00
1.065326633165829229e+01,1.167306460048435079e+00
1.075376884422110635e+01,1.019157171917207005e+00
1.085427135678392041e+01,9.735039187638013791e-01
1.095477386934673447e+01,1.044173445785300469e+00
1.105527638190954853e+01,1.009148579283926761e+00
1.115577889447236259e+01,9.969681826083525156e-01
1.125628140703517666e+01,1.039390577893384737e+00
1.135678391959799072e+01,1.102279137661230646e+00
1.145728643216080478e+01,1.171799813443356264e+00
1.155778894472361884e+01,1.241040204688874438e+00
1.165829145728643290e+01,1.306376589889059359e+00
1.175879396984924696e+01,1.365974638317840384e+00
