time,linear_potential
0.000000000000000000e+00,4.840674650249002120e+00
1.005025125628140753e-01,5.042501081999740897e+00
2.010050251256281506e-01,5.227946057558770399e+00
3.015075376884422398e-01,5.390540009659107845e+00
4.020100502512563012e-01,5.521569835239223956e+00
5.025125628140704181e-01,5.609276701771303664e+00
6.030150753768844796e-01,5.637138644426832101e+00
7.035175879396985410e-01,5.578665035219826152e+00
8.040201005025126024e-01,5.363582561400635385e+00
9.045226130653266639e-01,5.766844766869333228e+00
1.005025125628140836e+00,6.137942166327724713e+00
1.105527638190954898e+00,6.389886458231901045e+00
1.206030150753768959e+00,6.526411389622341019e+00
1.306532663316583021e+00,6.544059791292635708e+00
1.407035175879397082e+00,6.440756713378729792e+00
1.507537688442211143e+00,6.218558165334179932e+00
1.608040201005025205e+00,5.884165796870599152e+00
1.708542713567839266e+00,5.447767438909145277e+00
1.809045226130653328e+00,4.920100133780710649e+00
1.909547738693467389e+00,4.305707966863572267e+00
2.010050251256281673e+00,3.619250081531356855e+00
2.110552763819095734e+00,3.302828330191345696e+00
2.211055276381909795e+00,2.841557734236588306e+00
2.311557788944723857e+00,2.851525408283012819e+00
2.412060301507537918e+00,3.032185120981656823e+00
2.512562814070351980e+00,3.124713621711567413e+00
2.613065326633166041e+00,3.167555493395023181e+00
2.713567839195980103e+00,3.178400672019066953e+00
2.814070351758794164e+00,3.167599959519359576e+00
2.914572864321608225e+00,3.141814800258009299e+00
3.015075376884422287e+00,3.105533702541329433e+00
3.115577889447236348e+00,3.061849986040985350e+00
3.216080402010050410e+00,3.012913205856132759e+00
3.316582914572864471e+00,2.960211183436897819e+00
3.417085427135678533e+00,2.904753356814257170e+00
3.517587939698492594e+00,2.847191325438515719e+00
3.618090452261306655e+00,2.787895987603933534e+00
3.718592964824120717e+00,2.727001526881634774e+00
3.819095477386934778e+00,2.664419919272458692e+00
3.919597989949748840e+00,2.599822693974823018e+00
4.020100502512563345e+00,2.532575536360856638e+00
4.120603015075377407e+00,2.461586066214229707e+00
4.221105527638191468e+00,2.384952922117196117e+00
4.321608040201005529e+00,2.299036318653093769e+00
4.422110552763819591e+00,2.195044389393376871e+00
4.522613065326633652e+00,2.086020540437391269e+00
4.623115577889447714e+00,2.149670569521695995e+00
4.723618090452261775e+00,2.173892034027456344e+00
4.824120603015075837e+00,2.183649417918429148e+00
