time,potential
0.000000000000000000e+00,6.234984514724741800e+00
1.005025125628140753e-01,6.403374307165300650e+00
2.010050251256281506e-01,6.573600213650219182e+00
3.015075376884422398e-01,6.744181877227994448e+00
4.020100502512563012e-01,6.913175871797574423e+00
5.025125628140704181e-01,7.078101969843615393e+00
6.030150753768844796e-01,7.235886515387448092e+00
7.035175879396985410e-01,7.382839486086889558e+00
8.040201005025126024e-01,7.514687184180850466e+00
9.045226130653266639e-01,7.626685230270582316e+00
1.005025125628140836e+00,7.713828271982705154e+00
1.105527638190954898e+00,7.771165469352535382e+00
1.206030150753768959e+00,7.794205724274568148e+00
1.306532663316583021e+00,7.779370521917731374e+00
1.407035175879397082e+00,7.724426345189864485e+00
1.507537688442211143e+00,7.628816565089694635e+00
1.608040201005025205e+00,7.493821602539410875e+00
1.708542713567839266e+00,7.322508521011102722e+00
1.809045226130653328e+00,7.119475645354112814e+00
1.909547738693467389e+00,6.890442954045198576e+00
2.010050251256281673e+00,6.641763508725563092e+00
2.110552763819095734e+00,6.379936986813893540e+00
2.211055276381909795e+00,6.111187715647157681e+00
2.311557788944723857e+00,5.841147591368401670e+00
2.412060301507537918e+00,5.574655156482612561e+00
2.512562814070351980e+00,5.315663102753260816e+00
2.613065326633166041e+00,5.067233658849946032e+00
2.713567839195980103e+00,4.831597027691571178e+00
2.814070351758794164e+00,4.610248509547854034e+00
2.914572864321608225e+00,4.404064319482015044e+00
3.015075376884422287e+00,4.213420539280010146e+00
3.115577889447236348e+00,4.038305481041180478e+00
3.216080402010050410e+00,3.878419376150616937e+00
3.316582914572864471e+00,3.733258825809551595e+00
3.417085427135678533e+00,3.602185821278487410e+00
3.517587939698492594e+00,3.484482192957595537e+00
3.618090452261306655e+00,3.379391188864015128e+00
3.718592964824120717e+00,3.286148280149497225e+00
3.819095477386934778e+00,3.204003288429686513e+00
3.919597989949748840e+00,3.132235432387485030e+00
4.020100502512563345e+00,3.070163042805014175e+00
4.120603015075377407e+00,3.017149156594001624e+00
4.221105527638191468e+00,2.972604321882283518e+00
4.321608040201005529e+00,2.935987167611297632e+00
4.422110552763819591e+00,2.906803300520261590e+00
4.522613065326633652e+00,2.884603437180414343e+00
4.623115577889447714e+00,2.868980927426436178e+00
4.723618090452261775e+00,2.859568889776883172e+00
4.824120603015075837e+00,2.856037217398227135e+00
4.924623115577889898e+00,2.858089577699688189e+00
5.025125628140703959e+00,2.865460528352631542e+00
5.125628140703518021e+00,2.877912786227921238e+00
5.226130653266332082e+00,2.895234703020014511e+00
5.326633165829146144e+00,2.917237958262046238e+00
5.427135678391960205e+00,2.943755488685107835e+00
5.527638190954774267e+00,2.974639652104744236e+00
5.628140703517588328e+00,3.009760618298670032e+00
5.728643216080402389e+00,3.049004976013718338e+00
5.829145728643216451e+00,3.092274541327384885e+00
5.929648241206030512e+00,3.139485349896933286e+00
6.030150753768844574e+00,3.190566813800384871e+00
6.130653266331658635e+00,3.245461022350903946e+00
6.231155778894472697e+00,3.304122165435620317e+00
6.331658291457286758e+00,3.366516057481395929e+00
6.432160804020100819e+00,3.432619739984554830e+00
6.532663316582914881e+00,3.502421140530193266e+00
6.633165829145728942e+00,3.575918766176511721e+00
6.733668341708543004e+00,3.653121408717507013e+00
6.834170854271357065e+00,3.734047838288181875e+00
6.934673366834171127e+00,3.818726459544494301e+00
7.035175879396985188e+00,3.907194900602819487e+00
7.135678391959799249e+00,3.999499498272745868e+00
7.236180904522613311e+00,4.095694632901563992e+00
7.336683417085427372e+00,4.195841851214440865e+00
7.437185929648241434e+00,4.300008694512614582e+00
7.537688442211055495e+00,4.408267120884273638e+00
7.638190954773869557e+00,4.520691371858555740e+00
7.738693467336683618e+00,4.637355084163933050e+00
7.839195979899497679e+00,4.758327383819111134e+00
7.939698492462311741e+00,4.883667620717226932e+00
8.040201005025126690e+00,5.013418305806905728e+00
8.140703517587940752e+00,5.147595700016998066e+00
8.241206030150754813e+00,5.286177377140418798e+00
8.341708542713568875e+00,5.429085949944020051e+00
8.442211055276382936e+00,5.576168026086092411e+00
8.542713567839196998e+00,5.727167377234416712e+00
8.643216080402011059e+00,5.881691309282703450e+00
8.743718592964825120e+00,6.039169387834843583e+00
8.844221105527639182e+00,6.198804107251683071e+00
8.944723618090453243e+00,6.359513933504630678e+00
9.045226130653267305e+00,6.519870565481209468e+00
9.145728643216081366e+00,6.678034404633574894e+00
9.246231155778895427e+00,6.831695184383878683e+00
9.346733668341709489e+00,6.978028385075260687e+00
9.447236180904523550e+00,7.113681989231354308e+00
9.547738693467337612e+00,7.234811320137453983e+00
9.648241206030151673e+00,7.337180523002805543e+00
9.748743718592965735e+00,7.416345767502455111e+00
9.849246231155779796e+00,7.467924034495661445e+00
9.949748743718593857e+00,7.487937314257796295e+00
1.005025125628140792e+01,7.473196016350452275e+00
1.015075376884422198e+01,7.421669110003180414e+00
1.025125628140703604e+01,7.332775020627542162e+00
1.035175879396985010e+01,7.207533900855232822e+00
1.045226130653266416e+01,7.048545574140006487e+00
1.055276381909547823e+01,6.859793205452683118e+00
1.065326633165829229e+01,6.646308364660857393e+00
1.075376884422110635e+01,6.413757613154282389e+00
1.085427135678392041e+01,6.168016693325747646e+00
1.095477386934673447e+01,5.914791201343604143e+00
1.105527638190954853e+01,5.659318757991274929e+00
1.115577889447236259e+01,5.406169255526206641e+00
1.125628140703517666e+01,5.159140380359056977e+00
1.135678391959799072e+01,4.921233592843618609e+00
1.145728643216080478e+01,4.694690576626390666e+00
1.155778894472361884e+01,4.481069015633448060e+00
1.165829145728643290e+01,4.281339721545871946e+00
1.175879396984924696e+01,4.095990899094862137e+00
1.185929648241206102e+01,3.925129237742250421e+00
1.195979899497487509e+01,3.768571786898450071e+00
1.206030150753768915e+01,3.625925452117035874e+00
1.216080402010050321e+01,3.496653079432784139e+00
1.226130653266331727e+01,3.380126568346331517e+00
1.236180904522613133e+01,3.275668233160927478e+00
1.246231155778894539e+01,3.182582054849126152e+00
1.256281407035175945e+01,3.100176562312742856e+00
1.266331658291457352e+01,3.027780922484478943e+00
1.276381909547738758e+01,2.964755743089371620e+00
1.286432160804020164e+01,2.910499796356870839e+00
1.296482412060301570e+01,2.864453678350428412e+00
1.306532663316582976e+01,2.826101247657081927e+00
1.316582914572864382e+01,2.794969474818520538e+00
1.326633165829145788e+01,2.770627208281247533e+00
1.336683417085427195e+01,2.752683215419399421e+00
1.346733668341708601e+01,2.740783804944373792e+00
1.356783919597990007e+01,2.734610228466947568e+00
1.366834170854271413e+01,2.733876007481212511e+00
1.376884422110552819e+01,2.738324288026857900e+00
1.386934673366834225e+01,2.747725298404581018e+00
1.396984924623115631e+01,2.761873960497844394e+00
1.407035175879397038e+01,2.780587680968572784e+00
1.417085427135678444e+01,2.803704338238021343e+00
1.427135678391959850e+01,2.831080471646794106e+00
1.437185929648241256e+01,2.862589671748708042e+00
