time,R_energy_linear
0.000000000000000000e+00,-1.076915999795786894e+00
1.005025125628140753e-01,-1.398482685712504558e+00
2.010050251256281506e-01,-1.816358025383017161e+00
3.015075376884422398e-01,-2.352341963536191738e+00
4.020100502512563012e-01,-3.027095953151421437e+00
5.025125628140704181e-01,-3.855526404636020477e+00
6.030150753768844796e-01,-4.840154451863862839e+00
7.035175879396985410e-01,-5.963091808609609856e+00
8.040201005025126024e-01,-7.178408015016342958e+00
9.045226130653266639e-01,-8.407959364692040083e+00
1.005025125628140836e+00,-9.544380351434810450e+00
1.105527638190954898e+00,-1.046394655091551229e+01
1.206030150753768959e+00,-1.104882804658114281e+01
1.306532663316583021e+00,-1.121366964874839667e+01
1.407035175879397082e+00,-1.092781886296005744e+01
1.507537688442211143e+00,-1.022456497256216146e+01
1.608040201005025205e+00,-9.193362218283564147e+00
1.708542713567839266e+00,-7.957984932655668864e+00
1.809045226130653328e+00,-6.648936864765798482e+00
1.909547738693467389e+00,-5.379390752819836585e+00
2.010050251256281673e+00,-4.230698012464668700e+00
2.110552763819095734e+00,-3.248656332026555127e+00
2.211055276381909795e+00,-2.447963257898993383e+00
2.311557788944723857e+00,-1.820819073017101442e+00
2.412060301507537918e+00,-1.346144284112940737e+00
2.512562814070351980e+00,-9.972403890350968192e-01
2.613065326633166041e+00,-7.470931954762689564e-01
2.713567839195980103e+00,-5.714281182639298073e-01
2.814070351758794164e+00,-4.500474778224113903e-01
2.914572864321608225e+00,-3.670529180225378107e-01
3.015075376884422287e+00,-3.104565359444176331e-01
3.115577889447236348e+00,-2.715321694138610464e-01
3.216080402010050410e+00,-2.441195232163668460e-01
3.316582914572864471e+00,-2.239912008144421540e-01
3.417085427135678533e+00,-2.083267891911164127e-01
3.517587939698492594e+00,-1.953007836331432934e-01
3.618090452261306655e+00,-1.837730063420785487e-01
3.718592964824120717e+00,-1.730634347993925126e-01
3.819095477386934778e+00,-1.627927245217874186e-01
3.919597989949748840e+00,-1.527718885586945297e-01
4.020100502512563345e+00,-1.429276500185871768e-01
4.120603015075377407e+00,-1.332530883944549049e-01
4.221105527638191468e+00,-1.237758396065177929e-01
4.321608040201005529e+00,-1.145382527420041874e-01
4.422110552763819591e+00,-1.055855347732470167e-01
4.522613065326633652e+00,-9.695912384871060996e-02
4.623115577889447714e+00,-8.869340200860155454e-02
4.723618090452261775e+00,-8.081447620012970068e-02
4.824120603015075837e+00,-7.334018390269970988e-02
4.924623115577889898e+00,-6.628077734611753646e-02
5.025125628140703959e+00,-5.963993836977680985e-02
5.125628140703518021e+00,-5.341591059245507506e-02
5.226130653266332082e+00,-4.760262323512874649e-02
5.326633165829146144e+00,-4.219073794057169591e-02
5.427135678391960205e+00,-3.716858666180587745e-02
5.527638190954774267e+00,-3.252299035635675822e-02
5.628140703517588328e+00,-2.823996171918413331e-02
5.728643216080402389e+00,-2.430530233150245134e-02
5.829145728643216451e+00,-2.070510869890059696e-02
5.929648241206030512e+00,-1.742620262880000687e-02
6.030150753768844574e+00,-1.445650189852140492e-02
6.130653266331658635e+00,-1.178534633701622779e-02
6.231155778894472697e+00,-9.403794113229588941e-03
6.331658291457286758e+00,-7.304901899899028488e-03
6.432160804020100819e+00,-5.484002159036146205e-03
6.532663316582914881e+00,-3.938990546786279301e-03
6.633165829145728942e+00,-2.670636476999114790e-03
6.733668341708543004e+00,-1.682930541534657628e-03
6.834170854271357065e+00,-9.834836085872841402e-04
6.934673366834171127e+00,-5.839944145953091534e-04
7.035175879396985188e+00,-5.008051740574780662e-04
7.135678391959799249e+00,-7.555687182874657208e-04
7.236180904522613311e+00,-1.376056004902755569e-03
7.336683417085427372e+00,-2.397140054507615296e-03
7.437185929648241434e+00,-3.862001987260149389e-03
7.537688442211055495e+00,-5.823617628228202649e-03
7.638190954773869557e+00,-8.346599973535791597e-03
7.738693467336683618e+00,-1.150949503469207193e-02
7.839195979899497679e+00,-1.540765759360220206e-02
7.939698492462311741e+00,-2.015687134027308383e-02
8.040201005025126690e+00,-2.589792662210170168e-02
8.140703517587940752e+00,-3.280243185463361383e-02
8.241206030150754813e+00,-4.108021366712528988e-02
8.341708542713568875e+00,-5.098875920728199868e-02
8.442211055276382936e+00,-6.284527305746105685e-02
8.542713567839196998e+00,-7.704206088240467265e-02
8.643216080402011059e+00,-9.406610635056297798e-02
8.743718592964825120e+00,-1.145238654026475011e-01
8.844221105527639182e+00,-1.391724344072876318e-01
8.944723618090453243e+00,-1.689583095905397847e-01
9.045226130653267305e+00,-2.050648593341173054e-01
9.145728643216081366e+00,-2.489692520396631081e-01
9.246231155778895427e+00,-3.025087170149353688e-01
9.346733668341709489e+00,-3.679543875853595325e-01
9.447236180904523550e+00,-4.480882080626753527e-01
9.547738693467337612e+00,-5.462740330170950953e-01
9.648241206030151673e+00,-6.665076657481293632e-01
9.748743718592965735e+00,-8.134218989511401432e-01
9.849246231155779796e+00,-9.922118674074432709e-01
9.949748743718593857e+00,-1.208434454162724991e+00
1.005025125628140792e+01,-1.467626100807323697e+00
1.015075376884422198e+01,-1.774681595979309190e+00
1.025125628140703604e+01,-2.132950495157170501e+00
1.035175879396985010e+01,-2.543047787366821133e+00
1.045226130653266416e+01,-3.001450003870552496e+00
1.055276381909547823e+01,-3.499058128518673705e+00
1.065326633165829229e+01,-4.020038903428524435e+00
1.075376884422110635e+01,-4.541366850024595614e+00
1.085427135678392041e+01,-5.033517590126073138e+00
1.095477386934673447e+01,-5.462640862213479664e+00
1.105527638190954853e+01,-5.794232855600764509e+00
1.115577889447236259e+01,-5.997873142781244837e+00
1.125628140703517666e+01,-6.052130148716885039e+00
1.135678391959799072e+01,-5.948473023206935828e+00
1.145728643216080478e+01,-5.693127304479464357e+00
1.155778894472361884e+01,-5.306306070749364778e+00
1.165829145728643290e+01,-4.818977252236756215e+00
1.175879396984924696e+01,-4.268006448751467730e+00
1.185929648241206102e+01,-3.690879732396099122e+00
1.195979899497487509e+01,-3.121155422099496590e+00
1.206030150753768915e+01,-2.585402792207214251e+00
1.216080402010050321e+01,-2.101863511081937030e+00
1.226130653266331727e+01,-1.680622509129992226e+00
