time,R_energy_linear_jacobian
0.000000000000000000e+00,-3.066498113638302048e+00
1.005025125628140753e-01,-3.275462355366495881e+00
2.010050251256281506e-01,-3.489775108646582691e+00
3.015075376884422398e-01,-3.711755289035811867e+00
4.020100502512563012e-01,-3.944460586745297981e+00
5.025125628140704181e-01,-4.191085642062562400e+00
6.030150753768844796e-01,-4.454183474232019435e+00
7.035175879396985410e-01,-4.734848857702507630e+00
8.040201005025126024e-01,-5.032021164963381032e+00
9.045226130653266639e-01,-5.342043737202914144e+00
1.005025125628140836e+00,-5.658569422548706207e+00
1.105527638190954898e+00,-5.972844877180967238e+00
1.206030150753768959e+00,-6.274350864476285317e+00
1.306532663316583021e+00,-6.551724347634119816e+00
1.407035175879397082e+00,-6.793841259630913676e+00
1.507537688442211143e+00,-6.990903015751509741e+00
1.608040201005025205e+00,-7.135359463782013023e+00
1.708542713567839266e+00,-7.222528194362476839e+00
1.809045226130653328e+00,-7.250832751374970186e+00
1.909547738693467389e+00,-7.221662430623974060e+00
2.010050251256281673e+00,-7.138928124709239320e+00
2.110552763819095734e+00,-7.008431442323206362e+00
2.211055276381909795e+00,-6.837171493783491094e+00
2.311557788944723857e+00,-6.632692196835512810e+00
2.412060301507537918e+00,-6.402537162596687814e+00
2.512562814070351980e+00,-6.153842391694108294e+00
2.613065326633166041e+00,-5.893067642782923166e+00
2.713567839195980103e+00,-5.625848990956994200e+00
2.814070351758794164e+00,-5.356946649690556228e+00
2.914572864321608225e+00,-5.090260878542995471e+00
3.015075376884422287e+00,-4.828891799676008567e+00
3.115577889447236348e+00,-4.575223808051195995e+00
3.216080402010050410e+00,-4.331020386337592676e+00
3.316582914572864471e+00,-4.097519659940271453e+00
3.417085427135678533e+00,-3.875524672394635051e+00
3.517587939698492594e+00,-3.665485079938227919e+00
3.618090452261306655e+00,-3.467568802641678882e+00
3.718592964824120717e+00,-3.281723390117221584e+00
3.819095477386934778e+00,-3.107727597332861968e+00
3.919597989949748840e+00,-2.945234058740589855e+00
4.020100502512563345e+00,-2.793804123619194613e+00
4.120603015075377407e+00,-2.652935948468006622e+00
4.221105527638191468e+00,-2.522086888881025502e+00
