time,R_loc
0.000000000000000000e+00,-4.865764624441804576e-01
1.005025125628140753e-01,-4.844782200837710606e-01
2.010050251256281506e-01,-4.859456147243728652e-01
3.015075376884422398e-01,-5.184727457324244115e-01
4.020100502512563012e-01,-5.447913728641980979e-01
5.025125628140704181e-01,-5.638586020947650157e-01
6.030150753768844796e-01,-5.747094633736703484e-01
7.035175879396985410e-01,-5.765370632153798969e-01
8.040201005025126024e-01,-5.687824327549522163e-01
9.045226130653266639e-01,-5.512238334475184631e-01
1.005025125628140836e+00,-5.240510219612234399e-01
1.105527638190954898e+00,-4.879070285572043586e-01
1.206030150753768959e+00,-4.438829083692354405e-01
1.306532663316583021e+00,-3.934560109702017749e-01
1.407035175879397082e+00,-3.383773212309523215e-01
1.507537688442211143e+00,-2.805224392161916325e-01
1.608040201005025205e+00,-2.217323686972310082e-01
1.708542713567839266e+00,-1.636712569481745816e-01
1.809045226130653328e+00,-1.077224694028276752e-01
1.909547738693467389e+00,-5.493337680829202957e-02
2.010050251256281673e+00,-6.007458766720163296e-03
2.110552763819095734e+00,3.866641648605873699e-02
2.211055276381909795e+00,7.896158989919101201e-02
2.311557788944723857e+00,1.149521113311162968e-01
2.412060301507537918e+00,1.468522139641699475e-01
2.512562814070351980e+00,1.749636064071170838e-01
2.613065326633166041e+00,1.996334433923130092e-01
2.713567839195980103e+00,2.212233145022841629e-01
2.814070351758794164e+00,2.400879877321857869e-01
2.914572864321608225e+00,2.565620887885630141e-01
3.015075376884422287e+00,2.709527151432309933e-01
3.115577889447236348e+00,2.835362399448930759e-01
3.216080402010050410e+00,2.945578549166108506e-01
3.316582914572864471e+00,3.042328280087566172e-01
3.417085427135678533e+00,3.127486354779865363e-01
3.517587939698492594e+00,3.202674676777150231e-01
3.618090452261306655e+00,3.269287668493825461e-01
3.718592964824120717e+00,3.328515820046609730e-01
3.819095477386934778e+00,3.381366313311204297e-01
3.919597989949748840e+00,3.428680431769648984e-01
4.020100502512563345e+00,3.405072940836894047e-01
4.120603015075377407e+00,3.190118062874197635e-01
4.221105527638191468e+00,2.978339466884308839e-01
4.321608040201005529e+00,2.770199652862950224e-01
4.422110552763819591e+00,2.566070147986269090e-01
4.522613065326633652e+00,2.366247234903627872e-01
4.623115577889447714e+00,2.170962866810739467e-01
4.723618090452261775e+00,1.980391691141973887e-01
4.824120603015075837e+00,1.794655344592707147e-01
4.924623115577889898e+00,1.613825287285932664e-01
5.025125628140703959e+00,1.437925281920720000e-01
5.125628140703518021e+00,1.266934287181378238e-01
5.226130653266332082e+00,1.100790116241226468e-01
5.326633165829146144e+00,9.393938414881165822e-02
5.427135678391960205e+00,7.826146965565924929e-02
5.527638190954774267e+00,6.302951263599693155e-02
5.628140703517588328e+00,4.822556627904021898e-02
5.728643216080402389e+00,3.382993805692105505e-02
5.829145728643216451e+00,1.982157998835808524e-02
5.929648241206030512e+00,6.178418291875587692e-03
6.030150753768844574e+00,-7.122375505053599870e-03
6.130653266331658635e+00,-2.010416620622429429e-02
6.231155778894472697e+00,-3.279068079201410968e-02
6.331658291457286758e+00,-4.520586951186886249e-02
6.432160804020100819e+00,-5.737379349838091225e-02
6.532663316582914881e+00,-6.931853037634760906e-02
6.633165829145728942e+00,-8.106409017731469602e-02
6.733668341708543004e+00,-9.263433455683309226e-02
6.834170854271357065e+00,-1.040528929627012600e-01
6.934673366834171127e+00,-1.153430691046528345e-01
7.035175879396985188e+00,-1.265277322765767376e-01
7.135678391959799249e+00,-1.376291867764398158e-01
7.236180904522613311e+00,-1.486690133208272147e-01
7.336683417085427372e+00,-1.596678754975664749e-01
7.437185929648241434e+00,-1.706452835939902268e-01
7.537688442211055495e+00,-1.816193075746612706e-01
7.638190954773869557e+00,-1.926062298763058511e-01
7.738693467336683618e+00,-2.036201276180694963e-01
7.839195979899497679e+00,-2.146723724240290065e-01
7.939698492462311741e+00,-2.257710355179592399e-01
8.040201005025126690e+00,-2.369201831581099482e-01
8.140703517587940752e+00,-2.481190475991540412e-01
8.241206030150754813e+00,-2.593610568586399712e-01
8.341708542713568875e+00,-2.706327059728772522e-01
8.442211055276382936e+00,-2.819122527808343159e-01
8.542713567839196998e+00,-2.931682215426271165e-01
8.643216080402011059e+00,-3.043577007560820391e-01
8.743718592964825120e+00,-3.154244250171139297e-01
8.844221105527639182e+00,-3.262966393460791092e-01
8.944723618090453243e+00,-3.368847549969128385e-01
9.045226130653267305e+00,-3.470788232913923910e-01
9.145728643216081366e+00,-3.567458790107327915e-01
9.246231155778895427e+00,-3.657272373121848164e-01
9.346733668341709489e+00,-3.738358755331655514e-01
9.447236180904523550e+00,-3.808540897883905818e-01
9.547738693467337612e+00,-3.865316910441220499e-01
9.648241206030151673e+00,-3.905850960628692303e-01
9.748743718592965735e+00,-3.926977710663987486e-01
9.849246231155779796e+00,-3.925225922309635851e-01
9.949748743718593857e+00,-3.896867842217625055e-01
1.005025125628140792e+01,-3.838001557308682310e-01
1.015075376884422198e+01,-3.744673389450063894e-01
1.025125628140703604e+01,-3.613046057383775822e-01
1.035175879396985010e+01,-3.605797927902517630e-01
1.045226130653266416e+01,-3.697408378423426289e-01
1.055276381909547823e+01,-3.742918160504574154e-01
1.065326633165829229e+01,-3.738444572597832138e-01
1.075376884422110635e+01,-3.681261489106608109e-01
1.085427135678392041e+01,-3.570102840233190800e-01
1.095477386934673447e+01,-3.405401807236741463e-01
1.105527638190954853e+01,-3.189425383320849128e-01
1.115577889447236259e+01,-2.926271338249564202e-01
1.125628140703517666e+01,-2.621710515115010520e-01
1.135678391959799072e+01,-2.282879692122435078e-01
1.145728643216080478e+01,-1.917854395330593764e-01
1.155778894472361884e+01,-1.535151117876829285e-01
1.165829145728643290e+01,-1.143219105115668294e-01
1.175879396984924696e+01,-7.499805086363627027e-02
