time,R_spec
0.000000000000000000e+00,7.622945578716905368e-01
1.005025125628140753e-01,7.256135892170603174e-01
2.010050251256281506e-01,6.961240352175237511e-01
3.015075376884422398e-01,6.730351274286703323e-01
4.020100502512563012e-01,6.559202874933023342e-01
5.025125628140704181e-01,6.448606710957385246e-01
6.030150753768844796e-01,6.404232642209098936e-01
7.035175879396985410e-01,6.126776902821792214e-01
8.040201005025126024e-01,5.659556537476339022e-01
9.045226130653266639e-01,5.349355223931603343e-01
1.005025125628140836e+00,5.476185490462652794e-01
1.105527638190954898e+00,4.765484668150286041e-01
1.206030150753768959e+00,4.226520535949812585e-01
1.306532663316583021e+00,3.824166424992596625e-01
1.407035175879397082e+00,2.888172634839092923e-01
1.507537688442211143e+00,2.344644053179151810e-01
1.608040201005025205e+00,1.964756519156249659e-01
1.708542713567839266e+00,1.680408921738793804e-01
1.809045226130653328e+00,1.460974113338066593e-01
1.909547738693467389e+00,1.289839877962620507e-01
2.010050251256281673e+00,1.152822350482504699e-01
2.110552763819095734e+00,1.041139932433728654e-01
2.211055276381909795e+00,9.494771854077499462e-02
2.311557788944723857e+00,8.719869377077980876e-02
2.412060301507537918e+00,8.076681388430528852e-02
2.512562814070351980e+00,7.544488580008898437e-02
2.613065326633166041e+00,7.104064670187421049e-02
2.713567839195980103e+00,6.740792353788865876e-02
2.814070351758794164e+00,6.443552128929697087e-02
2.914572864321608225e+00,6.203920775499300461e-02
3.015075376884422287e+00,6.015592522345180465e-02
3.115577889447236348e+00,5.873961398109145415e-02
3.216080402010050410e+00,5.775822261522352979e-02
3.316582914572864471e+00,5.719158906028060790e-02
3.417085427135678533e+00,5.702999172807949463e-02
3.517587939698492594e+00,5.727320872221215026e-02
3.618090452261306655e+00,5.792996895890258763e-02
3.718592964824120717e+00,5.901770357916190368e-02
3.819095477386934778e+00,6.056251325411644154e-02
3.919597989949748840e+00,6.259925684918697664e-02
4.020100502512563345e+00,6.517164892560786682e-02
4.120603015075377407e+00,6.833219873596432792e-02
4.221105527638191468e+00,7.214175354146351582e-02
4.321608040201005529e+00,7.666829918766179808e-02
4.422110552763819591e+00,8.198453560381485650e-02
4.522613065326633652e+00,8.816360113835031154e-02
4.623115577889447714e+00,9.527223142827040414e-02
4.723618090452261775e+00,1.033607361306513872e-01
4.824120603015075837e+00,1.124496702009249588e-01
4.924623115577889898e+00,1.098633223615400889e-01
5.025125628140703959e+00,1.054964959377524547e-01
5.125628140703518021e+00,1.019613847242564070e-01
5.226130653266332082e+00,9.914579562404086943e-02
5.326633165829146144e+00,9.695486487543365783e-02
5.427135678391960205e+00,9.530978351086050182e-02
5.527638190954774267e+00,9.414565193928324527e-02
5.628140703517588328e+00,9.340920667744088968e-02
5.728643216080402389e+00,9.305673329717760456e-02
5.829145728643216451e+00,9.305227019540773803e-02
5.929648241206030512e+00,9.336611348911601216e-02
6.030150753768844574e+00,9.397359486425248265e-02
6.130653266331658635e+00,9.485409392278765228e-02
6.231155778894472697e+00,9.599024574337254589e-02
6.331658291457286758e+00,9.736731040409354887e-02
6.432160804020100819e+00,9.897267638153572911e-02
6.532663316582914881e+00,1.007954758677984536e-01
6.633165829145728942e+00,1.028262944611477436e-01
6.733668341708543004e+00,1.050569616471351969e-01
6.834170854271357065e+00,1.074804110449998906e-01
6.934673366834171127e+00,1.100906008593830893e-01
7.035175879396985188e+00,1.128824866091289320e-01
7.135678391959799249e+00,1.158520373342813992e-01
7.236180904522613311e+00,1.189962867194345464e-01
7.336683417085427372e+00,1.223134088294755145e-01
7.437185929648241434e+00,1.258028063341092018e-01
7.537688442211055495e+00,1.294651956784685920e-01
7.638190954773869557e+00,1.333026710551600824e-01
7.738693467336683618e+00,1.373187219186600416e-01
7.839195979899497679e+00,1.415181737402488038e-01
7.939698492462311741e+00,1.459070105380874394e-01
8.040201005025126690e+00,1.504920276227171561e-01
8.140703517587940752e+00,1.552802462803990202e-01
8.241206030150754813e+00,1.598667706999992721e-01
8.341708542713568875e+00,1.627819543876104502e-01
8.442211055276382936e+00,1.655110686402939124e-01
8.542713567839196998e+00,1.680084598367669324e-01
8.643216080402011059e+00,1.702237725669472346e-01
8.743718592964825120e+00,1.721028103479961269e-01
8.844221105527639182e+00,1.735891968170485411e-01
8.944723618090453243e+00,1.740692212193444277e-01
9.045226130653267305e+00,1.685362651058063821e-01
9.145728643216081366e+00,1.625237040553108858e-01
9.246231155778895427e+00,1.561518606551486332e-01
9.346733668341709489e+00,1.495438954803755827e-01
9.447236180904523550e+00,1.428197982973368196e-01
9.547738693467337612e+00,1.360910911918726818e-01
9.648241206030151673e+00,1.294567106745845575e-01
9.748743718592965735e+00,1.230004191646034972e-01
9.849246231155779796e+00,1.167899907726518693e-01
9.949748743718593857e+00,1.108783231166841077e-01
1.005025125628140792e+01,1.053064516366365444e-01
1.015075376884422198e+01,1.001080552884509450e-01
1.025125628140703604e+01,9.531440916777542127e-02
1.035175879396985010e+01,9.095819390952729344e-02
1.045226130653266416e+01,8.707477762781994091e-02
1.055276381909547823e+01,8.370087721841147632e-02
1.065326633165829229e+01,7.932002826052224342e-02
1.075376884422110635e+01,7.479442661510030121e-02
1.085427135678392041e+01,7.072410988453160796e-02
1.095477386934673447e+01,6.705319073644790129e-02
1.105527638190954853e+01,6.372614132651995000e-02
