time,Rspec_hyper
0.000000000000000000e+00,8.616802508171427233e-01
1.005025125628140753e-01,8.296959562020942425e-01
2.010050251256281506e-01,8.025578838366866918e-01
3.015075376884422398e-01,7.803319281498950488e-01
4.020100502512563012e-01,7.631505997265433106e-01
5.025125628140704181e-01,7.512224057077880879e-01
6.030150753768844796e-01,7.448423574857385709e-01
7.035175879396985410e-01,7.444037165835570846e-01
8.040201005025126024e-01,7.504104173126542321e-01
9.045226130653266639e-01,7.634897345347713138e-01
1.005025125628140836e+00,7.844042566003317507e-01
1.105527638190954898e+00,8.140621760591033595e-01
1.206030150753768959e+00,8.337372609713118443e-01
1.306532663316583021e+00,7.802891483381533266e-01
1.407035175879397082e+00,7.358713398098630787e-01
1.507537688442211143e+00,6.996827900633157959e-01
1.608040201005025205e+00,6.709308556991571137e-01
1.708542713567839266e+00,6.488592162055264456e-01
1.809045226130653328e+00,6.327670257387452146e-01
1.909547738693467389e+00,6.220201967367147144e-01
2.010050251256281673e+00,6.160562277615198035e-01
2.110552763819095734e+00,6.143841853410700882e-01
2.211055276381909795e+00,6.165813898029968154e-01
2.311557788944723857e+00,6.222880790135119078e-01
2.412060301507537918e+00,6.312012524570962402e-01
2.512562814070351980e+00,6.430683858777792583e-01
2.613065326633166041e+00,6.576816130297897800e-01
2.713567839195980103e+00,6.748728109109676243e-01
2.814070351758794164e+00,6.945100036837823509e-01
2.914572864321608225e+00,7.164956552577994575e-01
3.015075376884422287e+00,7.407679945786749265e-01
3.115577889447236348e+00,7.366419674576774046e-01
3.216080402010050410e+00,7.420225150182324647e-01
3.316582914572864471e+00,7.538155604317875458e-01
3.417085427135678533e+00,7.688642760707755652e-01
3.517587939698492594e+00,7.862201921714599973e-01
3.618090452261306655e+00,8.054413512941558384e-01
3.718592964824120717e+00,8.262768095435816251e-01
3.819095477386934778e+00,8.485665488660799616e-01
3.919597989949748840e+00,8.722003685300028231e-01
4.020100502512563345e+00,8.970980250499680508e-01
4.120603015075377407e+00,9.231984462318423290e-01
4.221105527638191468e+00,9.504533229124384475e-01
4.321608040201005529e+00,9.788230046421557695e-01
4.422110552763819591e+00,1.008273694998443437e+00
4.522613065326633652e+00,1.038775419088719287e+00
4.623115577889447714e+00,1.070300468309976605e+00
4.723618090452261775e+00,1.102822148803773494e+00
4.824120603015075837e+00,1.136313726448318517e+00
