time, Rtensor_laplacian
0.000000000000000000e+00,-5.143048993637062694e-01
1.005025125628140753e-01,-5.175397359901798833e-01
2.010050251256281506e-01,-5.183887556278068409e-01
3.015075376884422398e-01,-5.187101055937134442e-01
4.020100502512563012e-01,-5.206826259518256839e-01
5.025125628140704181e-01,-5.260278787294763170e-01
6.030150753768844796e-01,-5.356118889987209197e-01
7.035175879396985410e-01,-5.495375826032505850e-01
8.040201005025126024e-01,-5.674120249973771957e-01
9.045226130653266639e-01,-5.885548456394482653e-01
1.005025125628140836e+00,-6.121121469053661945e-01
1.105527638190954898e+00,-6.371175322050465217e-01
1.206030150753768959e+00,-6.625384389942302610e-01
1.306532663316583021e+00,-6.873279291283086456e-01
1.407035175879397082e+00,-7.104856149837773804e-01
1.507537688442211143e+00,-7.311219826407731048e-01
1.608040201005025205e+00,-7.485151418396803757e-01
1.708542713567839266e+00,-7.621501179471847909e-01
1.809045226130653328e+00,-7.717345244906355095e-01
1.909547738693467389e+00,-7.771902079742394331e-01
2.010050251256281673e+00,-7.786252418508126105e-01
2.110552763819095734e+00,-7.762938265884751221e-01
2.211055276381909795e+00,-7.705518551878827171e-01
2.311557788944723857e+00,-7.618147459445385739e-01
2.412060301507537918e+00,-7.505214748175736972e-01
2.512562814070351980e+00,-7.371069087221608918e-01
2.613065326633166041e+00,-7.219824595146986379e-01
2.713567839195980103e+00,-7.055240967762100857e-01
2.814070351758794164e+00,-6.880662332847042872e-01
2.914572864321608225e+00,-6.698998939443681078e-01
3.015075376884422287e+00,-6.512738305661587290e-01
3.115577889447236348e+00,-6.323974209204780150e-01
3.216080402010050410e+00,-6.134443687867330297e-01
3.316582914572864471e+00,-5.945572139793372513e-01
3.417085427135678533e+00,-5.758512304842202667e-01
3.517587939698492594e+00,-5.574185404154740064e-01
3.618090452261306655e+00,-5.393316879776991479e-01
3.718592964824120717e+00,-5.216468299773792117e-01
3.819095477386934778e+00,-5.044064973272857078e-01
3.919597989949748840e+00,-4.876420372613775589e-01
4.020100502512563345e+00,-4.713755526980795696e-01
4.120603015075377407e+00,-4.556216745967063275e-01
4.221105527638191468e+00,-4.403889665968696576e-01
4.321608040201005529e+00,-4.256811177588278317e-01
4.422110552763819591e+00,-4.114979327145381616e-01
4.522613065326633652e+00,-3.978361497766065846e-01
4.623115577889447714e+00,-3.846901251211451989e-01
4.723618090452261775e+00,-3.720523869701943265e-01
4.824120603015075837e+00,-3.599140843035311121e-01
