time,x1,x2,x3,x4
0.000000000000000000e+00,1.000000000000000000e+00,4.999999999999999445e-01,2.999999999999999889e-01,2.000000000000000111e-01
1.005025125628140753e-01,1.037909504935720317e+00,5.397928454633671436e-01,3.110132703505949503e-01,2.011997634503567556e-01
2.010050251256281506e-01,1.072581012094584674e+00,5.851760654371662707e-01,3.235759400787404094e-01,2.027393582927608517e-01
3.015075376884422398e-01,1.102938750744783425e+00,6.367037263198001007e-01,3.377056858830221886e-01,2.045282834920423010e-01
4.020100502512563012e-01,1.127828039039651342e+00,6.948804789040764485e-01,3.533827487573491521e-01,2.064519269452338157e-01
5.025125628140704181e-01,1.146061765974818458e+00,7.601056840030765427e-01,3.705358526734180979e-01,2.083690779843803687e-01
6.030150753768844796e-01,1.156487513902854314e+00,8.326021439280327785e-01,3.890274079982928845e-01,2.101114062771646529e-01
7.035175879396985410e-01,1.158074526333172871e+00,9.123327544647024112e-01,4.086398741296042303e-01,2.114859878318809117e-01
8.040201005025126024e-01,1.150016049081726610e+00,9.989124181990556295e-01,4.290658355586958184e-01,2.122819197574923322e-01
9.045226130653266639e-01,1.131836429465960414e+00,1.091528857873387715e+00,4.499052017333474707e-01,2.122818029312642518e-01
1.005025125628140836e+00,1.103486988974170080e+00,1.188890051726326336e+00,4.706725950093949007e-01,2.112779216175422470e-01
1.105527638190954898e+00,1.065410747390525437e+00,1.289218556206136235e+00,4.908172763692343898e-01,2.090918879951892684e-01
1.206030150753768959e+00,1.018557915612714471e+00,1.390307749049160879e+00,5.097554192108915139e-01,2.055950582331762810e-01
1.306532663316583021e+00,9.643389922832291683e-01,1.489647183209540371e+00,5.269121470165729626e-01,2.007260584515261903e-01
1.407035175879397082e+00,9.045179296474699093e-01,1.584604889340468281e+00,5.417672220355849166e-01,1.945016687878145245e-01
1.507537688442211143e+00,8.410585970628187136e-01,1.672642744067758924e+00,5.538972285683259056e-01,1.870182366919581063e-01
1.608040201005025205e+00,7.759515715863887220e-01,1.751527777202499747e+00,5.630068786185716823e-01,1.784428683164261120e-01
1.708542713567839266e+00,7.110513460462632995e-01,1.819503174446289284e+00,5.689445849197184435e-01,1.689960043518352328e-01
1.809045226130653328e+00,6.479494535191708815e-01,1.875392858209544711e+00,5.717010448375094978e-01,1.589288762366171115e-01
1.909547738693467389e+00,5.878979370445528430e-01,1.918630094253650054e+00,5.713931345590060884e-01,1.485000660643191750e-01
2.010050251256281673e+00,5.317847581452486150e-01,1.949217376087592379e+00,5.682378811224181314e-01,1.379549335264957655e-01
2.110552763819095734e+00,4.801524279170633625e-01,1.967636540578173054e+00,5.625220815685472164e-01,1.275103513464540816e-01
2.211055276381909795e+00,4.332457589115271124e-01,1.974732483242618741e+00,5.545725002828331140e-01,1.173456366294374914e-01
2.311557788944723857e+00,3.910735697520898446e-01,1.971592236827415912e+00,5.447300547883872079e-01,1.075991533243598752e-01
2.412060301507537918e+00,3.534727945048225517e-01,1.959434476882456089e+00,5.333296962260413165e-01,9.836943911079351621e-02
2.512562814070351980e+00,3.201665865454462190e-01,1.939518764515997917e+00,5.206863427270982392e-01,8.971929256562197197e-02
2.613065326633166041e+00,2.908123333801972410e-01,1.913077485842296754e+00,5.070862662373439855e-01,8.168143723401011247e-02
2.713567839195980103e+00,2.650383771496623297e-01,1.881269497778736532e+00,4.927828590523222196e-01,7.426464276746545801e-02
2.814070351758794164e+00,2.424702418696964845e-01,1.845152175395707417e+00,4.779956271331611828e-01,6.745959058132725006e-02
2.914572864321608225e+00,2.227479780807171961e-01,1.805667860221558119e+00,4.629113537325552641e-01,6.124405128550531457e-02
3.015075376884422287e+00,2.055366101791695210e-01,1.763640653487534848e+00,4.476865603405003613e-01,5.558719164639511212e-02
3.115577889447236348e+00,1.905315265295825511e-01,1.719780150478736003e+00,4.324506344008081649e-01,5.045299604942511673e-02
3.216080402010050410e+00,1.774603957842698365e-01,1.674689364757905308e+00,4.173091730588962545e-01,4.580287390428022104e-02
3.316582914572864471e+00,1.660827757403856020e-01,1.628874948188094862e+00,4.023472796656654138e-01,4.159757095774906793e-02
3.417085427135678533e+00,1.561883789001910494e-01,1.582758195013164393e+00,3.876326240877612794e-01,3.779851154100549726e-02
3.517587939698492594e+00,1.475945998757309252e-01,1.536685997350905053e+00,3.732181979955031537e-01,3.436869556142521653e-02
3.618090452261306655e+00,1.401437270872439855e-01,1.490941201867439281e+00,3.591447354696285510e-01,3.127325722466875457e-02
3.718592964824120717e+00,1.337001158923914745e-01,1.445752067685517117e+00,3.454428020224279416e-01,2.847977434539967351e-02
3.819095477386934778e+00,1.281474873500735856e-01,1.401300696367635545e+00,3.321345741612152791e-01,2.595839921081248558e-02
3.919597989949748840e+00,1.233864340052383268e-01,1.357730428469849704e+00,3.192353427187751835e-01,2.368186485763281238e-02
4.020100502512563345e+00,1.193321839339303581e-01,1.315152233971998541e+00,3.067547721316324916e-01,2.162540965000879500e-02
4.120603015075377407e+00,1.159126241922016909e-01,1.273650193601707725e+00,2.946979517492764877e-01,1.976664943876376562e-02
4.221105527638191468e+00,1.130665794673267749e-01,1.233286158553526413e+00,2.830662693609931613e-01,1.808541987374340243e-02
4.321608040201005529e+00,1.107423258512945513e-01,1.194103692128461791e+00,2.718581355140967104e-01,1.656360416001698144e-02
4.422110552763819591e+00,1.088963175562766283e-01,1.156131388371480329e+00,2.610695828682947917e-01,1.518495697219732210e-02
4.522613065326633652e+00,1.074921019131584027e-01,1.119385656709614096e+00,2.506947615072087632e-01,1.393493161062902067e-02
4.623115577889447714e+00,1.064993990699975718e-01,1.083873052468974807e+00,2.407263479095507197e-01,1.280051487312322718e-02
4.723618090452261775e+00,1.058933242411363579e-01,1.049592223233547283e+00,2.311558823804235052e-01,1.177007230333068297e-02
4.824120603015075837e+00,1.056537326125730203e-01,1.016535531878149490e+00,2.219740473046929452e-01,1.083320517335785264e-02
4.924623115577889898e+00,1.057646692709051511e-01,9.846904083832485055e-01,2.131708964665431083e-01,9.980619685522823872e-03
5.025125628140703959e+00,1.062139088001964049e-01,9.540404748500617149e-01,2.047360439211620975e-01,9.204008293892297285e-03
