time,connectedness
0.000000000000000000e+00,1.862710248519642064e+00
1.005025125628140753e-01,1.942309987731379639e+00
2.010050251256281506e-01,2.025639198406710140e+00
3.015075376884422398e-01,2.112150743516481910e+00
4.020100502512563012e-01,2.200987593455685953e+00
5.025125628140704181e-01,2.290906154702653019e+00
6.030150753768844796e-01,2.380210269739746920e+00
7.035175879396985410e-01,2.466714453542673713e+00
8.040201005025126024e-01,2.547759478609400219e+00
9.045226130653266639e-01,2.620304060368934262e+00
1.005025125628140836e+00,2.681107930425407737e+00
1.105527638190954898e+00,2.727004585045022633e+00
1.206030150753768959e+00,2.755235949479334590e+00
1.306532663316583021e+00,2.763795065168609177e+00
1.407035175879397082e+00,2.751707280619984708e+00
1.507537688442211143e+00,2.719184088600224758e+00
1.608040201005025205e+00,2.667610731696024473e+00
1.708542713567839266e+00,2.599369901377997838e+00
1.809045226130653328e+00,2.517544090828182757e+00
1.909547738693467389e+00,2.425563409005897064e+00
2.010050251256281673e+00,2.326867586330557458e+00
2.110552763819095734e+00,2.224633846807876569e+00
2.211055276381909795e+00,2.121596462893260426e+00
2.311557788944723857e+00,2.019958334441358971e+00
2.412060301507537918e+00,1.921379684277060074e+00
2.512562814070351980e+00,1.827020201914024700e+00
2.613065326633166041e+00,1.737611554583158524e+00
2.713567839195980103e+00,1.653541300774706180e+00
2.814070351758794164e+00,1.574935356028750011e+00
2.914572864321608225e+00,1.501731324634580700e+00
3.015075376884422287e+00,1.433739373058262601e+00
3.115577889447236348e+00,1.370690108449898359e+00
3.216080402010050410e+00,1.312270576989319260e+00
3.316582914572864471e+00,1.258150129178652321e+00
3.417085427135678533e+00,1.207998255908162344e+00
3.517587939698492594e+00,1.161496249974897088e+00
3.618090452261306655e+00,1.118344300049582518e+00
3.718592964824120717e+00,1.078265332940565147e+00
3.819095477386934778e+00,1.041006615493194953e+00
3.919597989949748840e+00,1.006339857427601681e+00
4.020100502512563345e+00,9.740603834328891431e-01
4.120603015075377407e+00,9.439857472575359232e-01
4.221105527638191468e+00,9.159540617843331400e-01
4.321608040201005529e+00,8.898222208794495103e-01
4.422110552763819591e+00,8.654641296077538737e-01
4.522613065326633652e+00,8.427690127314337865e-01
4.623115577889447714e+00,8.216398419181691892e-01
4.723618090452261775e+00,8.019919009215394912e-01
4.824120603015075837e+00,7.837514948632696710e-01
4.924623115577889898e+00,7.668548011412208432e-01
5.025125628140703959e+00,7.512468544929161718e-01
5.125628140703518021e+00,7.368806559560345804e-01
5.226130653266332082e+00,7.237163942245744552e-01
5.326633165829146144e+00,7.117207676047021536e-01
5.427135678391960205e+00,7.008663950760621875e-01
5.527638190954774267e+00,6.911313056024298573e-01
5.628140703517588328e+00,6.824984956471922271e-01
5.728643216080402389e+00,6.749555457265226099e-01
5.829145728643216451e+00,6.684942877105238823e-01
5.929648241206030512e+00,6.631105154217420417e-01
6.030150753768844574e+00,6.588037318615957982e-01
6.130653266331658635e+00,6.555769271111586693e-01
6.231155778894472697e+00,6.534363816038626371e-01
6.331658291457286758e+00,6.523914900598537514e-01
