time,linear_connectedness
0.000000000000000000e+00,9.189447629123494998e-01
1.005025125628140753e-01,1.014128533417467004e+00
2.010050251256281506e-01,1.116055011814157893e+00
3.015075376884422398e-01,1.224323104921472227e+00
4.020100502512563012e-01,1.341775948275168773e+00
5.025125628140704181e-01,1.476693707430418279e+00
6.030150753768844796e-01,1.651908750042450524e+00
7.035175879396985410e-01,1.752803362983683444e+00
8.040201005025126024e-01,1.593795393913201908e+00
9.045226130653266639e-01,1.485596465152262846e+00
1.005025125628140836e+00,1.416392449894914529e+00
1.105527638190954898e+00,1.396227727214644387e+00
1.206030150753768959e+00,1.409631605555116352e+00
1.306532663316583021e+00,1.449499390261026477e+00
1.407035175879397082e+00,1.511446616455923042e+00
1.507537688442211143e+00,1.592799806644237259e+00
1.608040201005025205e+00,1.692811686679845273e+00
1.708542713567839266e+00,1.814308585446806399e+00
1.809045226130653328e+00,1.972271005210278982e+00
1.909547738693467389e+00,2.065247588062695705e+00
2.010050251256281673e+00,2.137757960994194129e+00
2.110552763819095734e+00,2.241657659670024394e+00
2.211055276381909795e+00,2.383959796161457589e+00
2.311557788944723857e+00,2.356920560749415028e+00
2.412060301507537918e+00,2.342743815627341242e+00
2.512562814070351980e+00,2.348412848923448148e+00
2.613065326633166041e+00,2.360251091500173093e+00
2.713567839195980103e+00,2.372302810821925512e+00
2.814070351758794164e+00,2.381625874999846904e+00
2.914572864321608225e+00,2.386803024602436984e+00
3.015075376884422287e+00,2.387272304080587659e+00
3.115577889447236348e+00,2.382969659221141789e+00
3.216080402010050410e+00,2.374120344000481442e+00
3.316582914572864471e+00,2.361112057689582322e+00
3.417085427135678533e+00,2.344416725075550101e+00
3.517587939698492594e+00,2.324543064530710801e+00
3.618090452261306655e+00,2.302009357964631242e+00
3.718592964824120717e+00,2.277329951115590667e+00
3.819095477386934778e+00,2.251011609595288121e+00
3.919597989949748840e+00,2.223557729557560592e+00
4.020100502512563345e+00,2.195479895960181338e+00
4.120603015075377407e+00,2.167318161918587283e+00
4.221105527638191468e+00,2.139674107005700154e+00
4.321608040201005529e+00,2.113266111319463736e+00
4.422110552763819591e+00,2.089028750711181104e+00
4.522613065326633652e+00,2.068312597553848775e+00
4.623115577889447714e+00,2.053357682090046765e+00
4.723618090452261775e+00,2.048771193905409405e+00
4.824120603015075837e+00,2.070814816065793096e+00
