time,linear_potential
0.000000000000000000e+00,4.854529591523228937e+00
1.005025125628140753e-01,5.032833646231576807e+00
2.010050251256281506e-01,5.184927017895354595e+00
3.015075376884422398e-01,5.305240773465357940e+00
4.020100502512563012e-01,5.384239870319108334e+00
5.025125628140704181e-01,5.406393031572286567e+00
6.030150753768844796e-01,5.341327075877586594e+00
7.035175879396985410e-01,5.359478087973611693e+00
8.040201005025126024e-01,5.703871949747242986e+00
9.045226130653266639e-01,6.021889606127647454e+00
1.005025125628140836e+00,6.351972127748068964e+00
1.105527638190954898e+00,6.579503399648325868e+00
1.206030150753768959e+00,6.709901571238130025e+00
1.306532663316583021e+00,6.743006373847135748e+00
1.407035175879397082e+00,6.679547015195016257e+00
1.507537688442211143e+00,6.522511133426748486e+00
1.608040201005025205e+00,6.276755671593450714e+00
1.708542713567839266e+00,5.946706656963304027e+00
1.809045226130653328e+00,5.526805438646642976e+00
1.909547738693467389e+00,5.275702946195895748e+00
2.010050251256281673e+00,5.095854199644185734e+00
2.110552763819095734e+00,4.844951103725287034e+00
2.211055276381909795e+00,4.523321998316942150e+00
2.311557788944723857e+00,4.570354298934941717e+00
2.412060301507537918e+00,4.619014846718727085e+00
2.512562814070351980e+00,4.617381565086432715e+00
2.613065326633166041e+00,4.583360073183242456e+00
2.713567839195980103e+00,4.526930539224490069e+00
2.814070351758794164e+00,4.454735940961006335e+00
2.914572864321608225e+00,4.371510189580528838e+00
3.015075376884422287e+00,4.280728766889217773e+00
3.115577889447236348e+00,4.184974974712704743e+00
3.216080402010050410e+00,4.086174096064190131e+00
3.316582914572864471e+00,3.985755027894218649e+00
3.417085427135678533e+00,3.884766547587728880e+00
3.517587939698492594e+00,3.783962823637256889e+00
3.618090452261306655e+00,3.683866671053092734e+00
3.718592964824120717e+00,3.584815897184389755e+00
3.819095477386934778e+00,3.486996127060752126e+00
3.919597989949748840e+00,3.390462114230280655e+00
4.020100502512563345e+00,3.295148142365798449e+00
4.120603015075377407e+00,3.200866519965354762e+00
4.221105527638191468e+00,3.107290428463770127e+00
4.321608040201005529e+00,3.013912066844577353e+00
4.422110552763819591e+00,2.919954531208933890e+00
4.522613065326633652e+00,2.824181466270796470e+00
4.623115577889447714e+00,2.724431512837621305e+00
4.723618090452261775e+00,2.616147221259612188e+00
4.824120603015075837e+00,2.483093253042861992e+00
4.924623115577889898e+00,2.476179647236843806e+00
