time,potential
0.000000000000000000e+00,7.729633626317787609e+00
1.005025125628140753e-01,7.930889672975203197e+00
2.010050251256281506e-01,8.138099740014961725e+00
3.015075376884422398e-01,8.349291551626816243e+00
4.020100502512563012e-01,8.561832331403733676e+00
5.025125628140704181e-01,8.772339964203814233e+00
6.030150753768844796e-01,8.976631662468641082e+00
7.035175879396985410e-01,9.169736905277963146e+00
8.040201005025126024e-01,9.346003360022510975e+00
9.045226130653266639e-01,9.499321445698482691e+00
1.005025125628140836e+00,9.623476584282059321e+00
1.105527638190954898e+00,9.712614607920510679e+00
1.206030150753768959e+00,9.761771935184203386e+00
1.306532663316583021e+00,9.767392599171415668e+00
1.407035175879397082e+00,9.727739657064782719e+00
1.507537688442211143e+00,9.643116817521860895e+00
1.608040201005025205e+00,9.515852276088363482e+00
1.708542713567839266e+00,9.350048328759370975e+00
1.809045226130653328e+00,9.151150501114925007e+00
1.909547738693467389e+00,8.925421451432045572e+00
2.010050251256281673e+00,8.679410756823919826e+00
2.110552763819095734e+00,8.419494405723730424e+00
2.211055276381909795e+00,8.151528407112843766e+00
2.311557788944723857e+00,7.880627863216224327e+00
2.412060301507537918e+00,7.611063295281221386e+00
2.512562814070351980e+00,7.346249182836510627e+00
2.613065326633166041e+00,7.088796880161965852e+00
2.713567839195980103e+00,6.840605398395195991e+00
2.814070351758794164e+00,6.602969657161401607e+00
2.914572864321608225e+00,6.376690993968107790e+00
3.015075376884422287e+00,6.162180643755990950e+00
3.115577889447236348e+00,5.959551148499976136e+00
3.216080402010050410e+00,5.768693852414883416e+00
3.316582914572864471e+00,5.589342170810668087e+00
3.417085427135678533e+00,5.421122096685929037e+00
3.517587939698492594e+00,5.263591482438283009e+00
3.618090452261306655e+00,5.116269872827131415e+00
3.718592964824120717e+00,4.978660674297216815e+00
3.819095477386934778e+00,4.850267238375425727e+00
3.919597989949748840e+00,4.730604133818093082e+00
4.020100502512563345e+00,4.619204813433343659e+00
4.120603015075377407e+00,4.515626498782175702e+00
4.221105527638191468e+00,4.419453028291435714e+00
4.321608040201005529e+00,4.330296207992893720e+00
4.422110552763819591e+00,4.247796098156455535e+00
4.522613065326633652e+00,4.171620556473100372e+00
4.623115577889447714e+00,4.101464282567163444e+00
4.723618090452261775e+00,4.037047543583690334e+00
4.824120603015075837e+00,3.978114713537324043e+00
4.924623115577889898e+00,3.924432721872951113e+00
5.025125628140703959e+00,3.875789479240425273e+00
5.125628140703518021e+00,3.831992327670007192e+00
5.226130653266332082e+00,3.792866547026129798e+00
5.326633165829146144e+00,3.758253938315448295e+00
5.427135678391960205e+00,3.728011496225534849e+00
5.527638190954774267e+00,3.702010177362219601e+00
5.628140703517588328e+00,3.680133766458197897e+00
5.728643216080402389e+00,3.662277839887843722e+00
5.829145728643216451e+00,3.648348823802841423e+00
5.929648241206030512e+00,3.638263142844042175e+00
6.030150753768844574e+00,3.631946454496266963e+00
6.130653266331658635e+00,3.629332963593425276e+00
6.231155778894472697e+00,3.630364811148655946e+00
6.331658291457286758e+00,3.634991531503279916e+00
6.432160804020100819e+00,3.643169571705493048e+00
6.532663316582914881e+00,3.654861867005598342e+00
6.633165829145728942e+00,3.670037466359906908e+00
6.733668341708543004e+00,3.688671201846161374e+00
6.834170854271357065e+00,3.710743395887635021e+00
6.934673366834171127e+00,3.736239600137502670e+00
7.035175879396985188e+00,3.765150359762216681e+00
7.135678391959799249e+00,3.797470996647775099e+00
7.236180904522613311e+00,3.833201404691844782e+00
7.336683417085427372e+00,3.872345849781260618e+00
7.437185929648241434e+00,3.914912766217410578e+00
7.537688442211055495e+00,3.960914540153347208e+00
7.638190954773869557e+00,4.010367268980605360e+00
7.738693467336683618e+00,4.063290483145223675e+00
7.839195979899497679e+00,4.119706814147390261e+00
7.939698492462311741e+00,4.179641588460667911e+00
8.040201005025126690e+00,4.243122321729157598e+00
8.140703517587940752e+00,4.310178081557710428e+00
8.241206030150754813e+00,4.380838678854792612e+00
8.341708542713568875e+00,4.455133637947906067e+00
8.442211055276382936e+00,4.533090883596664789e+00
8.542713567839196998e+00,4.614735068617273228e+00
8.643216080402011059e+00,4.700085449023394091e+00
8.743718592964825120e+00,4.789153194356358334e+00
8.844221105527639182e+00,4.881937999638537029e+00
8.944723618090453243e+00,4.978423842511663366e+00
9.045226130653267305e+00,5.078573706742565363e+00
9.145728643216081366e+00,5.182323073386198686e+00
9.246231155778895427e+00,5.289571967236761374e+00
9.346733668341709489e+00,5.400175344808715749e+00
9.447236180904523550e+00,5.513931629006557422e+00
9.547738693467337612e+00,5.630569245926852595e+00
9.648241206030151673e+00,5.749731115216370370e+00
9.748743718592965735e+00,5.870957204377266869e+00
9.849246231155779796e+00,5.993665498394038949e+00
9.949748743718593857e+00,6.117132076950772657e+00
1.005025125628140792e+01,6.240471443732625190e+00
1.015075376884422198e+01,6.362618812336894081e+00
1.025125628140703604e+01,6.482316690909364354e+00
1.035175879396985010e+01,6.598108751878111633e+00
1.045226130653266416e+01,6.708344499967551222e+00
1.055276381909547823e+01,6.811198479230678338e+00
1.065326633165829229e+01,6.904707462143917951e+00
1.075376884422110635e+01,6.986828012837761115e+00
1.085427135678392041e+01,7.055514858452995419e+00
1.095477386934673447e+01,7.108817659396883037e+00
1.105527638190954853e+01,7.144990334821311961e+00
1.115577889447236259e+01,7.162603678113590888e+00
1.125628140703517666e+01,7.160649428076479417e+00
1.135678391959799072e+01,7.138623107873713458e+00
1.145728643216080478e+01,7.096574387900997927e+00
1.155778894472361884e+01,7.035117491744843576e+00
1.165829145728643290e+01,6.955399595631590159e+00
1.175879396984924696e+01,6.859031094740281276e+00
1.185929648241206102e+01,6.747986689582722519e+00
1.195979899497487509e+01,6.624489423352576623e+00
1.206030150753768915e+01,6.490890604639730554e+00
1.216080402010050321e+01,6.349557162524420484e+00
1.226130653266331727e+01,6.202775075010007910e+00
1.236180904522613133e+01,6.052673956661075216e+00
1.246231155778894539e+01,5.901174475154388865e+00
1.256281407035175945e+01,5.749957522568490020e+00
1.266331658291457352e+01,5.600452230180599678e+00
1.276381909547738758e+01,5.453838972877952607e+00
1.286432160804020164e+01,5.311063296160973835e+00
1.296482412060301570e+01,5.172856990408867262e+00
1.306532663316582976e+01,5.039763115817871508e+00
1.316582914572864382e+01,4.912162472370317445e+00
1.326633165829145788e+01,4.790299691663056691e+00
1.336683417085427195e+01,4.674307730732281563e+00
1.346733668341708601e+01,4.564230040309519509e+00
1.356783919597990007e+01,4.460040055698470951e+00
1.366834170854271413e+01,4.361657927591402029e+00
1.376884422110552819e+01,4.268964589906665275e+00
1.386934673366834225e+01,4.181813371371598365e+00
1.396984924623115631e+01,4.100039415215152694e+00
1.407035175879397038e+01,4.023467192452354624e+00
1.417085427135678444e+01,3.951916391202348500e+00
1.427135678391959850e+01,3.885206446645045553e+00
1.437185929648241256e+01,3.823159950348745006e+00
1.447236180904522662e+01,3.765605148449306050e+00
1.457286432160804068e+01,3.712377708574448931e+00
1.467336683417085474e+01,3.663321907342714567e+00
1.477386934673366881e+01,3.618291364747573624e+00
1.487437185929648287e+01,3.577149429218940746e+00
1.497487437185929693e+01,3.539769297726897079e+00
1.507537688442211099e+01,3.506033938823877705e+00
1.517587939698492505e+01,3.475835872757233602e+00
1.527638190954773911e+01,3.449076851413176215e+00
1.537688442211055317e+01,3.425667471550611687e+00
1.547738693467336724e+01,3.405526747236032215e+00
1.557788944723618130e+01,3.388581661310872128e+00
1.567839195979899536e+01,3.374766710854953722e+00
1.577889447236180942e+01,3.364023457732727707e+00
1.587939698492462348e+01,3.356300092234601795e+00
