time,potential_global
0.000000000000000000e+00,1.457772393292270685e+01
1.005025125628140753e-01,1.495995045363536491e+01
2.010050251256281506e-01,1.534506781207714354e+01
3.015075376884422398e-01,1.572815546613932192e+01
4.020100502512563012e-01,1.610321838801012717e+01
5.025125628140704181e-01,1.646314402877784744e+01
6.030150753768844796e-01,1.679975010391108725e+01
7.035175879396985410e-01,1.710396215759620020e+01
8.040201005025126024e-01,1.736615745622104967e+01
9.045226130653266639e-01,1.757669567233982733e+01
1.005025125628140836e+00,1.772662176583078519e+01
1.105527638190954898e+00,1.780848119959060227e+01
1.206030150753768959e+00,1.781713743058561050e+01
1.306532663316583021e+00,1.775044321313503204e+01
1.407035175879397082e+00,1.760962500539493192e+01
1.507537688442211143e+00,1.739927601154094106e+01
1.608040201005025205e+00,1.712694132149311699e+01
1.708542713567839266e+00,1.680236941649372540e+01
1.809045226130653328e+00,1.643657509180574650e+01
1.909547738693467389e+00,1.604088334828271201e+01
2.010050251256281673e+00,1.562610100877151709e+01
2.110552763819095734e+00,1.520190796208003370e+01
2.211055276381909795e+00,1.477649778547704429e+01
2.311557788944723857e+00,1.435644308711573203e+01
2.412060301507537918e+00,1.394673749715839861e+01
2.512562814070351980e+00,1.355095179328939281e+01
2.613065326633166041e+00,1.317144957759573742e+01
2.713567839195980103e+00,1.280961976619212450e+01
2.814070351758794164e+00,1.246609863271714147e+01
2.914572864321608225e+00,1.214096540750525932e+01
3.015075376884422287e+00,1.183390518013405313e+01
3.115577889447236348e+00,1.154433874222113054e+01
3.216080402010050410e+00,1.127152247856717260e+01
3.316582914572864471e+00,1.101462249768942492e+01
3.417085427135678533e+00,1.077276816035199758e+01
3.517587939698492594e+00,1.054508941485757489e+01
3.618090452261306655e+00,1.033074179498521517e+01
3.718592964824120717e+00,1.012892232094742262e+01
3.819095477386934778e+00,9.938878836811570139e+00
3.919597989949748840e+00,9.759914665910635279e+00
4.020100502512563345e+00,9.591390124041701881e+00
4.120603015075377407e+00,9.432721897281867385e+00
4.221105527638191468e+00,9.283381085508436215e+00
4.321608040201005529e+00,9.142890447575251045e+00
4.422110552763819591e+00,9.010821235380628735e+00
4.522613065326633652e+00,8.886789872496130727e+00
4.623115577889447714e+00,8.770454650374357897e+00
4.723618090452261775e+00,8.661512549688021423e+00
4.824120603015075837e+00,8.559696252004879824e+00
4.924623115577889898e+00,8.464771376037804274e+00
5.025125628140703959e+00,8.376533952536444616e+00
5.125628140703518021e+00,8.294808138219408988e+00
5.226130653266332082e+00,8.219444160560962942e+00
5.326633165829146144e+00,8.150316479975593609e+00
5.427135678391960205e+00,8.087322153027576732e+00
5.527638190954774267e+00,8.030379378917976041e+00
5.628140703517588328e+00,7.979426211142856218e+00
5.728643216080402389e+00,7.934419416487601850e+00
5.829145728643216451e+00,7.895333464158740711e+00
5.929648241206030512e+00,7.862159628672861444e+00
6.030150753768844574e+00,7.834905190996067859e+00
6.130653266331658635e+00,7.813592723269698226e+00
6.231155778894472697e+00,7.798259443209452080e+00
6.331658291457286758e+00,7.788956624881961055e+00
6.432160804020100819e+00,7.785749053012880339e+00
6.532663316582914881e+00,7.788714508235439204e+00
6.633165829145728942e+00,7.797943270721115816e+00
6.733668341708543004e+00,7.813537629415082897e+00
6.834170854271357065e+00,7.835611383593347412e+00
6.934673366834171127e+00,7.864289322623719158e+00
7.035175879396985188e+00,7.899706668596558679e+00
7.135678391959799249e+00,7.942008464828815839e+00
7.236180904522613311e+00,7.991348891057315385e+00
