time,R_energy_linear
0.000000000000000000e+00,-1.820250447621938292e+03
1.010101010101010083e-01,-1.072009919315787783e+03
2.020202020202020166e-01,-8.415472371974839234e+02
3.030303030303030387e-01,-7.824942626004144586e+02
4.040404040404040331e-01,-7.748050675676898891e+02
5.050505050505050830e-01,-7.635568556208488644e+02
6.060606060606060774e-01,-7.353135607933825213e+02
7.070707070707070718e-01,-7.052496505847143453e+02
8.080808080808080662e-01,-6.906801851165270136e+02
9.090909090909090606e-01,-6.917990366018293571e+02
1.010101010101010166e+00,-6.953858902614972521e+02
1.111111111111111160e+00,-6.884163989412327282e+02
1.212121212121212155e+00,-6.660479045217119847e+02
1.313131313131313149e+00,-6.325701654581540652e+02
1.414141414141414144e+00,-5.989902683317918672e+02
1.515151515151515138e+00,-5.784634884085160138e+02
1.616161616161616132e+00,-5.801353934560240759e+02
1.717171717171717127e+00,-6.040480327945302861e+02
1.818181818181818121e+00,-6.402832307507039786e+02
1.919191919191919116e+00,-6.731149070728907873e+02
2.020202020202020332e+00,-6.885779186524626994e+02
2.121212121212121104e+00,-6.828179761017976261e+02
2.222222222222222321e+00,-6.667792064466156035e+02
2.323232323232323093e+00,-6.615054487672105097e+02
2.424242424242424310e+00,-6.837812112786109537e+02
2.525252525252525082e+00,-7.321065238255764598e+02
2.626262626262626299e+00,-7.848879993080859094e+02
2.727272727272727071e+00,-8.134086790247064300e+02
2.828282828282828287e+00,-8.022322577518300477e+02
2.929292929292929060e+00,-7.622221962995165541e+02
3.030303030303030276e+00,-7.213616884340174238e+02
3.131313131313131048e+00,-6.998705611776474598e+02
3.232323232323232265e+00,-6.965905028088163817e+02
3.333333333333333481e+00,-6.970663139060945923e+02
3.434343434343434254e+00,-6.879163745878629470e+02
3.535353535353535470e+00,-6.642570286080373307e+02
3.636363636363636243e+00,-6.303714802020749630e+02
3.737373737373737459e+00,-5.972294893672501530e+02
3.838383838383838231e+00,-5.778012463852069232e+02
3.939393939393939448e+00,-5.808119313691645402e+02
4.040404040404040664e+00,-6.057477573261314774e+02
4.141414141414140992e+00,-6.422437472245808294e+02
4.242424242424242209e+00,-6.744623343302102967e+02
4.343434343434343425e+00,-6.887782445922199486e+02
4.444444444444444642e+00,-6.820683224776007592e+02
4.545454545454544970e+00,-6.660353286174577079e+02
4.646464646464646187e+00,-6.619149783707405277e+02
4.747474747474747403e+00,-6.858074935442776905e+02
4.848484848484848619e+00,-7.350520896536712598e+02
4.949494949494949836e+00,-7.872403370844732535e+02
5.050505050505050164e+00,-8.138366710366856296e+02
5.151515151515151381e+00,-8.006215172080243292e+02
5.252525252525252597e+00,-7.598199105598910137e+02
5.353535353535353813e+00,-7.196517599709999331e+02
5.454545454545454142e+00,-6.993372420727034751e+02
5.555555555555555358e+00,-6.966649688961783795e+02
5.656565656565656575e+00,-6.969074193255986529e+02
5.757575757575757791e+00,-6.870245556860234046e+02
5.858585858585858119e+00,-6.626417539172139186e+02
5.959595959595959336e+00,-6.284784091976878244e+02
6.060606060606060552e+00,-5.957478333436779394e+02
6.161616161616161769e+00,-5.773565291807440190e+02
6.262626262626262097e+00,-5.816370495760762651e+02
6.363636363636363313e+00,-6.075214296230229820e+02
6.464646464646464530e+00,-6.442055915431310495e+02
6.565656565656565746e+00,-6.757575969250821117e+02
6.666666666666666963e+00,-6.889117388678143925e+02
6.767676767676767291e+00,-6.812856562674014640e+02
6.868686868686868507e+00,-6.653231469653318300e+02
6.969696969696969724e+00,-6.624062229413287923e+02
7.070707070707070940e+00,-6.879090158206263368e+02
7.171717171717171269e+00,-7.380068611017014746e+02
7.272727272727272485e+00,-7.895167452267468207e+02
7.373737373737373701e+00,-8.141455055024899821e+02
7.474747474747474918e+00,-7.989287651899431921e+02
7.575757575757575246e+00,-7.574220097148872810e+02
7.676767676767676463e+00,-7.180034280501228068e+02
7.777777777777777679e+00,-6.988565329884073662e+02
7.878787878787878896e+00,-6.967470884946717433e+02
7.979797979797979224e+00,-6.967179911262146561e+02
8.080808080808081328e+00,-6.860899749162730359e+02
8.181818181818181657e+00,-6.609974511261962107e+02
8.282828282828281985e+00,-6.265888243768462189e+02
8.383838383838384090e+00,-5.943074616861305230e+02
8.484848484848484418e+00,-5.769778918551676270e+02
8.585858585858586522e+00,-5.825254318079336144e+02
8.686868686868686851e+00,-6.093268111059213652e+02
8.787878787878787179e+00,-6.461523745532598468e+02
8.888888888888889284e+00,-6.769983624465471621e+02
8.989898989898989612e+00,-6.889828711702714372e+02
9.090909090909089940e+00,-6.804770483141595605e+02
9.191919191919192045e+00,-6.646491472703718273e+02
9.292929292929292373e+00,-6.629823922914522427e+02
9.393939393939394478e+00,-6.900847440695822570e+02
9.494949494949494806e+00,-7.409670380173297417e+02
9.595959595959595134e+00,-7.917135711031010032e+02
9.696969696969697239e+00,-8.143350535439552687e+02
9.797979797979797567e+00,-7.971579740023037175e+02
9.898989898989899672e+00,-7.550330209280546114e+02
1.000000000000000000e+01,-7.164181811039641161e+02
