time,R_energy_linear_jacobian
0.000000000000000000e+00,-1.290872486049613883e+02
1.010101010101010083e-01,-1.235852456666124937e+02
2.020202020202020166e-01,-1.219255802860377145e+02
3.030303030303030387e-01,-1.219953558866756111e+02
4.040404040404040331e-01,-1.227786947699182178e+02
5.050505050505050830e-01,-1.237770760727638617e+02
6.060606060606060774e-01,-1.246738164661568646e+02
7.070707070707070718e-01,-1.252077010773786725e+02
8.080808080808080662e-01,-1.251944214840099363e+02
9.090909090909090606e-01,-1.245792752910342358e+02
1.010101010101010166e+00,-1.234409453853894973e+02
1.111111111111111160e+00,-1.219521315917368725e+02
1.212121212121212155e+00,-1.203324710097196970e+02
1.313131313131313149e+00,-1.187996850131060285e+02
1.414141414141414144e+00,-1.175086355775517148e+02
1.515151515151515138e+00,-1.164955829061663763e+02
1.616161616161616132e+00,-1.156748657385818007e+02
1.717171717171717127e+00,-1.149178677129689561e+02
1.818181818181818121e+00,-1.141829621802748846e+02
1.919191919191919116e+00,-1.136068640666005365e+02
2.020202020202020332e+00,-1.134660095740953949e+02
2.121212121212121104e+00,-1.140037713683385618e+02
2.222222222222222321e+00,-1.152468257684547126e+02
2.323232323232323093e+00,-1.169659738707175052e+02
2.424242424242424310e+00,-1.188134645992731464e+02
2.525252525252525082e+00,-1.205165700785028093e+02
2.626262626262626299e+00,-1.219777746804372924e+02
2.727272727272727071e+00,-1.232268593733463433e+02
2.828282828282828287e+00,-1.242892770628758115e+02
2.929292929292929060e+00,-1.250919896820299329e+02
3.030303030303030276e+00,-1.254831055941854316e+02
3.131313131313131048e+00,-1.253312739628332793e+02
3.232323232323232265e+00,-1.246076676983251019e+02
3.333333333333333481e+00,-1.233986977717330262e+02
3.434343434343434254e+00,-1.218735922476318621e+02
3.535353535353535470e+00,-1.202441361839147191e+02
3.636363636363636243e+00,-1.187191660466892102e+02
3.737373737373737459e+00,-1.174440115954248398e+02
3.838383838383838231e+00,-1.164456671798849499e+02
3.939393939393939448e+00,-1.156326284647615239e+02
4.040404040404040664e+00,-1.148773115243738943e+02
4.141414141414140992e+00,-1.141461513767213347e+02
4.242424242424242209e+00,-1.135857760565450860e+02
4.343434343434343425e+00,-1.134761409132735253e+02
4.444444444444444642e+00,-1.140531010713289675e+02
4.545454545454544970e+00,-1.153290416119567823e+02
4.646464646464646187e+00,-1.170638350654713378e+02
4.747474747474747403e+00,-1.189091253641980899e+02
4.848484848484848619e+00,-1.206002667061025591e+02
4.949494949494949836e+00,-1.220488939942904665e+02
5.050505050505050164e+00,-1.232880682245249062e+02
5.151515151515151381e+00,-1.243395343477263282e+02
5.252525252525252597e+00,-1.251245264073779708e+02
5.353535353535353813e+00,-1.254894719267200571e+02
5.454545454545454142e+00,-1.253069445154877855e+02
5.555555555555555358e+00,-1.245545096196484991e+02
5.656565656565656575e+00,-1.233239702652457908e+02
5.757575757575757791e+00,-1.217878167735442076e+02
5.858585858585858119e+00,-1.201589353709796768e+02
5.959595959595959336e+00,-1.186444281780521806e+02
6.060606060606060552e+00,-1.173844663351893587e+02
6.161616161616161769e+00,-1.163990643687172479e+02
6.262626262626262097e+00,-1.155920376226681441e+02
6.363636363636363313e+00,-1.148374510242983320e+02
6.464646464646464530e+00,-1.141100082309876314e+02
6.565656565656565746e+00,-1.135659870108965777e+02
6.666666666666666963e+00,-1.134882137523929089e+02
6.767676767676767291e+00,-1.141044043326701143e+02
6.868686868686868507e+00,-1.154125253509575799e+02
6.969696969696969724e+00,-1.171619471269051189e+02
7.070707070707070940e+00,-1.190042826304208177e+02
7.171717171717171269e+00,-1.206832378263404308e+02
7.272727272727272485e+00,-1.221194242514313544e+02
7.373737373737373701e+00,-1.233487766718120753e+02
7.474747474747474918e+00,-1.243890621578193105e+02
7.575757575757575246e+00,-1.251558720450143767e+02
7.676767676767676463e+00,-1.254942679042065095e+02
7.777777777777777679e+00,-1.252809829156911547e+02
7.878787878787878896e+00,-1.244999884262684446e+02
7.979797979797979224e+00,-1.232483732111670918e+02
8.080808080808081328e+00,-1.217017783569058054e+02
8.181818181818181657e+00,-1.200740666730917354e+02
8.282828282828281985e+00,-1.185704301483030889e+02
8.383838383838384090e+00,-1.173257181876137452e+02
8.484848484848484418e+00,-1.163529681381053535e+02
8.585858585858586522e+00,-1.155515662672657982e+02
8.686868686868686851e+00,-1.147976171523716289e+02
8.787878787878787179e+00,-1.140743449480469565e+02
8.888888888888889284e+00,-1.135475214124949019e+02
8.989898989898989612e+00,-1.135022966889368661e+02
9.090909090909089940e+00,-1.141577164873739747e+02
9.191919191919192045e+00,-1.017621817512241051e+02
9.292929292929292373e+00,-8.933632523168718365e+01
9.393939393939394478e+00,-7.675879269734706156e+01
9.494949494949494806e+00,-6.404225646527380889e+01
9.595959595959595134e+00,-5.130232631821129274e+01
9.696969696969697239e+00,-3.863698033011129240e+01
9.797979797979797567e+00,-2.600453000316611707e+01
9.898989898989899672e+00,-1.320582329971143487e+01
1.000000000000000000e+01,-0.000000000000000000e+00
