time,R_energy_pc
0.000000000000000000e+00,-1.768282515754563349e+02
1.010101010101010083e-01,-1.761150047896079798e+02
2.020202020202020166e-01,-1.760016886459370085e+02
3.030303030303030387e-01,-1.764155935620727007e+02
4.040404040404040331e-01,-1.770160653053056308e+02
5.050505050505050830e-01,-1.773678737627648445e+02
6.060606060606060774e-01,-1.771636857851893865e+02
7.070707070707070718e-01,-1.764132186938776954e+02
8.080808080808080662e-01,-1.754505336098020223e+02
9.090909090909090606e-01,-1.747153669751141649e+02
1.010101010101010166e+00,-1.745061984259785959e+02
1.111111111111111160e+00,-1.748367908432771856e+02
1.212121212121212155e+00,-1.754836517881906843e+02
1.313131313131313149e+00,-1.761074683792182327e+02
1.414141414141414144e+00,-1.763837084796895738e+02
1.515151515151515138e+00,-1.762032781007652602e+02
1.616161616161616132e+00,-1.757909611115291284e+02
1.717171717171717127e+00,-1.755672639225815601e+02
1.818181818181818121e+00,-1.758602230139115363e+02
1.919191919191919116e+00,-1.766670454332002862e+02
2.020202020202020332e+00,-1.776585738111844819e+02
2.121212121212121104e+00,-1.783672030485231232e+02
2.222222222222222321e+00,-1.784519442324984482e+02
2.323232323232323093e+00,-1.779866346949400224e+02
2.424242424242424310e+00,-1.774206751951442982e+02
2.525252525252525082e+00,-1.772166173455078422e+02
2.626262626262626299e+00,-1.774913085692029426e+02
2.727272727272727071e+00,-1.779667161407446940e+02
2.828282828282828287e+00,-1.782225390530061873e+02
2.929292929292929060e+00,-1.779516631182754338e+02
3.030303030303030276e+00,-1.771590380620830558e+02
3.131313131313131048e+00,-1.761744362535371522e+02
3.232323232323232265e+00,-1.754345571084102460e+02
3.333333333333333481e+00,-1.752314843086865039e+02
3.434343434343434254e+00,-1.755737997509090462e+02
3.535353535353535470e+00,-1.762332487625956219e+02
3.636363636363636243e+00,-1.768638763413475772e+02
3.737373737373737459e+00,-1.771399205710513058e+02
3.838383838383838231e+00,-1.769526206623399105e+02
3.939393939393939448e+00,-1.765278881838212328e+02
4.040404040404040664e+00,-1.762922830560357852e+02
4.141414141414140992e+00,-1.765796773382081426e+02
4.242424242424242209e+00,-1.773883551453268694e+02
4.343434343434343425e+00,-1.783850056683767775e+02
4.444444444444444642e+00,-1.790958380650542665e+02
4.545454545454544970e+00,-1.791749553764074108e+02
4.646464646464646187e+00,-1.786975172937515595e+02
4.747474747474747403e+00,-1.781203284474881912e+02
4.848484848484848619e+00,-1.779100259754852686e+02
4.949494949494949836e+00,-1.781817287007376081e+02
5.050505050505050164e+00,-1.786504858829599698e+02
5.151515151515151381e+00,-1.748781118959938965e+02
5.252525252525252597e+00,-1.709035223500249572e+02
5.353535353535353813e+00,-1.668190907308622855e+02
5.454545454545454142e+00,-1.628399139046047424e+02
5.555555555555555358e+00,-1.591840640827377911e+02
5.656565656565656575e+00,-1.559248048833931648e+02
5.757575757575757791e+00,-1.529404735066361809e+02
5.858585858585858119e+00,-1.500199631401707450e+02
5.959595959595959336e+00,-1.469613163226520953e+02
6.060606060606060552e+00,-1.436457243918321751e+02
6.161616161616161769e+00,-1.400909021917713631e+02
6.262626262626262097e+00,-1.364375048816588105e+02
6.363636363636363313e+00,-1.328863095600655981e+02
6.464646464646464530e+00,-1.295554003749133187e+02
6.565656565656565746e+00,-1.263528299247544595e+02
6.666666666666666963e+00,-1.230529557612877483e+02
6.767676767676767291e+00,-1.194488968448248158e+02
6.868686868686868507e+00,-1.154602975774669318e+02
6.969696969696969724e+00,-1.111988421914087297e+02
7.070707070707070940e+00,-1.069296935022301369e+02
7.171717171717171269e+00,-1.029091818662583790e+02
7.272727272727272485e+00,-9.916440753512021899e+01
7.373737373737373701e+00,-9.550034108784034004e+01
7.474747474747474918e+00,-9.170904760679472645e+01
7.575757575757575246e+00,-8.771003882712565769e+01
7.676767676767676463e+00,-8.359622361944308011e+01
7.777777777777777679e+00,-7.958393775100991263e+01
7.878787878787878896e+00,-7.589659342262903863e+01
7.979797979797979224e+00,-7.261389926960931973e+01
8.080808080808081328e+00,-6.961559912957636698e+01
8.181818181818181657e+00,-6.668590452175354244e+01
8.282828282828281985e+00,-6.361708896271007063e+01
8.383838383838384090e+00,-6.028624779250797161e+01
8.484848484848484418e+00,-5.671120227779816503e+01
8.585858585858586522e+00,-5.303563702221374854e+01
8.686868686868686851e+00,-4.946209743826529603e+01
8.787878787878787179e+00,-4.611220200094837907e+01
8.888888888888889284e+00,-4.289698455912746766e+01
8.989898989898989612e+00,-3.958820787758210713e+01
9.090909090909089940e+00,-3.597388218881422262e+01
9.191919191919192045e+00,-3.197025771901391877e+01
9.292929292929292373e+00,-2.768897516888073795e+01
9.393939393939394478e+00,-2.339758136344120842e+01
9.494949494949494806e+00,-1.935773146491711572e+01
9.595959595959595134e+00,-1.559965841382494034e+01
9.696969696969697239e+00,-1.192618451208289088e+01
9.797979797979797567e+00,-8.126650533549099720e+00
9.898989898989899672e+00,-4.119493842078969514e+00
1.000000000000000000e+01,-0.000000000000000000e+00
