time,R_loc
0.000000000000000000e+00,1.342460513957321133e+00
1.010101010101010083e-01,4.874995640122810614e-01
2.020202020202020166e-01,1.103916209694044137e-01
3.030303030303030387e-01,-1.997443589255715191e-03
4.040404040404040331e-01,3.176559931255712455e-02
5.050505050505050830e-01,1.380693262752888673e-01
6.060606060606060774e-01,2.624536015833764946e-01
7.070707070707070718e-01,3.557275475813793109e-01
8.080808080808080662e-01,3.857368528803055696e-01
9.090909090909090606e-01,3.525885981977190942e-01
1.010101010101010166e+00,2.778329053355381717e-01
1.111111111111111160e+00,1.848403267594966315e-01
1.212121212121212155e+00,9.036173446118989094e-02
1.313131313131313149e+00,4.112772970722516908e-03
1.414141414141414144e+00,-6.840436751509279545e-02
1.515151515151515138e+00,-1.240416114394310987e-01
1.616161616161616132e+00,-1.620107163549181495e-01
1.717171717171717127e+00,-1.850032791745468697e-01
1.818181818181818121e+00,-1.983892234634553331e-01
1.919191919191919116e+00,-2.076230217094057473e-01
2.020202020202020332e+00,-2.164995048960759449e-01
2.121212121212121104e+00,-2.259330561741049737e-01
2.222222222222222321e+00,-2.322964206153889100e-01
2.323232323232323093e+00,-2.272091916498910069e-01
2.424242424242424310e+00,-2.008879497665907732e-01
2.525252525252525082e+00,-1.458456018580805980e-01
2.626262626262626299e+00,-5.892750428348356162e-02
2.727272727272727071e+00,5.750952822084665073e-02
2.828282828282828287e+00,1.912512984412297334e-01
2.929292929292929060e+00,3.157100403890082951e-01
3.030303030303030276e+00,3.966419162434771661e-01
3.131313131313131048e+00,4.114833055228332426e-01
3.232323232323232265e+00,3.645943089980301366e-01
3.333333333333333481e+00,2.810141296038961567e-01
3.434343434343434254e+00,1.834646356835219205e-01
3.535353535353535470e+00,8.670578337725154405e-02
3.636363636363636243e+00,-1.897655098119233053e-04
3.737373737373737459e+00,-7.193961932542503046e-02
3.838383838383838231e+00,-1.262754119606471215e-01
3.939393939393939448e+00,-1.635333341994181511e-01
4.040404040404040664e+00,-1.865308787177026584e-01
4.141414141414140992e+00,-1.998468868234089535e-01
4.242424242424242209e+00,-2.088911205444414221e-01
4.343434343434343425e+00,-2.179780288915100506e-01
4.444444444444444642e+00,-2.284610226339053862e-01
4.545454545454544970e+00,-2.360248728535773166e-01
4.646464646464646187e+00,-2.301259052055506515e-01
4.747474747474747403e+00,-2.021836215960758354e-01
4.848484848484848619e+00,-1.456386646865098222e-01
4.949494949494949836e+00,-5.711813367702467392e-02
5.050505050505050164e+00,6.338810881617862325e-02
5.151515151515151381e+00,2.006845516090044468e-01
5.252525252525252597e+00,3.239934300455493132e-01
5.353535353535353813e+00,4.018682483302248865e-01
5.454545454545454142e+00,4.093023057255820163e-01
5.555555555555555358e+00,3.549105671057370959e-01
5.656565656565656575e+00,2.719669270383132664e-01
5.757575757575757791e+00,1.767316367068783312e-01
5.858585858585858119e+00,8.199632337382534164e-02
5.959595959595959336e+00,-2.904410734952012074e-03
6.060606060606060552e+00,-7.384040682766496166e-02
6.161616161616161769e+00,-1.283212278457359079e-01
6.262626262626262097e+00,-1.657176597998059608e-01
6.363636363636363313e+00,-1.881557641819817661e-01
6.464646464646464530e+00,-2.009863232796610666e-01
6.565656565656565746e+00,-2.100365259257206407e-01
6.666666666666666963e+00,-2.191443999639875462e-01
6.767676767676767291e+00,-2.286879710056877180e-01
6.868686868686868507e+00,-2.347134907348747968e-01
6.969696969696969724e+00,-2.289574345239573927e-01
7.070707070707070940e+00,-2.014479955050811621e-01
7.171717171717171269e+00,-1.448895711086702620e-01
7.272727272727272485e+00,-5.534839045575978833e-02
7.373737373737373701e+00,6.496946572126999220e-02
7.474747474747474918e+00,2.008740566999678845e-01
7.575757575757575246e+00,3.251442800069397343e-01
7.676767676767676463e+00,4.045876988809615771e-01
7.777777777777777679e+00,4.175664753920851346e-01
7.878787878787878896e+00,3.669940377572635248e-01
7.979797979797979224e+00,2.797068407584710203e-01
8.080808080808081328e+00,1.801701906403170295e-01
8.181818181818181657e+00,8.263823515835583278e-02
8.282828282828281985e+00,-4.169943005665421865e-03
8.383838383838384090e+00,-7.572369279030627398e-02
8.484848484848484418e+00,-1.297666066271250807e-01
8.585858585858586522e+00,-1.664562768577090290e-01
8.686868686868686851e+00,-1.887544415391600450e-01
8.787878787878787179e+00,-2.017433234637797113e-01
8.888888888888889284e+00,-2.106924163062634803e-01
8.989898989898989612e+00,-2.197704432063172231e-01
9.090909090909089940e+00,-2.301927705986662742e-01
9.191919191919192045e+00,-2.378069782863244663e-01
9.292929292929292373e+00,-2.318037993018793319e-01
9.393939393939394478e+00,-2.032594461671630992e-01
9.494949494949494806e+00,-1.454621506105431006e-01
9.595959595959595134e+00,-5.496676519082752121e-02
9.696969696969697239e+00,6.743570569039836204e-02
9.797979797979797567e+00,2.048394928613516686e-01
9.898989898989899672e+00,3.288919407830801500e-01
1.000000000000000000e+01,4.064208920326515817e-01
