time,R_spec
0.000000000000000000e+00,9.883225556450304927e-02
1.010101010101010083e-01,1.141773243945393423e-01
2.020202020202020166e-01,1.291714660943713011e-01
3.030303030303030387e-01,1.421547739954699130e-01
4.040404040404040331e-01,1.498268015318181268e-01
5.050505050505050830e-01,1.472993680388607618e-01
6.060606060606060774e-01,1.389261572493708519e-01
7.070707070707070718e-01,1.289379180925536716e-01
8.080808080808080662e-01,1.208050802603505419e-01
9.090909090909090606e-01,1.161500672228185926e-01
1.010101010101010166e+00,1.147325617315729379e-01
1.111111111111111160e+00,1.161993723981420285e-01
1.212121212121212155e+00,1.195724455827266997e-01
1.313131313131313149e+00,1.232956174740895972e-01
1.414141414141414144e+00,1.268769774528224203e-01
1.515151515151515138e+00,1.301733179431551202e-01
1.616161616161616132e+00,1.294609533429054160e-01
1.717171717171717127e+00,1.301318667661238160e-01
1.818181818181818121e+00,1.323580622281101959e-01
1.919191919191919116e+00,1.361950449048848766e-01
2.020202020202020332e+00,1.417206743327301954e-01
2.121212121212121104e+00,1.460745159952856198e-01
2.222222222222222321e+00,1.508736857334531944e-01
2.323232323232323093e+00,1.545791234105169110e-01
2.424242424242424310e+00,1.522619663975922077e-01
2.525252525252525082e+00,1.476078197143872450e-01
2.626262626262626299e+00,1.505782939421926592e-01
2.727272727272727071e+00,1.587498133238734177e-01
2.828282828282828287e+00,1.522398806717864261e-01
2.929292929292929060e+00,1.397466207553342554e-01
3.030303030303030276e+00,1.281756183047513542e-01
3.131313131313131048e+00,1.198186662351800186e-01
3.232323232323232265e+00,1.154597367874562741e-01
3.333333333333333481e+00,1.144134839066675985e-01
3.434343434343434254e+00,1.161689225810622339e-01
3.535353535353535470e+00,1.196928157789164254e-01
3.636363636363636243e+00,1.234689330949218788e-01
3.737373737373737459e+00,1.270609957463554318e-01
3.838383838383838231e+00,1.303174501896365023e-01
3.939393939393939448e+00,1.294624442147546406e-01
4.040404040404040664e+00,1.302169631327884103e-01
4.141414141414140992e+00,1.325233640767154719e-01
4.242424242424242209e+00,1.364488018814214165e-01
4.343434343434343425e+00,1.420553845430997941e-01
4.444444444444444642e+00,1.463110000350568707e-01
4.545454545454544970e+00,1.511354449419641532e-01
4.646464646464646187e+00,1.546326128281091394e-01
4.747474747474747403e+00,1.517992549610879816e-01
4.848484848484848619e+00,1.475949816931675096e-01
4.949494949494949836e+00,1.508819065936852499e-01
5.050505050505050164e+00,1.592900900822208643e-01
5.151515151515151381e+00,1.515905746749615646e-01
5.252525252525252597e+00,1.390897458466877346e-01
5.353535353535353813e+00,1.276288476822620699e-01
5.454545454545454142e+00,1.195050935885741267e-01
5.555555555555555358e+00,1.153226349649878330e-01
5.656565656565656575e+00,1.144433191501324776e-01
5.757575757575757791e+00,1.163235182009185187e-01
5.858585858585858119e+00,1.198927959692733386e-01
5.959595959595959336e+00,1.236659075415774273e-01
6.060606060606060552e+00,1.272436821119366235e-01
6.161616161616161769e+00,1.302471276450935245e-01
6.262626262626262097e+00,1.294619255660719448e-01
6.363636363636363313e+00,1.303007617716343824e-01
6.464646464646464530e+00,1.326894482772092987e-01
6.565656565656565746e+00,1.367053215823534063e-01
6.666666666666666963e+00,1.423921073874002963e-01
6.767676767676767291e+00,1.465509966019970245e-01
6.868686868686868507e+00,1.513984733854975284e-01
6.969696969696969724e+00,1.546911363925039529e-01
7.070707070707070940e+00,1.513614889562745480e-01
7.171717171717171269e+00,1.476053759114589747e-01
7.272727272727272485e+00,1.512027258188488044e-01
7.373737373737373701e+00,1.598360720228719223e-01
7.474747474747474918e+00,1.509378575859040839e-01
7.575757575757575246e+00,1.384358214823072086e-01
7.676767676767676463e+00,1.270908190537376192e-01
7.777777777777777679e+00,1.192003135275003095e-01
7.878787878787878896e+00,1.151950416740235295e-01
7.979797979797979224e+00,1.144810033611713962e-01
8.080808080808081328e+00,1.164832325881818981e-01
8.181818181818181657e+00,1.200932658168898659e-01
8.282828282828281985e+00,1.238622550340616191e-01
8.383838383838384090e+00,1.274255178401001998e-01
8.484848484848484418e+00,1.301808437980052635e-01
8.585858585858586522e+00,1.294660952750473215e-01
8.686868686868686851e+00,1.303888683855416453e-01
8.787878787878787179e+00,1.328600991477256743e-01
8.888888888888889284e+00,1.369667486125232814e-01
8.989898989898989612e+00,1.427013197896883634e-01
9.090909090909089940e+00,1.467949386246381882e-01
9.191919191919192045e+00,1.516628313562504993e-01
9.292929292929292373e+00,1.547546903327226275e-01
9.393939393939394478e+00,1.509484489360875259e-01
9.494949494949494806e+00,1.476389516970181837e-01
9.595959595959595134e+00,1.515403860115386581e-01
9.696969696969697239e+00,1.603869707738131700e-01
9.797979797979797567e+00,1.502820968953196556e-01
9.898989898989899672e+00,1.377852497005259136e-01
1.000000000000000000e+01,1.265617694359273127e-01
