time,R_spec_pc
0.000000000000000000e+00,4.245765304369110149e-01
1.010101010101010083e-01,4.245765304209479507e-01
2.020202020202020166e-01,4.245765304900130377e-01
3.030303030303030387e-01,4.245765303953490388e-01
4.040404040404040331e-01,4.245765304498317905e-01
5.050505050505050830e-01,4.245765304369110149e-01
6.060606060606060774e-01,4.245765303800468349e-01
7.070707070707070718e-01,4.245765304847815003e-01
8.080808080808080662e-01,4.245765304677495688e-01
9.090909090909090606e-01,4.245765304314444433e-01
1.010101010101010166e+00,4.245765304831254916e-01
1.111111111111111160e+00,4.245765303886460118e-01
1.212121212121212155e+00,4.245765304713496335e-01
1.313131313131313149e+00,4.245765304037816823e-01
1.414141414141414144e+00,4.245765304359062076e-01
1.515151515151515138e+00,4.245765304575633836e-01
1.616161616161616132e+00,4.245765304367773996e-01
1.717171717171717127e+00,4.245765304868368561e-01
1.818181818181818121e+00,4.245765304738340351e-01
1.919191919191919116e+00,4.245765303799129975e-01
2.020202020202020332e+00,4.245765303973540461e-01
2.121212121212121104e+00,4.245765304751369928e-01
2.222222222222222321e+00,4.245765303969450954e-01
2.323232323232323093e+00,4.245765304433714582e-01
2.424242424242424310e+00,4.245765303800468349e-01
2.525252525252525082e+00,4.245765304931145012e-01
2.626262626262626299e+00,4.245765304755722003e-01
2.727272727272727071e+00,4.245765305453551575e-01
2.828282828282828287e+00,4.245765304740498625e-01
2.929292929292929060e+00,4.245765304544534269e-01
3.030303030303030276e+00,4.245765304454597877e-01
3.131313131313131048e+00,4.245765304560316089e-01
3.232323232323232265e+00,4.245765304179641153e-01
3.333333333333333481e+00,4.245765303795460133e-01
3.434343434343434254e+00,4.245765304817875618e-01
3.535353535353535470e+00,4.245765304707331267e-01
3.636363636363636243e+00,4.245765304713496335e-01
3.737373737373737459e+00,4.245765304233293791e-01
3.838383838383838231e+00,4.245765304390496930e-01
3.939393939393939448e+00,4.245765304087970593e-01
4.040404040404040664e+00,4.245765304520794925e-01
4.141414141414140992e+00,4.245765304508509197e-01
4.242424242424242209e+00,4.245765304231955417e-01
4.343434343434343425e+00,4.245765304231955417e-01
4.444444444444444642e+00,4.245765304627527326e-01
4.545454545454544970e+00,4.245765303736683816e-01
4.646464646464646187e+00,4.245765304144876184e-01
4.747474747474747403e+00,4.245765304602698298e-01
4.848484848484848619e+00,4.245765304466881385e-01
4.949494949494949836e+00,4.245765304882499480e-01
5.050505050505050164e+00,4.245765303975891913e-01
5.151515151515151381e+00,4.245765304648911886e-01
5.252525252525252597e+00,4.245765303821855130e-01
5.353535353535353813e+00,4.245765304214569880e-01
5.454545454545454142e+00,4.245765304299497500e-01
5.555555555555555358e+00,4.245765304763486347e-01
5.656565656565656575e+00,4.245765304075261870e-01
5.757575757575757791e+00,4.245765304817875618e-01
5.858585858585858119e+00,4.245765304307949628e-01
5.959595959595959336e+00,4.245765304418491759e-01
6.060606060606060552e+00,4.245765304155158515e-01
6.161616161616161769e+00,4.245765304941915841e-01
6.262626262626262097e+00,4.245765304522134409e-01
6.363636363636363313e+00,4.245765304078932822e-01
6.464646464646464530e+00,4.245765304380122451e-01
6.565656565656565746e+00,4.245765305347833918e-01
6.666666666666666963e+00,4.245765304078932822e-01
6.767676767676767291e+00,4.245765305196148032e-01
6.868686868686868507e+00,4.245765304961485187e-01
6.969696969696969724e+00,4.245765304144876184e-01
7.070707070707070940e+00,4.245765303929674439e-01
7.171717171717171269e+00,4.245765304466881385e-01
7.272727272727272485e+00,4.245765304233293791e-01
7.373737373737373701e+00,4.245765303975891913e-01
7.474747474747474918e+00,4.245765304080271196e-01
7.575757575757575246e+00,4.245765304215075586e-01
7.676767676767676463e+00,4.245765304454597877e-01
7.777777777777777679e+00,4.245765304579024457e-01
7.878787878787878896e+00,4.245765304489867442e-01
7.979797979797979224e+00,4.245765304455935141e-01
8.080808080808081328e+00,4.245765304553296149e-01
8.181818181818181657e+00,4.245765304625505610e-01
8.282828282828281985e+00,4.245765304040495236e-01
8.383838383838384090e+00,4.245765304293156461e-01
8.484848484848484418e+00,4.245765304086632219e-01
8.585858585858586522e+00,4.245765304891093161e-01
8.686868686868686851e+00,4.245765304609953050e-01
8.787878787878787179e+00,4.245765304640147231e-01
8.888888888888889284e+00,4.245765303777743194e-01
8.989898989898989612e+00,4.245765304620002789e-01
9.090909090909089940e+00,4.245765304566909704e-01
9.191919191919192045e+00,4.245765304036232535e-01
9.292929292929292373e+00,4.245765304455100808e-01
9.393939393939394478e+00,4.245765304795752759e-01
9.494949494949494806e+00,4.245765303696088511e-01
9.595959595959595134e+00,4.245765303975891913e-01
9.696969696969697239e+00,4.245765304755722003e-01
9.797979797979797567e+00,4.245765304337674184e-01
9.898989898989899672e+00,4.245765303800468349e-01
1.000000000000000000e+01,4.245765304389992334e-01
