time,Rspec_hyper
0.000000000000000000e+00,1.179066175497528457e-01
1.010101010101010083e-01,1.287199460000120199e-01
2.020202020202020166e-01,1.376219336851956798e-01
3.030303030303030387e-01,1.430756672157194043e-01
4.040404040404040331e-01,1.449975725500538548e-01
5.050505050505050830e-01,1.439685579566656326e-01
6.060606060606060774e-01,1.409800654390825358e-01
7.070707070707070718e-01,1.372175846351069983e-01
8.080808080808080662e-01,1.337636511498027092e-01
9.090909090909090606e-01,1.313024315919965879e-01
1.010101010101010166e+00,1.293018550582094306e-01
1.111111111111111160e+00,1.284573815955300236e-01
1.212121212121212155e+00,1.286793217489163033e-01
1.313131313131313149e+00,1.297389956688128620e-01
1.414141414141414144e+00,1.314330544820861701e-01
1.515151515151515138e+00,1.335601253452215753e-01
1.616161616161616132e+00,1.359644785422906010e-01
1.717171717171717127e+00,1.385554204780372056e-01
1.818181818181818121e+00,1.412935247775843062e-01
1.919191919191919116e+00,1.439063366580592140e-01
2.020202020202020332e+00,1.464395520030338793e-01
2.121212121212121104e+00,1.486575064441304217e-01
2.222222222222222321e+00,1.503702121859016860e-01
2.323232323232323093e+00,1.514840660806197892e-01
2.424242424242424310e+00,1.459921652530918323e-01
2.525252525252525082e+00,1.406284625716842096e-01
2.626262626262626299e+00,1.422598442028945587e-01
2.727272727272727071e+00,1.485817192073951021e-01
2.828282828282828287e+00,1.451661567253889062e-01
2.929292929292929060e+00,1.409967080405679918e-01
3.030303030303030276e+00,1.367826784951254315e-01
3.131313131313131048e+00,1.332585932697525621e-01
3.232323232323232265e+00,1.309199276051100924e-01
3.333333333333333481e+00,1.290062188755329020e-01
3.434343434343434254e+00,1.282889583679144296e-01
3.535353535353535470e+00,1.286049501762224212e-01
3.636363636363636243e+00,1.297300480860162919e-01
3.737373737373737459e+00,1.314472918298665860e-01
3.838383838383838231e+00,1.335780714003890202e-01
3.939393939393939448e+00,1.359891833985126530e-01
4.040404040404040664e+00,1.385944393197103830e-01
4.141414141414140992e+00,1.413363814980302946e-01
4.242424242424242209e+00,1.439886004270220787e-01
4.343434343434343425e+00,1.465471815828341129e-01
4.444444444444444642e+00,1.488069887865154373e-01
4.545454545454544970e+00,1.505561164164623544e-01
4.646464646464646187e+00,1.516627161548576297e-01
4.747474747474747403e+00,1.453085858213618298e-01
4.848484848484848619e+00,1.401346815623719655e-01
4.949494949494949836e+00,1.420762667773564913e-01
5.050505050505050164e+00,1.485157757833068248e-01
5.151515151515151381e+00,1.449923114405253788e-01
5.252525252525252597e+00,1.408283576360067624e-01
5.353535353535353813e+00,1.365236000362957391e-01
5.454545454545454142e+00,1.330132860944903128e-01
5.555555555555555358e+00,1.308727446533052008e-01
5.656565656565656575e+00,1.289979254668026099e-01
5.757575757575757791e+00,1.283208689208340803e-01
5.858585858585858119e+00,1.286373572547027944e-01
5.959595959595959336e+00,1.297458212253574661e-01
6.060606060606060552e+00,1.314564708615990063e-01
6.161616161616161769e+00,1.336105769771073759e-01
6.262626262626262097e+00,1.360559941374102633e-01
6.363636363636363313e+00,1.386803707393023111e-01
6.464646464646464530e+00,1.414473064061701757e-01
6.565656565656565746e+00,1.441497377307925931e-01
6.666666666666666963e+00,1.467106725499336684e-01
6.767676767676767291e+00,1.489270072811620105e-01
6.868686868686868507e+00,1.506176190111613855e-01
6.969696969696969724e+00,1.517079701562778216e-01
7.070707070707070940e+00,1.448664407024375100e-01
7.171717171717171269e+00,1.397826927808024644e-01
7.272727272727272485e+00,1.418265629086230828e-01
7.373737373737373701e+00,1.485738816606745061e-01
7.474747474747474918e+00,1.450691973864800810e-01
7.575757575757575246e+00,1.408343457297250578e-01
7.676767676767676463e+00,1.365831224376438946e-01
7.777777777777777679e+00,1.330417935191587631e-01
7.878787878787878896e+00,1.306945354120438441e-01
7.979797979797979224e+00,1.287921264498895491e-01
8.080808080808081328e+00,1.281475630601356663e-01
8.181818181818181657e+00,1.285219326979205046e-01
8.282828282828281985e+00,1.296883893533920806e-01
8.383838383838384090e+00,1.314442586693203019e-01
8.484848484848484418e+00,1.336066994858776946e-01
8.585858585858586522e+00,1.360432924157028711e-01
8.686868686868686851e+00,1.386690180412148699e-01
8.787878787878787179e+00,1.414386276932666775e-01
8.888888888888889284e+00,1.441711548699405043e-01
8.989898989898989612e+00,1.467445903682355612e-01
9.090909090909089940e+00,1.490065632465382151e-01
9.191919191919192045e+00,1.507502640357347989e-01
9.292929292929292373e+00,1.518445408078215320e-01
9.393939393939394478e+00,1.444613910023826164e-01
9.494949494949494806e+00,1.394364072076890448e-01
9.595959595959595134e+00,1.415341516831279123e-01
9.696969696969697239e+00,1.485619645244385112e-01
9.797979797979797567e+00,1.450196335856497043e-01
9.898989898989899672e+00,1.407832351120779923e-01
1.000000000000000000e+01,1.364771154387789120e-01
