time,connectedness
0.000000000000000000e+00,1.314106493679605947e+01
1.010101010101010083e-01,1.214655862545375697e+01
2.020202020202020166e-01,1.176143611330385674e+01
3.030303030303030387e-01,1.168165417964564057e+01
4.040404040404040331e-01,1.174602881907390461e+01
5.050505050505050830e-01,1.184697167876261403e+01
6.060606060606060774e-01,1.191464498760420021e+01
7.070707070707070718e-01,1.191730345445229844e+01
8.080808080808080662e-01,1.186061780451250058e+01
9.090909090909090606e-01,1.177132687194089300e+01
1.010101010101010166e+00,1.167722511526671880e+01
1.111111111111111160e+00,1.159487511531894022e+01
1.212121212121212155e+00,1.152769040099806830e+01
1.313131313131313149e+00,1.147042902699715228e+01
1.414141414141414144e+00,1.141742207656638719e+01
1.515151515151515138e+00,1.136760254034078699e+01
1.616161616161616132e+00,1.132694423229414937e+01
1.717171717171717127e+00,1.130464002528210443e+01
1.818181818181818121e+00,1.130796453042506755e+01
1.919191919191919116e+00,1.133767766838985480e+01
2.020202020202020332e+00,1.138580914268139210e+01
2.121212121212121104e+00,1.143768671757148070e+01
2.222222222222222321e+00,1.148125164401194276e+01
2.323232323232323093e+00,1.151699282868140983e+01
2.424242424242424310e+00,1.155940231407705809e+01
2.525252525252525082e+00,1.162631417529625111e+01
2.626262626262626299e+00,1.172468347287442825e+01
2.727272727272727071e+00,1.184043117946711376e+01
2.828282828282828287e+00,1.193859194125428402e+01
2.929292929292929060e+00,1.198240799361330211e+01
3.030303030303030276e+00,1.195814650567542614e+01
3.131313131313131048e+00,1.188021638210878272e+01
3.232323232323232265e+00,1.177638501072385857e+01
3.333333333333333481e+00,1.167486790506579375e+01
3.434343434343434254e+00,1.158983425414015045e+01
3.535353535353535470e+00,1.152171221039848170e+01
3.636363636363636243e+00,1.146459656821760120e+01
3.737373737373737459e+00,1.141221835383791472e+01
3.838383838383838231e+00,1.136311096505596829e+01
3.939393939393939448e+00,1.132249840830832532e+01
4.040404040404040664e+00,1.129990938486890251e+01
4.141414141414140992e+00,1.130347375545664335e+01
4.242424242424242209e+00,1.133418143777702980e+01
4.343434343434343425e+00,1.138344900415162186e+01
4.444444444444444642e+00,1.143525764516893872e+01
4.545454545454544970e+00,1.147758960201064760e+01
4.646464646464646187e+00,1.151373821132688491e+01
4.747474747474747403e+00,1.155781319184315947e+01
4.848484848484848619e+00,1.162689623635805347e+01
4.949494949494949836e+00,1.172662636875772257e+01
5.050505050505050164e+00,1.184550854222146299e+01
5.151515151515151381e+00,1.194633264154359331e+01
5.252525252525252597e+00,1.198763665702654890e+01
5.353535353535353813e+00,1.195745081566908219e+01
5.454545454545454142e+00,1.187059206821095891e+01
5.555555555555555358e+00,1.176214508870281961e+01
5.656565656565656575e+00,1.166418447610598008e+01
5.757575757575757791e+00,1.158340207769163577e+01
5.858585858585858119e+00,1.151767686933101054e+01
5.959595959595959336e+00,1.146187561484189565e+01
6.060606060606060552e+00,1.140932453097232724e+01
6.161616161616161769e+00,1.135944442470676030e+01
6.262626262626262097e+00,1.131853374939600876e+01
6.363636363636363313e+00,1.129687414420646974e+01
6.464646464646464530e+00,1.130192802448411271e+01
6.565656565656565746e+00,1.133376436507328222e+01
6.666666666666666963e+00,1.138328341246510433e+01
6.767676767676767291e+00,1.143572358855242399e+01
6.868686868686868507e+00,1.147918862712415233e+01
6.969696969696969724e+00,1.151459420161373792e+01
7.070707070707070940e+00,1.155726006836990116e+01
7.171717171717171269e+00,1.162515606505193233e+01
7.272727272727272485e+00,1.172683294911990259e+01
7.373737373737373701e+00,1.184589315217882444e+01
7.474747474747474918e+00,1.194402976403531369e+01
7.575757575757575246e+00,1.198441494926002804e+01
7.676767676767676463e+00,1.195673646819526859e+01
7.777777777777777679e+00,1.187695926610794217e+01
7.878787878787878896e+00,1.177074809285113233e+01
7.979797979797979224e+00,1.166734031955124706e+01
8.080808080808081328e+00,1.158237168444443910e+01
8.181818181818181657e+00,1.151489704329857489e+01
8.282828282828281985e+00,1.145841274037512036e+01
8.383838383838384090e+00,1.140602495915734771e+01
8.484848484848484418e+00,1.135647529578484694e+01
8.585858585858586522e+00,1.131581332175029786e+01
8.686868686868686851e+00,1.129378884375762837e+01
8.787878787878787179e+00,1.129834722602071473e+01
8.888888888888889284e+00,1.133024503548460160e+01
8.989898989898989612e+00,1.138056897377142285e+01
9.090909090909089940e+00,1.143308751800493539e+01
9.191919191919192045e+00,1.147525563848844143e+01
9.292929292929292373e+00,1.151084614308335929e+01
9.393939393939394478e+00,1.155485999395554231e+01
9.494949494949494806e+00,1.162491141718327015e+01
9.595959595959595134e+00,1.172694286009411435e+01
9.696969696969697239e+00,1.184795589313642594e+01
9.797979797979797567e+00,1.194776500953542708e+01
9.898989898989899672e+00,1.198746840669159397e+01
1.000000000000000000e+01,1.195620173811270170e+01
