time,linear_connectedness
0.000000000000000000e+00,1.163266149126803484e+01
1.010101010101010083e-01,1.033889015942961720e+01
2.020202020202020166e-01,9.387050938585028703e+00
3.030303030303030387e-01,9.017938003538517933e+00
4.040404040404040331e-01,9.454297248216187555e+00
5.050505050505050830e-01,9.085908997540778742e+00
6.060606060606060774e-01,8.669708523585264004e+00
7.070707070707070718e-01,8.781020939750067811e+00
8.080808080808080662e-01,9.031280898204069985e+00
9.090909090909090606e-01,8.794373943760476209e+00
1.010101010101010166e+00,8.731784150090049934e+00
1.111111111111111160e+00,8.832994860080388477e+00
1.212121212121212155e+00,9.037979053468456314e+00
1.313131313131313149e+00,8.399371460732837136e+00
1.414141414141414144e+00,8.207367311080350447e+00
1.515151515151515138e+00,8.705412483463497608e+00
1.616161616161616132e+00,8.506556593939631483e+00
1.717171717171717127e+00,8.564311870700457519e+00
1.818181818181818121e+00,8.635281790746553554e+00
1.919191919191919116e+00,8.774204252207249866e+00
2.020202020202020332e+00,9.341850809013303447e+00
2.121212121212121104e+00,8.872684575518757555e+00
2.222222222222222321e+00,8.797797714021099225e+00
2.323232323232323093e+00,9.038070647581079697e+00
2.424242424242424310e+00,8.745185650713912295e+00
2.525252525252525082e+00,8.738702422616723808e+00
2.626262626262626299e+00,8.924062741742524452e+00
2.727272727272727071e+00,9.627108576116183869e+00
2.828282828282828287e+00,9.152752013328969483e+00
2.929292929292929060e+00,8.732782054290970208e+00
3.030303030303030276e+00,8.831428658597403114e+00
3.131313131313131048e+00,9.072693680955572049e+00
3.232323232323232265e+00,8.814881942259821912e+00
3.333333333333333481e+00,8.737299483420869706e+00
3.434343434343434254e+00,8.831094474003796435e+00
3.535353535353535470e+00,9.035756669597429180e+00
3.636363636363636243e+00,8.393922883168325910e+00
3.737373737373737459e+00,8.214371520353175526e+00
3.838383838383838231e+00,8.790147282569611420e+00
3.939393939393939448e+00,8.507199742058642045e+00
4.040404040404040664e+00,8.570082700738048231e+00
4.141414141414140992e+00,8.638471942900146416e+00
4.242424242424242209e+00,8.773903954537111360e+00
4.343434343434343425e+00,9.344399281020967507e+00
4.444444444444444642e+00,8.871916962938037443e+00
4.545454545454544970e+00,8.814652134312623843e+00
4.646464646464646187e+00,8.996935898017007105e+00
4.747474747474747403e+00,8.734366566295459933e+00
4.848484848484848619e+00,8.735478900772383426e+00
4.949494949494949836e+00,8.925455979959007635e+00
5.050505050505050164e+00,9.659460383821055984e+00
5.151515151515151381e+00,9.144452229204521387e+00
5.252525252525252597e+00,8.734880111782350909e+00
5.353535353535353813e+00,8.851401732295363090e+00
5.454545454545454142e+00,9.036407822986765481e+00
5.555555555555555358e+00,8.785682387785744396e+00
5.656565656565656575e+00,8.716948374620212547e+00
5.757575757575757791e+00,8.825938548528849736e+00
5.858585858585858119e+00,9.009267036724686761e+00
5.959595959595959336e+00,8.383959489430992562e+00
6.060606060606060552e+00,8.220756849779807141e+00
6.161616161616161769e+00,8.723524251199373580e+00
6.262626262626262097e+00,8.506772447135126924e+00
6.363636363636363313e+00,8.573559011191321133e+00
6.464646464646464530e+00,8.641632763956209828e+00
6.565656565656565746e+00,8.779197876136699108e+00
6.666666666666666963e+00,9.366592884778095041e+00
6.767676767676767291e+00,8.872003260122895085e+00
6.868686868686868507e+00,8.833013244625274041e+00
6.969696969696969724e+00,8.980642934966068580e+00
7.070707070707070940e+00,8.731502142804400179e+00
7.171717171717171269e+00,8.732456120485890594e+00
7.272727272727272485e+00,8.924335442828779108e+00
7.373737373737373701e+00,9.656920616794288037e+00
7.474747474747474918e+00,9.146476778447935274e+00
7.575757575757575246e+00,8.737939898754433443e+00
7.676767676767676463e+00,8.872843545178429991e+00
7.777777777777777679e+00,9.032184852664222774e+00
7.878787878787878896e+00,8.803639643261865544e+00
7.979797979797979224e+00,8.725729954417332124e+00
8.080808080808081328e+00,8.817411672755147478e+00
8.181818181818181657e+00,9.043490392324514460e+00
8.282828282828281985e+00,8.391747198459105661e+00
8.383838383838384090e+00,8.226318612316132928e+00
8.484848484848484418e+00,8.694090038049573366e+00
8.585858585858586522e+00,8.508155185089435690e+00
8.686868686868686851e+00,8.578443849086454520e+00
8.787878787878787179e+00,8.643971890468739261e+00
8.888888888888889284e+00,8.774615523646923876e+00
8.989898989898989612e+00,9.343936806623219127e+00
9.090909090909089940e+00,8.880653217706768743e+00
9.191919191919192045e+00,8.841836907646790422e+00
9.292929292929292373e+00,8.961024758939508672e+00
9.393939393939394478e+00,8.725550761317801829e+00
9.494949494949494806e+00,8.731331719726025398e+00
9.595959595959595134e+00,8.921566984071855444e+00
9.696969696969697239e+00,9.654911735267692308e+00
9.797979797979797567e+00,9.154188343120114979e+00
9.898989898989899672e+00,8.741908293739452773e+00
1.000000000000000000e+01,8.877908223888086425e+00
