time,linear_potential
0.000000000000000000e+00,5.296734042292403899e+01
1.010101010101010083e-01,4.477446271513940701e+01
2.020202020202020166e-01,4.184121833423425585e+01
3.030303030303030387e-01,4.027970401836508785e+01
4.040404040404040331e-01,3.851955844271294893e+01
5.050505050505050830e-01,3.871032437298850226e+01
6.060606060606060774e-01,3.961259133731748250e+01
7.070707070707070718e-01,4.005814378210125426e+01
8.080808080808080662e-01,4.054327070545187439e+01
9.090909090909090606e-01,4.156503354304863507e+01
1.010101010101010166e+00,4.166139618028920211e+01
1.111111111111111160e+00,4.092281470648973141e+01
1.212121212121212155e+00,3.975286095219069438e+01
1.313131313131313149e+00,3.998281064256068618e+01
1.414141414141414144e+00,3.978088715307780632e+01
1.515151515151515138e+00,3.894289610265479951e+01
1.616161616161616132e+00,4.002420311685818888e+01
1.717171717171717127e+00,4.044366705497670011e+01
1.818181818181818121e+00,4.031110962488496341e+01
1.919191919191919116e+00,3.953552609753201352e+01
2.020202020202020332e+00,3.774258581877086272e+01
2.121212121212121104e+00,3.792159661465146314e+01
2.222222222222222321e+00,3.795487873776901466e+01
2.323232323232323093e+00,3.806590345348645599e+01
2.424242424242424310e+00,3.927916275889825215e+01
2.525252525252525082e+00,3.973799500873329293e+01
2.626262626262626299e+00,3.950697063750574500e+01
2.727272727272727071e+00,3.827347483751157142e+01
2.828282828282828287e+00,3.898061013571383171e+01
2.929292929292929060e+00,3.995365457641840834e+01
3.030303030303030276e+00,4.035411227506678244e+01
3.131313131313131048e+00,4.076003303639974717e+01
3.232323232323232265e+00,4.171041812057056575e+01
3.333333333333333481e+00,4.174132521588904865e+01
3.434343434343434254e+00,4.095236648865297724e+01
3.535353535353535470e+00,3.974406582860500237e+01
3.636363636363636243e+00,3.996532274337309332e+01
3.737373737373737459e+00,3.975548748406563959e+01
3.838383838383838231e+00,3.885717440403044520e+01
3.939393939393939448e+00,4.009515595516815267e+01
4.040404040404040664e+00,4.049509308909254912e+01
4.141414141414140992e+00,4.034953116772955894e+01
4.242424242424242209e+00,3.955882794357656707e+01
4.343434343434343425e+00,3.773498829339168026e+01
4.444444444444444642e+00,3.790069177453948157e+01
4.545454545454544970e+00,3.790279396395987987e+01
4.646464646464646187e+00,3.814531968856857702e+01
4.747474747474747403e+00,3.932870366379995630e+01
4.848484848484848619e+00,3.976722435336083095e+01
4.949494949494949836e+00,3.951226836268213560e+01
5.050505050505050164e+00,3.825501712867825432e+01
5.151515151515151381e+00,3.905573419540869651e+01
5.252525252525252597e+00,4.000748271844815918e+01
5.353535353535353813e+00,4.038594287776496827e+01
5.454545454545454142e+00,4.086153457074536277e+01
5.555555555555555358e+00,4.172469289824066152e+01
5.656565656565656575e+00,4.172208422519170057e+01
5.757575757575757791e+00,4.090840038664944700e+01
5.858585858585858119e+00,3.974389619537675600e+01
5.959595959595959336e+00,3.996638607787336639e+01
6.060606060606060552e+00,3.974525754506625219e+01
6.161616161616161769e+00,3.898310948807128540e+01
6.262626262626262097e+00,4.013837813219259942e+01
6.363636363636363313e+00,4.051896618581627507e+01
6.464646464646464530e+00,4.035491958504461252e+01
6.565656565656565746e+00,3.954021668179411364e+01
6.666666666666666963e+00,3.768376483996002690e+01
6.767676767676767291e+00,3.790399880112576625e+01
6.868686868686868507e+00,3.790597374762994320e+01
6.969696969696969724e+00,3.822045795322969752e+01
7.070707070707070940e+00,3.937749629055696232e+01
7.171717171717171269e+00,3.981065245110916351e+01
7.272727272727272485e+00,3.954090043148189437e+01
7.373737373737373701e+00,3.825967933206042915e+01
7.474747474747474918e+00,3.902424150464489827e+01
7.575757575757575246e+00,3.998468996419797605e+01
7.676767676767676463e+00,4.035149958587635410e+01
7.777777777777777679e+00,4.094010355130117063e+01
7.878787878787878896e+00,4.183084105817609810e+01
7.979797979797979224e+00,4.181963307772367244e+01
8.080808080808081328e+00,4.099322516943320238e+01
8.181818181818181657e+00,3.972387793971815029e+01
8.282828282828281985e+00,3.995358884190603987e+01
8.383838383838384090e+00,3.972810003094428311e+01
8.484848484848484418e+00,3.904651201900841784e+01
8.585858585858586522e+00,4.017800537087778423e+01
8.686868686868686851e+00,4.055877364236101812e+01
8.787878787878787179e+00,4.039641519861581997e+01
8.888888888888889284e+00,3.958712427408066503e+01
8.989898989898989612e+00,3.773891862836251931e+01
9.090909090909089940e+00,3.788325405840337368e+01
9.191919191919192045e+00,3.786842288269917844e+01
9.292929292929292373e+00,3.825048681066014922e+01
9.393939393939394478e+00,3.940460682814426718e+01
9.494949494949494806e+00,3.983267798401094240e+01
9.595959595959595134e+00,3.956938681006489844e+01
9.696969696969697239e+00,3.829600119294920546e+01
9.797979797979797567e+00,3.905233834970825768e+01
9.898989898989899672e+00,4.000940889224338548e+01
1.000000000000000000e+01,4.036816743847226263e+01
