time,potential
0.000000000000000000e+00,1.131282139573465315e+02
1.010101010101010083e-01,1.048285011850708912e+02
2.020202020202020166e-01,1.011084839238418880e+02
3.030303030303030387e-01,9.993260764081563252e+01
4.040404040404040331e-01,1.001200613704118609e+02
5.050505050505050830e-01,1.009042036986147224e+02
6.060606060606060774e-01,1.017665498648625260e+02
7.070707070707070718e-01,1.024106392048089447e+02
8.080808080808080662e-01,1.027484870085442168e+02
9.090909090909090606e-01,1.028372745848962921e+02
1.010101010101010166e+00,1.027822943257026225e+02
1.111111111111111160e+00,1.026559252916038787e+02
1.212121212121212155e+00,1.024661687886333539e+02
1.313131313131313149e+00,1.021757316393527617e+02
1.414141414141414144e+00,1.017490979490789300e+02
1.515151515151515138e+00,1.011960305978275017e+02
1.616161616161616132e+00,1.005850866783215736e+02
1.717171717171717127e+00,1.000185839256348999e+02
1.818181818181818121e+00,9.958308409533229622e+01
1.919191919191919116e+00,9.930451183376780477e+01
2.020202020202020332e+00,9.913689435293603935e+01
2.121212121212121104e+00,9.899777659577286215e+01
2.222222222222222321e+00,9.883548866972788005e+01
2.323232323232323093e+00,9.868613841272841114e+01
2.424242424242424310e+00,9.867447884225438770e+01
2.525252525252525082e+00,9.894582026053919321e+01
2.626262626262626299e+00,9.956639084337602696e+01
2.727272727272727071e+00,1.004584886939683486e+02
2.828282828282828287e+00,1.014206069545627145e+02
2.929292929292929060e+00,1.022261235009536762e+02
3.030303030303030276e+00,1.027342282437612226e+02
3.131313131313131048e+00,1.029378794929618266e+02
3.232323232323232265e+00,1.029277697558255653e+02
3.333333333333333481e+00,1.028130242079298284e+02
3.434343434343434254e+00,1.026555605505875235e+02
3.535353535353535470e+00,1.024502982631753838e+02
3.636363636363636243e+00,1.021506900212076943e+02
3.737373737373737459e+00,1.017175238317255577e+02
3.838383838383838231e+00,1.011609708919064872e+02
3.939393939393939448e+00,1.005512204632491660e+02
4.040404040404040664e+00,9.999084346026336334e+01
4.141414141414140992e+00,9.956420958434119939e+01
4.242424242424242209e+00,9.929347437017597144e+01
4.343434343434343425e+00,9.912956851630090682e+01
4.444444444444444642e+00,9.898993731621695247e+01
4.545454545454544970e+00,9.882650723850071017e+01
4.646464646464646187e+00,9.868073091526466101e+01
4.747474747474747403e+00,9.868069198470188041e+01
4.848484848484848619e+00,9.897000093037310364e+01
4.949494949494949836e+00,9.960827287074802427e+01
5.050505050505050164e+00,1.005098851236738113e+02
5.151515151515151381e+00,1.014690483548372555e+02
5.252525252525252597e+00,1.022611910101196315e+02
5.353535353535353813e+00,1.027521761412021561e+02
5.454545454545454142e+00,1.029416834597232935e+02
5.555555555555555358e+00,1.029234804588884202e+02
5.656565656565656575e+00,1.028055098735018618e+02
5.757575757575757791e+00,1.026461790152810494e+02
5.858585858585858119e+00,1.024372409857035962e+02
5.959595959595959336e+00,1.021312390211914760e+02
6.060606060606060552e+00,1.016907177201038053e+02
6.161616161616161769e+00,1.011291119939254628e+02
6.262626262626262097e+00,1.005193289489294841e+02
6.363636363636363313e+00,9.996432860639865225e+01
6.464646464646464530e+00,9.954608158098665172e+01
6.565656565656565746e+00,9.928278416269758111e+01
6.666666666666666963e+00,9.912224984898665525e+01
6.767676767676767291e+00,9.898194074067667714e+01
6.868686868686868507e+00,9.881749883256912881e+01
6.969696969696969724e+00,9.867569286817722229e+01
7.070707070707070940e+00,9.868771925973824466e+01
7.171717171717171269e+00,9.899519040967307149e+01
7.272727272727272485e+00,9.965092214343842159e+01
7.373737373737373701e+00,1.005614479707409288e+02
7.474747474747474918e+00,1.015169978429961191e+02
7.575757575757575246e+00,1.022953772347402861e+02
7.676767676767676463e+00,1.027692499811230391e+02
7.777777777777777679e+00,1.029448991339415898e+02
7.878787878787878896e+00,1.029189266600029953e+02
7.979797979797979224e+00,1.027978988406987924e+02
8.080808080808081328e+00,1.026366696680715620e+02
8.181818181818181657e+00,1.024239075174785825e+02
8.282828282828281985e+00,1.021113937963494891e+02
8.383838383838384090e+00,1.016635516186903914e+02
8.484848484848484418e+00,1.010971081322616243e+02
8.585858585858586522e+00,1.004875990237221828e+02
8.686868686868686851e+00,9.993821686809172888e+01
8.787878787878787179e+00,9.952840836910796440e+01
8.888888888888889284e+00,9.927239196236612884e+01
8.989898989898989612e+00,9.911497955064476173e+01
9.090909090909089940e+00,9.897385412229820645e+01
9.191919191919192045e+00,9.880853438924826548e+01
9.292929292929292373e+00,9.867108632410884184e+01
9.393939393939394478e+00,9.869560011677735645e+01
9.494949494949494806e+00,9.902139696365163957e+01
9.595959595959595134e+00,9.969431809350056994e+01
9.696969696969697239e+00,1.006131391685983516e+02
9.797979797979797567e+00,1.015644210256286328e+02
9.898989898989899672e+00,1.023286702745055550e+02
1.000000000000000000e+01,1.027854644539120557e+02
