time,potential_global
0.000000000000000000e+00,1.722754555965579755e+02
1.010101010101010083e-01,1.608495680169919240e+02
2.020202020202020166e-01,1.556133034868799996e+02
3.030303030303030387e-01,1.539127921379197232e+02
4.040404040404040331e-01,1.541952407869210617e+02
5.050505050505050830e-01,1.554376806984848827e+02
6.060606060606060774e-01,1.569446026841199284e+02
7.070707070707070718e-01,1.582576757478053082e+02
8.080808080808080662e-01,1.591458420574048489e+02
9.090909090909090606e-01,1.595691846832696967e+02
1.010101010101010166e+00,1.596040458225567988e+02
1.111111111111111160e+00,1.593571814813151377e+02
1.212121212121212155e+00,1.589043539923503090e+02
1.313131313131313149e+00,1.582752696199178217e+02
1.414141414141414144e+00,1.574942050117022632e+02
1.515151515151515138e+00,1.566121001393048573e+02
1.616161616161616132e+00,1.557117323023408630e+02
1.717171717171717127e+00,1.548752008491083814e+02
1.818181818181818121e+00,1.541576365127464214e+02
1.919191919191919116e+00,1.535720632942823443e+02
2.020202020202020332e+00,1.530824803832495320e+02
2.121212121212121104e+00,1.526294947179035830e+02
2.222222222222222321e+00,1.521948177363658203e+02
2.323232323232323093e+00,1.518603478887873166e+02
2.424242424242424310e+00,1.517910097511654897e+02
2.525252525252525082e+00,1.521547990329708568e+02
2.626262626262626299e+00,1.530399349916495453e+02
2.727272727272727071e+00,1.543975300145591234e+02
2.828282828282828287e+00,1.559994479207550171e+02
2.929292929292929060e+00,1.575228944441763019e+02
3.030303030303030276e+00,1.587138778003843527e+02
3.131313131313131048e+00,1.594515447215260906e+02
3.232323232323232265e+00,1.597291093241019837e+02
3.333333333333333481e+00,1.596637688746819492e+02
3.434343434343434254e+00,1.593604305134650758e+02
3.535353535353535470e+00,1.588737859778236157e+02
3.636363636363636243e+00,1.582286599504510889e+02
3.737373737373737459e+00,1.574467134546540876e+02
3.838383838383838231e+00,1.565692221551579451e+02
3.939393939393939448e+00,1.556665112286330270e+02
4.040404040404040664e+00,1.548224381587595815e+02
4.141414141414140992e+00,1.541033672225746045e+02
4.242424242424242209e+00,1.535228076442033398e+02
4.343434343434343425e+00,1.530344032534974019e+02
4.444444444444444642e+00,1.525690557516434183e+02
4.545454545454544970e+00,1.521144432708098577e+02
4.646464646464646187e+00,1.517841507583152634e+02
4.747474747474747403e+00,1.517296865905081518e+02
4.848484848484848619e+00,1.521135261722935468e+02
4.949494949494949836e+00,1.530290104404860756e+02
5.050505050505050164e+00,1.544447254764625654e+02
5.151515151515151381e+00,1.560973875941582492e+02
5.252525252525252597e+00,1.576112409842383499e+02
5.353535353535353813e+00,1.587827664422575538e+02
5.454545454545454142e+00,1.594503683461291814e+02
5.555555555555555358e+00,1.596424695928471067e+02
5.656565656565656575e+00,1.595837287379891052e+02
5.757575757575757791e+00,1.593049513783107329e+02
5.858585858585858119e+00,1.588366583651264534e+02
5.959595959595959336e+00,1.582046857862981142e+02
6.060606060606060552e+00,1.574207906819900984e+02
6.161616161616161769e+00,1.565300289132991907e+02
6.262626262626262097e+00,1.556158063633019992e+02
6.363636363636363313e+00,1.547737541495097560e+02
6.464646464646464530e+00,1.540597242779004716e+02
6.565656565656565746e+00,1.534792706668226856e+02
6.666666666666666963e+00,1.529904512389997819e+02
6.767676767676767291e+00,1.525365569729834192e+02
6.868686868686868507e+00,1.521015485348845004e+02
6.969696969696969724e+00,1.517689313026376396e+02
7.070707070707070940e+00,1.517098063959939793e+02
7.171717171717171269e+00,1.520886602856915601e+02
7.272727272727272485e+00,1.530162072430532305e+02
7.373737373737373701e+00,1.544271971390288911e+02
7.474747474747474918e+00,1.560545968414228639e+02
7.575757575757575246e+00,1.575757975077175388e+02
7.676767676767676463e+00,1.587611633976862606e+02
7.777777777777777679e+00,1.595002890591201208e+02
7.878787878787878896e+00,1.597562993170589607e+02
7.979797979797979224e+00,1.596596239815924321e+02
8.080808080808081328e+00,1.593369591478072493e+02
8.181818181818181657e+00,1.588389388758452867e+02
8.282828282828281985e+00,1.581872106302113821e+02
8.383838383838384090e+00,1.573947427036418105e+02
8.484848484848484418e+00,1.565052322848521840e+02
8.585858585858586522e+00,1.555952534346213838e+02
8.686868686868686851e+00,1.547496156940016760e+02
8.787878787878787179e+00,1.540302211551002074e+02
8.888888888888889284e+00,1.534506720846794110e+02
8.989898989898989612e+00,1.529641493043294531e+02
9.090909090909089940e+00,1.524995321195112865e+02
9.191919191919192045e+00,1.520408798921202447e+02
9.292929292929292373e+00,1.517064289675163593e+02
9.393939393939394478e+00,1.516553876315628600e+02
9.494949494949494806e+00,1.520543555243112621e+02
9.595959595959595134e+00,1.529971115787180906e+02
9.696969696969697239e+00,1.544389726084894221e+02
9.797979797979797567e+00,1.560900180159726460e+02
9.898989898989899672e+00,1.576113248578817263e+02
1.000000000000000000e+01,1.587800166475090009e+02
