time,row_entropy_connectedness
0.000000000000000000e+00,7.700490311067814275e+01
1.010101010101010083e-01,7.254030866655304521e+01
2.020202020202020166e-01,7.037835858885641471e+01
3.030303030303030387e-01,6.962781747072841654e+01
4.040404040404040331e-01,6.974099763023960463e+01
5.050505050505050830e-01,7.035655214649521838e+01
6.060606060606060774e-01,7.120974453666033810e+01
7.070707070707070718e-01,7.208065035241534702e+01
8.080808080808080662e-01,7.279672018375664777e+01
9.090909090909090606e-01,7.325658236232800391e+01
1.010101010101010166e+00,7.343811935575624261e+01
1.111111111111111160e+00,7.337932829307111149e+01
1.212121212121212155e+00,7.314321015233599610e+01
1.313131313131313149e+00,7.278960072882713916e+01
1.414141414141414144e+00,7.236892438864921928e+01
1.515151515151515138e+00,7.192130962582477594e+01
1.616161616161616132e+00,7.147253256826805057e+01
1.717171717171717127e+00,7.103017740807990776e+01
1.818181818181818121e+00,7.059007588983901371e+01
1.919191919191919116e+00,7.014906387343398819e+01
2.020202020202020332e+00,6.971038807924034586e+01
2.121212121212121104e+00,6.928844811428578510e+01
2.222222222222222321e+00,6.891600555047722310e+01
2.323232323232323093e+00,6.864850574021335206e+01
2.424242424242424310e+00,6.854817960296861656e+01
2.525252525252525082e+00,6.866823309091589067e+01
2.626262626262626299e+00,6.904195626080402803e+01
2.727272727272727071e+00,6.967183312778234949e+01
2.828282828282828287e+00,7.050201115312449929e+01
2.929292929292929060e+00,7.141507598581009120e+01
3.030303030303030276e+00,7.227208968869027217e+01
3.131313131313131048e+00,7.294540972912156462e+01
3.232323232323232265e+00,7.335014734737958975e+01
3.333333333333333481e+00,7.348716615453969325e+01
3.434343434343434254e+00,7.339914716049605659e+01
3.535353535353535470e+00,7.314417705089843480e+01
3.636363636363636243e+00,7.278065414288448665e+01
3.737373737373737459e+00,7.235883082103870834e+01
3.838383838383838231e+00,7.191378814301921807e+01
3.939393939393939448e+00,7.146544656566052822e+01
4.040404040404040664e+00,7.102013830740821732e+01
4.141414141414140992e+00,7.057833110698865653e+01
4.242424242424242209e+00,7.013655667676226813e+01
4.343434343434343425e+00,6.969411684749883307e+01
4.444444444444444642e+00,6.926385660853733839e+01
4.545454545454544970e+00,6.888295404378774833e+01
4.646464646464646187e+00,6.861840464981008836e+01
4.747474747474747403e+00,6.852485641920081605e+01
4.848484848484848619e+00,6.865261659333822308e+01
4.949494949494949836e+00,6.904023803083396160e+01
5.050505050505050164e+00,6.969688554255975532e+01
5.151515151515151381e+00,7.054992769281791709e+01
5.252525252525252597e+00,7.146263155243332221e+01
5.353535353535353813e+00,7.232058894065383470e+01
5.454545454545454142e+00,7.297250536643866781e+01
5.555555555555555358e+00,7.333539797223738788e+01
5.656565656565656575e+00,7.346610612855283762e+01
5.757575757575757791e+00,7.338086913918282050e+01
5.858585858585858119e+00,7.313043204128194930e+01
5.959595959595959336e+00,7.277337049102214905e+01
6.060606060606060552e+00,7.235279311923449086e+01
6.161616161616161769e+00,7.190333282346085753e+01
6.262626262626262097e+00,7.144974199735688103e+01
6.363636363636363313e+00,7.100358497134055824e+01
6.464646464646464530e+00,7.056069021623673621e+01
6.565656565656565746e+00,7.011607647022393053e+01
6.666666666666666963e+00,6.967340455904361818e+01
6.767676767676767291e+00,6.924930573270430045e+01
6.868686868686868507e+00,6.887791725820497390e+01
6.969696969696969724e+00,6.861392787431995544e+01
7.070707070707070940e+00,6.852076662385188399e+01
7.171717171717171269e+00,6.864986517086808249e+01
7.272727272727272485e+00,6.904125742920683706e+01
7.373737373737373701e+00,6.969621109578599771e+01
7.474747474747474918e+00,7.054301156877059498e+01
7.575757575757575246e+00,7.146383937227166427e+01
7.676767676767676463e+00,7.232575692401572098e+01
7.777777777777777679e+00,7.300328253587781546e+01
7.878787878787878896e+00,7.339802508913106749e+01
7.979797979797979224e+00,7.351754073477431461e+01
8.080808080808081328e+00,7.341459795236917785e+01
8.181818181818181657e+00,7.314900806141879741e+01
8.282828282828281985e+00,7.277933078643941656e+01
8.383838383838384090e+00,7.235216103477924321e+01
8.484848484848484418e+00,7.190282983327483635e+01
8.585858585858586522e+00,7.145177017929547958e+01
8.686868686868686851e+00,7.100523187029756400e+01
8.787878787878787179e+00,7.056060834939509618e+01
8.888888888888889284e+00,7.011569776746711113e+01
8.989898989898989612e+00,6.967095993205788318e+01
9.090909090909089940e+00,6.923913314432348898e+01
9.191919191919192045e+00,6.885670110244628006e+01
9.292929292929292373e+00,6.859189673456990022e+01
9.393939393939394478e+00,6.850134693124118712e+01
9.494949494949494806e+00,6.863635288884452734e+01
9.595959595959595134e+00,6.903524981253777071e+01
9.696969696969697239e+00,6.970313278893195275e+01
9.797979797979797567e+00,7.055901217714213658e+01
9.898989898989899672e+00,7.148117421869504540e+01
1.000000000000000000e+01,7.234073319562399718e+01
