time,R_energy_linear
0.000000000000000000e+00,-4.195999996517185537e+03
1.005025125628140753e-01,-7.031791140620893202e+03
2.010050251256281506e-01,-4.298762334449074842e+03
3.015075376884422398e-01,-1.265835269952173121e+03
4.020100502512563012e-01,-2.675589200986455580e+02
5.025125628140704181e-01,-5.818788096752997063e+01
6.030150753768844796e-01,-2.022245246923445805e+01
7.035175879396985410e-01,-1.291480060160730758e+01
8.040201005025126024e-01,-1.061143811299669970e+01
9.045226130653266639e-01,-9.068474544442064911e+00
1.005025125628140836e+00,-7.695321559098353248e+00
1.105527638190954898e+00,-6.458989987991882842e+00
1.206030150753768959e+00,-5.376997724042338334e+00
1.306532663316583021e+00,-4.451745287012316865e+00
1.407035175879397082e+00,-3.672402660944131370e+00
1.507537688442211143e+00,-3.022195219771218966e+00
1.608040201005025205e+00,-2.483009750897056112e+00
1.708542713567839266e+00,-2.037650607532478730e+00
1.809045226130653328e+00,-1.670756896569303818e+00
1.909547738693467389e+00,-1.369047314937536175e+00
2.010050251256281673e+00,-1.121253565995326218e+00
2.110552763819095734e+00,-9.179250384633721449e-01
2.211055276381909795e+00,-7.511937244304153216e-01
2.311557788944723857e+00,-6.145409502842045235e-01
2.412060301507537918e+00,-5.025838131526112473e-01
2.512562814070351980e+00,-4.108876203089735224e-01
2.613065326633166041e+00,-3.358050463639933314e-01
2.713567839195980103e+00,-2.743402386131134074e-01
2.814070351758794164e+00,-2.240351312152736030e-01
2.914572864321608225e+00,-1.828750157041222624e-01
3.015075376884422287e+00,-1.492105763095374904e-01
3.115577889447236348e+00,-1.216939067864578894e-01
3.216080402010050410e+00,-9.922640799756027308e-02
3.316582914572864471e+00,-8.091686754300793372e-02
3.417085427135678533e+00,-6.604843589480458022e-02
3.517587939698492594e+00,-5.405364912843253072e-02
3.618090452261306655e+00,-4.449712976221882610e-02
3.718592964824120717e+00,-3.706616798468244378e-02
3.819095477386934778e+00,-3.157010740084593980e-02
3.919597989949748840e+00,-2.795042422412391536e-02
4.020100502512563345e+00,-2.630472938975352698e-02
4.120603015075377407e+00,-2.692983258259275259e-02
4.221105527638191468e+00,-3.039176737490289701e-02
4.321608040201005529e+00,-3.763469748348796662e-02
4.422110552763819591e+00,-5.014650099004951816e-02
4.522613065326633652e+00,-7.020742283972991604e-02
4.623115577889447714e+00,-1.012607328826144876e-01
4.723618090452261775e+00,-1.484625843098896780e-01
4.824120603015075837e+00,-2.194947014467066304e-01
4.924623115577889898e+00,-3.257615161840278217e-01
5.025125628140703959e+00,-4.841473968114479720e-01
5.125628140703518021e+00,-7.195852539580939178e-01
5.226130653266332082e+00,-1.068791206801860794e+00
5.326633165829146144e+00,-1.585655872368525898e+00
5.427135678391960205e+00,-2.348949017832842046e+00
5.527638190954774267e+00,-3.473167968555910257e+00
5.628140703517588328e+00,-5.123462617379995976e+00
5.728643216080402389e+00,-7.535391644665774713e+00
5.829145728643216451e+00,-1.103925261884190334e+01
5.929648241206030512e+00,-1.608554804413632766e+01
6.030150753768844574e+00,-2.325946434963023890e+01
6.130653266331658635e+00,-3.324997224700407372e+01
6.231155778894472697e+00,-4.668390036361454776e+01
6.331658291457286758e+00,-6.360437739883176533e+01
6.432160804020100819e+00,-8.210167598192614946e+01
6.532663316582914881e+00,-9.533393350466822369e+01
6.633165829145728942e+00,-8.834754577998904779e+01
6.733668341708543004e+00,-5.971933460159885954e+01
6.834170854271357065e+00,-2.352428748952684998e+02
6.934673366834171127e+00,-1.910664455399253939e+03
7.035175879396985188e+00,-6.458274005503104490e+03
7.135678391959799249e+00,-7.236385125163977136e+03
7.236180904522613311e+00,-2.844035061751230387e+03
7.336683417085427372e+00,-5.873438523420027195e+02
7.437185929648241434e+00,-1.027078655414940442e+02
7.537688442211055495e+00,-3.354988111511015347e+01
7.638190954773869557e+00,-2.618033661198068884e+01
7.738693467336683618e+00,-2.431874096799793250e+01
7.839195979899497679e+00,-2.181170380104280682e+01
7.939698492462311741e+00,-1.885662745317471689e+01
8.040201005025126690e+00,-1.594352768887906535e+01
8.140703517587940752e+00,-1.331065993109429257e+01
8.241206030150754813e+00,-1.103132056646971115e+01
8.341708542713568875e+00,-9.102239988559688300e+00
8.442211055276382936e+00,-7.490045711664605754e+00
8.542713567839196998e+00,-6.152569693242470272e+00
8.643216080402011059e+00,-5.047972240711180447e+00
8.743718592964825120e+00,-4.138297713798233524e+00
8.844221105527639182e+00,-3.390546039994222660e+00
8.944723618090453243e+00,-2.776670598055021255e+00
9.045226130653267305e+00,-2.273145321566539589e+00
9.145728643216081366e+00,-1.860393154647671521e+00
9.246231155778895427e+00,-1.522205688257820766e+00
9.346733668341709489e+00,-1.245208288449814349e+00
9.447236180904523550e+00,-1.018389649108831563e+00
9.547738693467337612e+00,-8.326985075212497422e-01
9.648241206030151673e+00,-6.807031780906037666e-01
9.748743718592965735e+00,-5.563068612337792596e-01
9.849246231155779796e+00,-4.545110912975864892e-01
9.949748743718593857e+00,-3.712200412837078911e-01
1.005025125628140792e+01,-3.030791463518675566e-01
1.015075376884422198e+01,-2.473423773596812314e-01
1.025125628140703604e+01,-2.017633509063132269e-01
1.035175879396985010e+01,-1.645062646708218834e-01
1.045226130653266416e+01,-1.340733587227243839e-01
1.055276381909547823e+01,-1.092462539278958589e-01
1.065326633165829229e+01,-8.903910578056555003e-02
1.075376884422110635e+01,-7.266207228792023742e-02
1.085427135678392041e+01,-5.949415619762497831e-02
1.095477386934673447e+01,-4.906509345475599387e-02
1.105527638190954853e+01,-4.104667929786469383e-02
1.115577889447236259e+01,-3.525483788820489572e-02
1.125628140703517666e+01,-3.166496915474921459e-02
1.135678391959799072e+01,-3.044482123076798843e-02
1.145728643216080478e+01,-3.201158890930652645e-02
1.155778894472361884e+01,-3.712349258835642013e-02
1.165829145728643290e+01,-4.702127974093973928e-02
1.175879396984924696e+01,-6.364268331882079466e-02
1.185929648241206102e+01,-8.994398451535935701e-02
1.195979899497487509e+01,-1.303790619356071101e-01
1.206030150753768915e+01,-1.916099376317560721e-01
1.216080402010050321e+01,-2.835570255198440193e-01
1.226130653266331727e+01,-4.209463661069035023e-01
1.236180904522613133e+01,-6.255807158419997016e-01
1.246231155778894539e+01,-9.296582240057277291e-01
1.256281407035175945e+01,-1.380593342506283516e+00
1.266331658291457352e+01,-2.047962766878052232e+00
1.276381909547738758e+01,-3.033394411068758068e+00
1.286432160804020164e+01,-4.484391676516180425e+00
1.296482412060301570e+01,-6.613092677845490819e+00
1.306532663316582976e+01,-9.720409874232798231e+00
1.316582914572864382e+01,-1.422388558387033797e+01
1.326633165829145788e+01,-2.068139111321915635e+01
1.336683417085427195e+01,-2.978626082525085650e+01
1.346733668341708601e+01,-4.226713746865988952e+01
1.356783919597990007e+01,-5.852259087377301228e+01
1.366834170854271413e+01,-7.759596911693770949e+01
1.376884422110552819e+01,-9.481283930089811918e+01
1.386934673366834225e+01,-9.877530689800865105e+01
1.396984924623115631e+01,-8.605273179453527632e+01
1.407035175879397038e+01,-2.313537676244000068e+02
1.417085427135678444e+01,-1.701260517182294961e+03
1.427135678391959850e+01,-6.506899196236849093e+03
1.437185929648241256e+01,-8.538074676092075606e+03
1.447236180904522662e+01,-3.669770587337380221e+03
1.457286432160804068e+01,-7.461557339187487514e+02
1.467336683417085474e+01,-1.191750372417103989e+02
1.477386934673366881e+01,-4.170886450628621134e+01
1.487437185929648287e+01,-3.769795843198131990e+01
1.497487437185929693e+01,-3.672249909783538158e+01
1.507537688442211099e+01,-3.335842514116888680e+01
1.517587939698492505e+01,-2.893871215120631391e+01
1.527638190954773911e+01,-2.448724556532719987e+01
1.537688442211055317e+01,-2.044308325812984961e+01
1.547738693467336724e+01,-1.693823462965005078e+01
1.557788944723618130e+01,-1.397227605383799798e+01
1.567839195979899536e+01,-1.149455058870512936e+01
1.577889447236180942e+01,-9.439956663850995966e+00
1.587939698492462348e+01,-7.743798570858459129e+00
1.597989949748743754e+01,-6.347440850540102097e+00
1.608040201005025338e+01,-5.199970313927389398e+00
1.618090452261306567e+01,-4.258168379020816019e+00
1.628140703517588150e+01,-3.485819142413790317e+00
1.638190954773869379e+01,-2.852810557822292203e+00
1.648241206030150963e+01,-2.334228460128489946e+00
1.658291457286432191e+01,-1.909525433922370841e+00
1.668341708542713775e+01,-1.561792077850717941e+00
1.678391959798995003e+01,-1.277133714006745580e+00
1.688442211055276587e+01,-1.044145049302534600e+00
1.698492462311557816e+01,-8.534714400664884515e-01
1.708542713567839400e+01,-6.974446633620177138e-01
1.718592964824120628e+01,-5.697817721661444512e-01
1.728643216080402212e+01,-4.653368171439007939e-01
1.738693467336683440e+01,-3.798966101626473080e-01
1.748743718592965024e+01,-3.100130203040532550e-01
1.758793969849246253e+01,-2.528655274258306829e-01
1.768844221105527836e+01,-2.061488250489265928e-01
