time,R_energy_linear_jacobian
0.000000000000000000e+00,-1.048781919965015703e+02
1.005025125628140753e-01,-6.585545984940536357e+01
2.010050251256281506e-01,-4.640536205578552398e+01
3.015075376884422398e-01,-3.709578278575802557e+01
4.020100502512563012e-01,-3.063253608588085442e+01
5.025125628140704181e-01,-2.509436172739146542e+01
6.030150753768844796e-01,-2.035662931188280567e+01
7.035175879396985410e-01,-1.644400335196639773e+01
8.040201005025126024e-01,-1.330062773769138929e+01
9.045226130653266639e-01,-1.082559509033833400e+01
1.005025125628140836e+00,-8.909283265804649687e+00
1.105527638190954898e+00,-7.449944193093527289e+00
1.206030150753768959e+00,-6.359217506443465062e+00
1.306532663316583021e+00,-5.562831823843844781e+00
1.407035175879397082e+00,-4.999463607932756126e+00
1.507537688442211143e+00,-4.619027136423204283e+00
1.608040201005025205e+00,-4.380915867332770830e+00
1.708542713567839266e+00,-4.252392820852648470e+00
1.809045226130653328e+00,-4.207190872622733835e+00
1.909547738693467389e+00,-4.224327053085189299e+00
2.010050251256281673e+00,-4.287112796159117778e+00
2.110552763819095734e+00,-4.382335006397097388e+00
2.211055276381909795e+00,-4.499582213049977852e+00
2.311557788944723857e+00,-4.630692102289405199e+00
2.412060301507537918e+00,-4.769299633677380967e+00
2.512562814070351980e+00,-4.910467986131829221e+00
2.613065326633166041e+00,-5.050387422736090315e+00
2.713567839195980103e+00,-5.186129705824223279e+00
2.814070351758794164e+00,-5.315447922310930551e+00
2.914572864321608225e+00,-5.436613537855436995e+00
3.015075376884422287e+00,-5.548284253660592746e+00
3.115577889447236348e+00,-5.649397880845501874e+00
3.216080402010050410e+00,-5.739089087510010678e+00
3.316582914572864471e+00,-5.816627656141440283e+00
3.417085427135678533e+00,-5.881379008975622824e+00
3.517587939698492594e+00,-5.932790485340798448e+00
3.618090452261306655e+00,-5.970410570976295794e+00
3.718592964824120717e+00,-5.993953538536188397e+00
3.819095477386934778e+00,-6.003429566064039768e+00
3.919597989949748840e+00,-5.999371534404992268e+00
4.020100502512563345e+00,-5.983206087858780720e+00
4.120603015075377407e+00,-5.957840689665231615e+00
4.221105527638191468e+00,-5.928573974907099142e+00
4.321608040201005529e+00,-5.904488990225994272e+00
4.422110552763819591e+00,-5.900565499876183395e+00
4.522613065326633652e+00,-5.940859164501935297e+00
4.623115577889447714e+00,-6.063256940073342705e+00
4.723618090452261775e+00,-6.326549366101908767e+00
4.824120603015075837e+00,-6.820886541053170049e+00
4.924623115577889898e+00,-7.683132552820345573e+00
5.025125628140703959e+00,-9.119221247782210327e+00
5.125628140703518021e+00,-1.143632017919110488e+01
5.226130653266332082e+00,-1.508827011366436821e+01
5.326633165829146144e+00,-2.073783899141522724e+01
5.427135678391960205e+00,-2.933719232078668426e+01
5.527638190954774267e+00,-4.221904527392396034e+01
5.628140703517588328e+00,-6.116243083864929986e+01
5.728643216080402389e+00,-8.831446199962965693e+01
5.829145728643216451e+00,-1.256331516268216717e+02
5.929648241206030512e+00,-1.730931142453258076e+02
6.030150753768844574e+00,-2.249878207185713848e+02
6.130653266331658635e+00,-2.681267253271676623e+02
6.231155778894472697e+00,-2.917837499073609138e+02
6.331658291457286758e+00,-2.986331499858670782e+02
6.432160804020100819e+00,-2.961641782236299036e+02
6.532663316582914881e+00,-2.860830117408858655e+02
6.633165829145728942e+00,-2.663625850017740504e+02
6.733668341708543004e+00,-2.347715536630057045e+02
6.834170854271357065e+00,-1.911822392101412618e+02
6.934673366834171127e+00,-1.411517749839636906e+02
7.035175879396985188e+00,-9.759516643764048638e+01
7.135678391959799249e+00,-7.073654566252766074e+01
7.236180904522613311e+00,-5.707820326921050480e+01
7.336683417085427372e+00,-4.788843087925526731e+01
7.437185929648241434e+00,-3.972866039629741408e+01
7.537688442211055495e+00,-3.247424769166122616e+01
7.638190954773869557e+00,-2.633007821486802058e+01
7.738693467336683618e+00,-2.129679978928519191e+01
7.839195979899497679e+00,-1.725677905999715023e+01
7.939698492462311741e+00,-1.405912068996980935e+01
8.040201005025126690e+00,-1.155724112153696481e+01
8.140703517587940752e+00,-9.621677141335602812e+00
8.241206030150754813e+00,-8.142738499757054882e+00
8.341708542713568875e+00,-7.029397263722506395e+00
8.442211055276382936e+00,-6.206983486652487336e+00
8.542713567839196998e+00,-5.614687353592270114e+00
8.643216080402011059e+00,-5.203237530221475282e+00
8.743718592964825120e+00,-4.932871873613538405e+00
8.844221105527639182e+00,-4.771615457666605664e+00
8.944723618090453243e+00,-4.693842432763005945e+00
9.045226130653267305e+00,-4.679085952109715230e+00
9.145728643216081366e+00,-4.711058949032237209e+00
9.246231155778895427e+00,-4.776851364221706753e+00
9.346733668341709489e+00,-4.866273652738711597e+00
9.447236180904523550e+00,-4.971320821255869049e+00
9.547738693467337612e+00,-5.085735356524968331e+00
9.648241206030151673e+00,-5.204651029389078865e+00
9.748743718592965735e+00,-5.324302670847034236e+00
9.849246231155779796e+00,-5.441789652865536731e+00
9.949748743718593857e+00,-5.554883029008638395e+00
1.005025125628140792e+01,-5.661868171255550308e+00
1.015075376884422198e+01,-5.761416354843521326e+00
1.025125628140703604e+01,-5.852480171494961247e+00
1.035175879396985010e+01,-5.934208978878868557e+00
1.045226130653266416e+01,-6.005881921354587760e+00
1.055276381909547823e+01,-6.066857509434605333e+00
1.065326633165829229e+01,-6.116540489037550543e+00
1.075376884422110635e+01,-6.154368997925135254e+00
1.085427135678392041e+01,-6.179828124388650146e+00
1.095477386934673447e+01,-6.192500429103889203e+00
1.105527638190954853e+01,-6.192170461857452679e+00
1.115577889447236259e+01,-6.179009823070796159e+00
