time,R_loc
0.000000000000000000e+00,-6.673718458875021575e+00
1.005025125628140753e-01,-4.515526310170161928e+00
2.010050251256281506e-01,-2.143995688993010074e+00
3.015075376884422398e-01,-5.455455730269315184e-01
4.020100502512563012e-01,2.690911602393077917e-01
5.025125628140704181e-01,6.438110482054625328e-01
6.030150753768844796e-01,8.157479574973354186e-01
7.035175879396985410e-01,8.979104439008723793e-01
8.040201005025126024e-01,9.394054666118599739e-01
9.045226130653266639e-01,9.616048353213730859e-01
1.005025125628140836e+00,9.741492566316666268e-01
1.105527638190954898e+00,9.815983247245564369e-01
1.206030150753768959e+00,9.862180252683182546e-01
1.306532663316583021e+00,9.891897263811041396e-01
1.407035175879397082e+00,9.911573972273833855e-01
1.507537688442211143e+00,9.924865424447233409e-01
1.608040201005025205e+00,9.933921391425387659e-01
1.708542713567839266e+00,9.046750078606871082e-01
1.809045226130653328e+00,5.779837923623594165e-01
1.909547738693467389e+00,3.212625960407630155e-01
2.010050251256281673e+00,9.635123725048995447e-02
2.110552763819095734e+00,-1.050038336063576216e-01
2.211055276381909795e+00,-2.862834152325761661e-01
2.311557788944723857e+00,-4.498363876132819295e-01
2.412060301507537918e+00,-5.975389298461444287e-01
2.512562814070351980e+00,-7.309916766479749306e-01
2.613065326633166041e+00,-8.515993690712604369e-01
2.713567839195980103e+00,-9.606113534495996920e-01
2.814070351758794164e+00,-1.059146313740816803e+00
2.914572864321608225e+00,-1.148209596241539954e+00
3.015075376884422287e+00,-1.228706540346607978e+00
3.115577889447236348e+00,-1.301453373766863653e+00
3.216080402010050410e+00,-1.367186453069662466e+00
3.316582914572864471e+00,-1.426570279073881675e+00
3.417085427135678533e+00,-1.480204543460216460e+00
3.517587939698492594e+00,-1.528630372663172921e+00
3.618090452261306655e+00,-1.572335883718380511e+00
3.718592964824120717e+00,-1.611761135737511008e+00
3.819095477386934778e+00,-1.647302539994701220e+00
3.919597989949748840e+00,-1.679316775505526049e+00
4.020100502512563345e+00,-1.708124244635804256e+00
4.120603015075377407e+00,-1.734012089787392519e+00
4.221105527638191468e+00,-1.757236778560184565e+00
4.321608040201005529e+00,-1.778026247193166487e+00
4.422110552763819591e+00,-1.796581568987950295e+00
4.522613065326633652e+00,-1.813078079619803162e+00
4.623115577889447714e+00,-1.827665842360704840e+00
4.723618090452261775e+00,-1.840469252955748036e+00
4.824120603015075837e+00,-1.851585453537137660e+00
4.924623115577889898e+00,-1.861080999290402715e+00
5.025125628140703959e+00,-1.868985820137534226e+00
5.125628140703518021e+00,-1.875282782409231519e+00
5.226130653266332082e+00,-1.879889716620263940e+00
5.326633165829146144e+00,-1.882627815206559863e+00
5.427135678391960205e+00,-1.883163762432709554e+00
5.527638190954774267e+00,-1.880897193342568219e+00
5.628140703517588328e+00,-1.874722383445491802e+00
5.728643216080402389e+00,-1.862458850345685590e+00
5.829145728643216451e+00,-1.839211491641189689e+00
5.929648241206030512e+00,-1.790768349405129189e+00
6.030150753768844574e+00,-1.615115976547484067e+00
6.130653266331658635e+00,-1.677389676196568757e+00
6.231155778894472697e+00,-1.902354273103652460e+00
6.331658291457286758e+00,-2.583462030204535242e+00
6.432160804020100819e+00,-3.343472248720952056e+00
6.532663316582914881e+00,-4.188566585174695156e+00
6.633165829145728942e+00,-5.092453188304893352e+00
6.733668341708543004e+00,-5.959754934256853431e+00
6.834170854271357065e+00,-6.570634652572929113e+00
6.934673366834171127e+00,-6.503586766377840611e+00
7.035175879396985188e+00,-5.242129596287202098e+00
7.135678391959799249e+00,-3.015676639190744801e+00
7.236180904522613311e+00,-1.045708713095530706e+00
7.336683417085427372e+00,6.666510102556061357e-02
7.437185929648241434e+00,5.751402429617212819e-01
7.537688442211055495e+00,7.964095012279460706e-01
7.638190954773869557e+00,8.953380684133624978e-01
7.738693467336683618e+00,9.420761518439630944e-01
7.839195979899497679e+00,9.655762544028914096e-01
7.939698492462311741e+00,9.781352427526380788e-01
8.040201005025126690e+00,9.852359627046604063e-01
8.140703517587940752e+00,9.894577299794199421e-01
8.241206030150754813e+00,9.920797123225501002e-01
8.341708542713568875e+00,9.937685453759701470e-01
8.442211055276382936e+00,9.948877915291585161e-01
8.542713567839196998e+00,9.956439920384689835e-01
8.643216080402011059e+00,9.961587410915474505e-01
8.743718592964825120e+00,8.951544815383687403e-01
8.844221105527639182e+00,5.471000888297973264e-01
8.944723618090453243e+00,2.976361565762773997e-01
9.045226130653267305e+00,7.614354525027239307e-02
9.145728643216081366e+00,-1.229144391777330092e-01
9.246231155778895427e+00,-3.024207437806688548e-01
9.346733668341709489e+00,-4.645115080461869050e-01
9.447236180904523550e+00,-6.109664519317045128e-01
9.547738693467337612e+00,-7.433348823265929495e-01
9.648241206030151673e+00,-8.629907601645896431e-01
9.748743718592965735e+00,-9.711631648975815878e-01
9.849246231155779796e+00,-1.068956426770593104e+00
9.949748743718593857e+00,-1.157365150331524539e+00
1.005025125628140792e+01,-1.237286313563225937e+00
1.015075376884422198e+01,-1.309529466502588280e+00
1.025125628140703604e+01,-1.374825560600502428e+00
1.035175879396985010e+01,-1.433834714011778422e+00
1.045226130653266416e+01,-1.487153104705002393e+00
1.055276381909547823e+01,-1.535319122942947256e+00
1.065326633165829229e+01,-1.578818879421105770e+00
1.075376884422110635e+01,-1.618091143852038005e+00
1.085427135678392041e+01,-1.653531773242557179e+00
1.095477386934673447e+01,-1.685497678737625016e+00
1.105527638190954853e+01,-1.714310370259822136e+00
1.115577889447236259e+01,-1.740259110182284186e+00
1.125628140703517666e+01,-1.763603699155756210e+00
1.135678391959799072e+01,-1.784576908095841574e+00
1.145728643216080478e+01,-1.803386559854080584e+00
1.155778894472361884e+01,-1.820217249633507617e+00
1.165829145728643290e+01,-1.835231674709708827e+00
1.175879396984924696e+01,-1.848571515332868564e+00
1.185929648241206102e+01,-1.860357766614255670e+00
1.195979899497487509e+01,-1.870690353539131934e+00
1.206030150753768915e+01,-1.879646750738291239e+00
1.216080402010050321e+01,-1.887279140592935889e+00
1.226130653266331727e+01,-1.893609313789002879e+00
1.236180904522613133e+01,-1.898619900320906329e+00
1.246231155778894539e+01,-1.902239350141114560e+00
1.256281407035175945e+01,-1.904315668550772944e+00
1.266331658291457352e+01,-1.904568686785208964e+00
1.276381909547738758e+01,-1.902498248898480293e+00
1.286432160804020164e+01,-1.897193174187824516e+00
1.296482412060301570e+01,-1.886887550398528512e+00
1.306532663316582976e+01,-1.867747213958234287e+00
1.316582914572864382e+01,-1.829501142612601328e+00
1.326633165829145788e+01,-1.725360668544978271e+00
1.336683417085427195e+01,-1.636742641274114840e+00
1.346733668341708601e+01,-1.867869589600347435e+00
1.356783919597990007e+01,-2.176068752359572311e+00
1.366834170854271413e+01,-2.894405217890657855e+00
1.376884422110552819e+01,-3.701559771870807314e+00
