time,R_spec
0.000000000000000000e+00,1.033455556299745816e-02
1.005025125628140753e-01,2.929671369167836589e-02
2.010050251256281506e-01,6.763155164355934279e-02
3.015075376884422398e-01,1.070068900462041311e-01
4.020100502512563012e-01,8.927534243187339180e-02
5.025125628140704181e-01,5.618283632376153830e-02
6.030150753768844796e-01,3.528717501105597953e-02
7.035175879396985410e-01,2.308375870708206934e-02
8.040201005025126024e-01,1.599409895364643092e-02
9.045226130653266639e-01,1.180491175227892098e-02
1.005025125628140836e+00,9.285894816672144239e-03
1.105527638190954898e+00,7.772956089420157179e-03
1.206030150753768959e+00,6.911095486576816944e-03
1.306532663316583021e+00,6.518750466917007033e-03
1.407035175879397082e+00,6.523615813531463518e-03
1.507537688442211143e+00,6.943617631454940438e-03
1.608040201005025205e+00,7.912525774423747466e-03
1.708542713567839266e+00,8.015387370193426814e-03
1.809045226130653328e+00,7.486709469333602610e-03
1.909547738693467389e+00,7.174406317485714293e-03
2.010050251256281673e+00,7.036428956374307826e-03
2.110552763819095734e+00,7.047452631285889071e-03
2.211055276381909795e+00,7.193794919355152653e-03
2.311557788944723857e+00,7.470410393758755013e-03
2.412060301507537918e+00,7.879167527170308563e-03
2.512562814070351980e+00,8.427952492360099579e-03
2.613065326633166041e+00,9.130346246049204570e-03
2.713567839195980103e+00,1.000573052229264751e-02
2.814070351758794164e+00,1.036961163362196819e-02
2.914572864321608225e+00,1.068879013323310173e-02
3.015075376884422287e+00,1.125446322252855388e-02
3.115577889447236348e+00,1.206172295696904609e-02
3.216080402010050410e+00,1.312178078262656207e-02
3.316582914572864471e+00,1.445865161039031413e-02
3.417085427135678533e+00,1.610794604827095813e-02
3.517587939698492594e+00,1.811686865522140963e-02
3.618090452261306655e+00,2.054499342465926706e-02
3.718592964824120717e+00,2.346559729019396384e-02
3.819095477386934778e+00,2.163545227249458192e-02
3.919597989949748840e+00,1.947950284285808464e-02
4.020100502512563345e+00,1.758664769824667962e-02
4.120603015075377407e+00,1.592374422147749963e-02
4.221105527638191468e+00,1.446384913599482389e-02
4.321608040201005529e+00,1.318488969191387340e-02
4.422110552763819591e+00,1.206882394307551981e-02
4.522613065326633652e+00,1.110115557266562296e-02
4.623115577889447714e+00,1.027073944573360029e-02
4.723618090452261775e+00,9.569880802422124633e-03
4.824120603015075837e+00,8.994810544300032781e-03
4.924623115577889898e+00,8.546746052087611165e-03
5.025125628140703959e+00,8.233997727450590928e-03
5.125628140703518021e+00,8.076151122695045259e-03
5.226130653266332082e+00,8.112811903408572931e-03
5.326633165829146144e+00,8.423652454944583964e-03
5.427135678391960205e+00,9.181232943286475948e-03
5.527638190954774267e+00,1.082358407066877880e-02
5.628140703517588328e+00,1.487405247288272996e-02
5.728643216080402389e+00,2.529869669304870422e-02
5.829145728643216451e+00,2.937772536727645267e-02
5.929648241206030512e+00,1.454169151043491377e-02
6.030150753768844574e+00,7.179933111655160266e-03
6.130653266331658635e+00,3.752097374635842125e-03
6.231155778894472697e+00,2.294599777634806406e-03
6.331658291457286758e+00,1.571981674643053084e-03
6.432160804020100819e+00,1.187441609849094418e-03
6.532663316582914881e+00,9.894007678475963581e-04
6.633165829145728942e+00,9.193575963564249495e-04
6.733668341708543004e+00,9.737727148007033554e-04
6.834170854271357065e+00,1.221796347680495541e-03
6.934673366834171127e+00,1.941851273792240479e-03
7.035175879396985188e+00,4.331228477171078159e-03
7.135678391959799249e+00,1.449673061601813168e-02
7.236180904522613311e+00,3.423315115980497814e-02
7.336683417085427372e+00,3.688426916554586599e-02
7.437185929648241434e+00,2.164396137228150052e-02
7.537688442211055495e+00,1.779431465198639747e-02
7.638190954773869557e+00,1.625858905213585850e-02
7.738693467336683618e+00,1.393486688814658640e-02
7.839195979899497679e+00,9.608550120504497430e-03
7.939698492462311741e+00,7.087557763620168372e-03
8.040201005025126690e+00,5.583798503242376650e-03
8.140703517587940752e+00,4.686555262634067506e-03
8.241206030150754813e+00,4.180717508281792116e-03
8.341708542713568875e+00,3.688223783250905996e-03
8.442211055276382936e+00,3.347053494367847014e-03
8.542713567839196998e+00,3.154399126423663643e-03
8.643216080402011059e+00,3.076419264568044497e-03
8.743718592964825120e+00,3.094912775737788686e-03
8.844221105527639182e+00,3.202212277001141496e-03
8.944723618090453243e+00,3.398537096677702821e-03
9.045226130653267305e+00,3.690818393052935041e-03
9.145728643216081366e+00,4.092499133423336925e-03
9.246231155778895427e+00,4.381716125237493029e-03
9.346733668341709489e+00,4.556324747363681843e-03
9.447236180904523550e+00,4.811577570670270629e-03
9.547738693467337612e+00,5.152557768589568175e-03
9.648241206030151673e+00,5.587812749760377208e-03
9.748743718592965735e+00,6.129436641319051075e-03
9.849246231155779796e+00,6.319833705157501362e-03
9.949748743718593857e+00,6.528869934919598848e-03
1.005025125628140792e+01,6.887836100129945613e-03
1.015075376884422198e+01,7.394952084438266050e-03
1.025125628140703604e+01,7.927485468360683310e-03
1.035175879396985010e+01,7.182244684624782168e-03
1.045226130653266416e+01,6.535186126548204327e-03
1.055276381909547823e+01,5.958704007254390228e-03
1.065326633165829229e+01,5.435452823326873163e-03
1.075376884422110635e+01,4.955490778722152628e-03
1.085427135678392041e+01,4.513676211664080680e-03
1.095477386934673447e+01,4.107518762848996752e-03
1.105527638190954853e+01,3.735671517220031431e-03
1.115577889447236259e+01,3.397055669572513273e-03
1.125628140703517666e+01,3.090464498839543255e-03
1.135678391959799072e+01,2.814461617342763153e-03
1.145728643216080478e+01,2.567427054750296474e-03
