time,Rspec_hyper
0.000000000000000000e+00,1.249999999999999029e-01
1.005025125628140753e-01,1.723093741817633695e-01
2.010050251256281506e-01,3.006345997957782790e-01
3.015075376884422398e-01,3.338402896592619351e-01
4.020100502512563012e-01,3.286965176944514622e-01
5.025125628140704181e-01,3.438449155678753866e-01
6.030150753768844796e-01,3.698029831439410553e-01
7.035175879396985410e-01,4.028971482687309091e-01
8.040201005025126024e-01,4.417408954036457502e-01
9.045226130653266639e-01,4.859217818971151570e-01
1.005025125628140836e+00,5.354848129867958439e-01
1.105527638190954898e+00,5.907180415219486225e-01
1.206030150753768959e+00,6.520598655185531056e-01
1.306532663316583021e+00,7.200584261621750803e-01
1.407035175879397082e+00,7.953547569707007936e-01
1.507537688442211143e+00,8.786775126982361295e-01
1.608040201005025205e+00,9.708437982763308272e-01
1.708542713567839266e+00,1.072763527435500741e+00
1.809045226130653328e+00,1.185446063244612880e+00
1.909547738693467389e+00,1.310008523536427827e+00
2.010050251256281673e+00,1.447685444711587444e+00
2.110552763819095734e+00,1.599839648012713500e+00
2.211055276381909795e+00,1.767974230672703539e+00
2.311557788944723857e+00,1.953745632047607428e+00
2.412060301507537918e+00,2.158977731189033022e+00
2.512562814070351980e+00,2.385676903578774155e+00
2.613065326633166041e+00,2.636047929960124492e+00
2.713567839195980103e+00,2.912510578553369811e+00
2.814070351758794164e+00,3.217716582184160679e+00
2.914572864321608225e+00,3.554566604665890139e+00
3.015075376884422287e+00,3.926226586247101746e+00
3.115577889447236348e+00,4.336142613918013922e+00
3.216080402010050410e+00,4.788053107622434190e+00
3.316582914572864471e+00,5.285996649770583922e+00
3.417085427135678533e+00,5.834313162892032167e+00
3.517587939698492594e+00,6.437635317655306721e+00
3.618090452261306655e+00,7.100865969498234342e+00
3.718592964824120717e+00,7.829136010749783381e+00
3.819095477386934778e+00,8.627735200260929105e+00
3.919597989949748840e+00,9.502006201718751655e+00
4.020100502512563345e+00,1.045718913646769010e+01
4.120603015075377407e+00,1.149820035122590589e+01
4.221105527638191468e+00,1.262932478987752560e+01
4.321608040201005529e+00,1.155587149396062330e+01
4.422110552763819591e+00,9.649764315197405296e+00
4.522613065326633652e+00,8.043432464664459047e+00
4.623115577889447714e+00,6.693591959202368713e+00
4.723618090452261775e+00,5.562187720556267756e+00
4.824120603015075837e+00,4.616045471019236679e+00
4.924623115577889898e+00,3.826456099324714977e+00
5.025125628140703959e+00,3.168730948242042711e+00
5.125628140703518021e+00,2.621755021164899446e+00
5.226130653266332082e+00,2.167556217030881527e+00
5.326633165829146144e+00,1.790901978897917246e+00
5.427135678391960205e+00,1.478929786066758290e+00
5.527638190954774267e+00,1.220814356911456233e+00
5.628140703517588328e+00,1.007472076826199769e+00
5.728643216080402389e+00,8.313013086203432378e-01
5.829145728643216451e+00,6.859566539416800390e-01
5.929648241206030512e+00,5.661543277527394391e-01
6.030150753768844574e+00,4.675060593603713177e-01
6.130653266331658635e+00,3.863789352225727169e-01
6.231155778894472697e+00,3.197794380311155260e-01
6.331658291457286758e+00,2.652614038342701042e-01
6.432160804020100819e+00,2.208608939167397700e-01
6.532663316582914881e+00,1.850686596002046602e-01
6.633165829145728942e+00,1.568706887931091976e-01
6.733668341708543004e+00,1.359421232077241415e-01
6.834170854271357065e+00,1.232409776124855361e-01
6.934673366834171127e+00,1.227284300172403475e-01
7.035175879396985188e+00,1.462554292114694732e-01
7.135678391959799249e+00,1.930714655566457272e-01
7.236180904522613311e+00,1.537433352347040150e-01
7.336683417085427372e+00,1.451790363511182569e-01
7.437185929648241434e+00,1.494493868377550772e-01
7.537688442211055495e+00,1.598512707340957739e-01
7.638190954773869557e+00,1.738747262834232921e-01
7.738693467336683618e+00,1.905882647275684572e-01
7.839195979899497679e+00,2.096898680977300478e-01
7.939698492462311741e+00,2.311515942469196394e-01
8.040201005025126690e+00,2.550797825125192819e-01
8.140703517587940752e+00,2.816574672819301961e-01
8.241206030150754813e+00,3.111200528304896573e-01
8.341708542713568875e+00,3.437453318492409426e-01
8.442211055276382936e+00,3.798501309579755403e-01
8.542713567839196998e+00,4.197902668865541864e-01
8.643216080402011059e+00,4.639623324329817389e-01
8.743718592964825120e+00,5.128066170389528056e-01
8.844221105527639182e+00,5.668108390167030386e-01
8.944723618090453243e+00,6.265145361712536332e-01
9.045226130653267305e+00,6.925140512849077279e-01
9.145728643216081366e+00,7.654680911955047407e-01
9.246231155778895427e+00,8.461038622283689747e-01
9.346733668341709489e+00,9.352237943222851957e-01
9.447236180904523550e+00,1.033712869374661780e+00
9.547738693467337612e+00,1.142546565500928812e+00
9.648241206030151673e+00,1.262799419327088835e+00
9.748743718592965735e+00,1.395654191063317562e+00
9.849246231155779796e+00,1.542411592225622963e+00
9.949748743718593857e+00,1.704500498301662503e+00
1.005025125628140792e+01,1.883488514804172897e+00
1.015075376884422198e+01,2.081092693789054593e+00
1.025125628140703604e+01,2.299190094692986630e+00
1.035175879396985010e+01,2.539827746182404589e+00
1.045226130653266416e+01,2.805231377795157410e+00
1.055276381909547823e+01,3.097812037712371236e+00
1.065326633165829229e+01,3.420169375043891069e+00
1.075376884422110635e+01,3.775089914312500738e+00
1.085427135678392041e+01,4.165538055011411167e+00
1.095477386934673447e+01,4.594636747520767450e+00
1.105527638190954853e+01,5.065633780493933536e+00
1.115577889447236259e+01,5.581848306983419050e+00
1.125628140703517666e+01,6.146590576249783666e+00
1.135678391959799072e+01,6.763045768121869195e+00
1.145728643216080478e+01,7.434110306683964886e+00
1.155778894472361884e+01,8.162166065924870040e+00
1.165829145728643290e+01,8.948774569225282249e+00
1.175879396984924696e+01,8.972506408101541098e+00
1.185929648241206102e+01,7.442293813799945923e+00
1.195979899497487509e+01,6.165791869677176962e+00
1.206030150753768915e+01,5.102892597680456888e+00
1.216080402010050321e+01,4.219313407800112437e+00
1.226130653266331727e+01,3.485889695243498121e+00
1.236180904522613133e+01,2.877913995827881433e+00
1.246231155778894539e+01,2.374531647439480420e+00
1.256281407035175945e+01,1.958197227982726663e+00
1.266331658291457352e+01,1.614192125258233856e+00
1.276381909547738758e+01,1.330201017067198288e+00
1.286432160804020164e+01,1.095943457471576066e+00
1.296482412060301570e+01,9.028558942064424109e-01
1.306532663316582976e+01,7.438191911130711542e-01
1.316582914572864382e+01,6.129265341010420309e-01
1.326633165829145788e+01,5.052873268646529414e-01
1.336683417085427195e+01,4.168627756568504816e-01
1.346733668341708601e+01,3.443302858025186763e-01
1.356783919597990007e+01,2.849750380082847756e-01
1.366834170854271413e+01,2.366104600632029098e-01
1.376884422110552819e+01,1.975362254102754622e-01
1.386934673366834225e+01,1.665600982591408930e-01
1.396984924623115631e+01,1.431583647317622443e-01
1.407035175879397038e+01,1.279921395866563671e-01
1.417085427135678444e+01,1.244285068371704384e-01
1.427135678391959850e+01,1.429497118160418245e-01
1.437185929648241256e+01,1.559173370955939109e-01
1.447236180904522662e+01,1.212474383561717023e-01
1.457286432160804068e+01,1.130845109371181739e-01
1.467336683417085474e+01,1.158687197989962392e-01
1.477386934673366881e+01,1.237513797576920704e-01
1.487437185929648287e+01,1.345592542952172288e-01
1.497487437185929693e+01,1.474922793127357856e-01
1.507537688442211099e+01,1.622891521008383853e-01
1.517587939698492505e+01,1.789185654776314638e-01
1.527638190954773911e+01,1.974595399980558774e-01
1.537688442211055317e+01,2.180528252665058508e-01
1.547738693467336724e+01,2.408806117488895004e-01
1.557788944723618130e+01,2.661582645625812926e-01
1.567839195979899536e+01,2.941315285191300477e-01
1.577889447236180942e+01,3.250764309698652155e-01
1.587939698492462348e+01,3.593006526946451173e-01
1.597989949748743754e+01,3.971458025620678844e-01
1.608040201005025338e+01,4.389903332150828508e-01
1.618090452261306567e+01,4.852529767962383556e-01
1.628140703517588150e+01,5.363966508714458348e-01
1.638190954773869379e+01,5.929328213540503434e-01
1.648241206030150963e+01,6.554263274485404578e-01
1.658291457286432191e+01,7.245006834496170445e-01
1.668341708542713775e+01,8.008438762755140106e-01
1.678391959798995003e+01,8.852146759890299199e-01
1.688442211055276587e+01,9.784494737853733914e-01
1.698492462311557816e+01,1.081469650218530809e+00
1.708542713567839400e+01,1.195289463509613181e+00
1.718592964824120628e+01,1.321024424650163009e+00
1.728643216080402212e+01,1.459900094551378924e+00
1.738693467336683440e+01,1.613261193328771270e+00
1.748743718592965024e+01,1.782580847117871903e+00
1.758793969849246253e+01,1.969469712725395061e+00
1.768844221105527836e+01,2.175684606491028017e+00
1.778894472361809065e+01,2.403136093647205040e+00
1.788944723618090649e+01,2.653894284961870742e+00
1.798994974874371877e+01,2.930191796516039560e+00
1.809045226130653461e+01,3.234422441012240856e+00
1.819095477386934689e+01,3.569133708951889972e+00
1.829145728643216273e+01,3.937010426490300308e+00
1.839195979899497502e+01,4.340846103488272156e+00
1.849246231155779085e+01,4.783497360371339546e+00
1.859296482412060314e+01,5.267815393277527569e+00
1.869346733668341898e+01,5.796546653410918459e+00
1.879396984924623126e+01,6.372192743111447122e+00
1.889447236180904710e+01,6.996816971218389192e+00
1.899497487437185939e+01,7.671782145819025622e+00
1.909547738693467522e+01,8.397401240922333088e+00
1.919597989949748751e+01,7.498667326283696255e+00
1.929648241206030335e+01,6.206779548595884322e+00
1.939698492462311563e+01,5.132497602479935139e+00
1.949748743718593147e+01,4.240529174287954284e+00
1.959798994974874375e+01,3.500947723387277222e+00
1.969849246231155959e+01,2.888472637331286119e+00
