time, Rtensor_laplacian
0.000000000000000000e+00,-4.000000000000000000e+00
1.005025125628140753e-01,-6.430016687861651370e+00
2.010050251256281506e-01,-8.486676282019748996e+00
3.015075376884422398e-01,-9.394925578404190958e+00
4.020100502512563012e-01,-9.367180868009166161e+00
5.025125628140704181e-01,-8.876550480400991816e+00
6.030150753768844796e-01,-8.217644304225773411e+00
7.035175879396985410e-01,-7.525202836928713168e+00
8.040201005025126024e-01,-6.854417864692020856e+00
9.045226130653266639e-01,-6.226165217003919672e+00
1.005025125628140836e+00,-5.646910553619885142e+00
1.105527638190954898e+00,-5.117048511520199128e+00
1.206030150753768959e+00,-4.634435089175796385e+00
1.306532663316583021e+00,-4.195928189326940227e+00
1.407035175879397082e+00,-3.798079269783458223e+00
1.507537688442211143e+00,-3.437449259634318022e+00
1.608040201005025205e+00,-3.110751641290431913e+00
1.708542713567839266e+00,-2.814913273947452055e+00
1.809045226130653328e+00,-2.547095053691987854e+00
1.909547738693467389e+00,-2.304692715294291983e+00
2.010050251256281673e+00,-2.085327903892529644e+00
2.110552763819095734e+00,-1.886834717075904555e+00
2.211055276381909795e+00,-1.707244433846449194e+00
2.311557788944723857e+00,-1.544769869368166626e+00
2.412060301507537918e+00,-1.397790108240204887e+00
2.512562814070351980e+00,-1.264836004870773412e+00
2.613065326633166041e+00,-1.144576627190099449e+00
2.713567839195980103e+00,-1.035806709681961202e+00
2.814070351758794164e+00,-9.374351173251480596e-01
2.914572864321608225e+00,-8.484742841262497004e-01
3.015075376884422287e+00,-7.680305767608881506e-01
3.115577889447236348e+00,-6.952955206445023961e-01
3.216080402010050410e+00,-6.295378254249248684e-01
3.316582914572864471e+00,-5.700961466205671790e-01
3.417085427135678533e+00,-5.163725228250778398e-01
3.517587939698492594e+00,-4.678264313155433562e-01
3.618090452261306655e+00,-4.239694091956680011e-01
3.718592964824120717e+00,-3.843601913436391349e-01
3.819095477386934778e+00,-3.486003210930959106e-01
3.919597989949748840e+00,-3.163301941588959609e-01
4.020100502512563345e+00,-2.872255008789860176e-01
4.120603015075377407e+00,-2.609940367448309040e-01
4.221105527638191468e+00,-2.373728562706991230e-01
4.321608040201005529e+00,-2.161257509404738708e-01
4.422110552763819591e+00,-1.970410385722148883e-01
4.522613065326633652e+00,-1.799296594927102810e-01
4.623115577889447714e+00,-1.646235852975748426e-01
4.723618090452261775e+00,-1.509745599684695905e-01
4.824120603015075837e+00,-1.388532128052789860e-01
4.924623115577889898e+00,-1.281486113378473291e-01
