time,x1,x2,x3,x4,x5
0.000000000000000000e+00,1.000000000000000178e+01,9.999999999999998890e-01,1.000000000000000000e+00,9.999999999999998890e-01,1.000000000000000000e+00
1.005025125628140753e-01,7.254393476476889369e+00,1.824856069775806722e+00,1.671548852048878375e+00,1.531121064885223371e+00,1.402490701151742902e+00
2.010050251256281506e-01,4.157871385559504418e+00,2.601604613177016301e+00,2.251252438556690549e+00,1.948081433194527090e+00,1.685737797091513945e+00
3.015075376884422398e-01,2.049547529634420329e+00,2.995444321656507647e+00,2.514986805488603316e+00,2.111592812357017124e+00,1.772901638902062649e+00
4.020100502512563012e-01,9.705608213299135034e-01,3.042320031298828109e+00,2.517563538639671528e+00,2.083320021517962584e+00,1.723977276552704163e+00
5.025125628140704181e-01,4.733252610421183615e-01,2.908287878413017502e+00,2.390027586846664054e+00,1.964121902740800119e+00,1.614113112400510142e+00
6.030150753768844796e-01,2.449641121183601666e-01,2.704142599116790890e+00,2.214573635090389736e+00,1.813638242995860628e+00,1.485289827022732601e+00
7.035175879396985410e-01,1.357813041672915610e-01,2.482023028202232862e+00,2.028912670618179703e+00,1.658520737782877452e+00,1.355746400325422041e+00
8.040201005025126024e-01,8.062086120694840485e-02,2.263770482663232109e+00,1.848547678338179567e+00,1.509485425997932451e+00,1.232614277692677174e+00
9.045226130653266639e-01,5.110301896141836858e-02,2.057944379640365362e+00,1.679386975434134621e+00,1.370464949315364667e+00,1.118368912614053912e+00
1.005025125628140836e+00,3.441971069265361421e-02,1.867466594285388082e+00,1.523304158460457858e+00,1.242568722910048384e+00,1.013571077963990597e+00
1.105527638190954898e+00,2.451141689964194195e-02,1.692855016622754505e+00,1.380469209828294019e+00,1.125728570139801432e+00,9.179957149293488383e-01
1.206030150753768959e+00,1.836603762808696610e-02,1.533601518634712058e+00,1.250336568459376352e+00,1.019392280344691315e+00,8.311047217370168827e-01
1.306532663316583021e+00,1.441294139680285129e-02,1.388776193245705670e+00,1.132076405033034971e+00,9.228247180461170984e-01,7.522508730020824874e-01
1.407035175879397082e+00,1.179585985568227038e-02,1.257300583463835997e+00,1.024768518701846265e+00,8.352422170740565477e-01,6.807679505437198575e-01
1.507537688442211143e+00,1.002875990678356484e-02,1.138073964052189746e+00,9.274911278824825578e-01,7.558733681765109624e-01,6.160107995231349776e-01
1.608040201005025205e+00,8.825785972216676142e-03,1.030031815391347028e+00,8.393612883545329417e-01,6.839860366723682361e-01,5.573725008721838181e-01
1.708542713567839266e+00,8.013733834651200899e-03,9.321718854392387898e-01,7.595522693031410144e-01,6.188983644275227736e-01,5.042907547775494770e-01
1.809045226130653328e+00,7.485274151047978039e-03,8.435643181124239387e-01,6.872996623774226821e-01,5.599819957201669363e-01,4.562490774819747408e-01
1.909547738693467389e+00,7.173092250429981276e-03,7.633538118518902182e-01,6.219019054135269675e-01,5.066614951187414784e-01,4.127755029101334294e-01
2.010050251256281673e+00,7.035166715176495965e-03,6.907577911023500272e-01,5.627180562946895170e-01,4.584119324541967022e-01,3.734401240412935641e-01
2.110552763819095734e+00,7.046186424130433321e-03,6.250626437731918728e-01,5.091642740917966536e-01,4.147556457703762689e-01,3.378521534405399263e-01
2.211055276381909795e+00,7.192473888924804867e-03,5.656191038596223297e-01,4.607097696825908639e-01,3.752587075675699047e-01,3.056568527366660959e-01
