time,connectedness
0.000000000000000000e+00,1.245352089238918047e+01
1.005025125628140753e-01,1.446316205622675355e+01
2.010050251256281506e-01,1.338822907897671932e+01
3.015075376884422398e-01,1.047669132695742711e+01
4.020100502512563012e-01,7.940989852050770459e+00
5.025125628140704181e-01,6.348810308136789260e+00
6.030150753768844796e-01,5.411022229199199174e+00
7.035175879396985410e-01,4.817976687167630168e+00
8.040201005025126024e-01,4.395133544151386573e+00
9.045226130653266639e-01,4.058644259697469003e+00
1.005025125628140836e+00,3.769555201351042051e+00
1.105527638190954898e+00,3.509522667601219226e+00
1.206030150753768959e+00,3.269630066807674318e+00
1.306532663316583021e+00,3.045370494429722630e+00
1.407035175879397082e+00,2.834362383653925122e+00
1.507537688442211143e+00,2.635277702902713237e+00
1.608040201005025205e+00,2.447321152711238401e+00
1.708542713567839266e+00,2.269968195106316866e+00
1.809045226130653328e+00,2.102829193280593589e+00
1.909547738693467389e+00,1.945577355773289829e+00
2.010050251256281673e+00,1.797910193707139115e+00
2.110552763819095734e+00,1.659529224132364034e+00
2.211055276381909795e+00,1.530129959182343624e+00
2.311557788944723857e+00,1.409397868072609361e+00
2.412060301507537918e+00,1.297007894457474775e+00
2.512562814070351980e+00,1.192626113987249381e+00
2.613065326633166041e+00,1.095912683987267933e+00
2.713567839195980103e+00,1.006525555664575133e+00
2.814070351758794164e+00,9.241246155209544844e-01
2.914572864321608225e+00,8.483760504508808253e-01
3.015075376884422287e+00,7.789568135453140973e-01
3.115577889447236348e+00,7.155591320145634482e-01
3.216080402010050410e+00,6.578950467285847870e-01
3.316582914572864471e+00,6.057010105348417106e-01
3.417085427135678533e+00,5.587426047242953775e-01
3.517587939698492594e+00,5.168194575290911974e-01
3.618090452261306655e+00,4.797704707797463275e-01
3.718592964824120717e+00,4.474794719257881859e-01
3.819095477386934778e+00,4.198814161173511916e-01
3.919597989949748840e+00,3.969692583088353377e-01
4.020100502512563345e+00,3.788015950223987960e-01
4.120603015075377407e+00,3.655111363099680655e-01
4.221105527638191468e+00,3.573140001697075463e-01
4.321608040201005529e+00,3.545197167830907992e-01
4.422110552763819591e+00,3.575416782793748860e-01
4.522613065326633652e+00,3.669075623472755621e-01
4.623115577889447714e+00,3.832689917341577934e-01
4.723618090452261775e+00,4.074093735571270303e-01
4.824120603015075837e+00,4.402485195365044013e-01
4.924623115577889898e+00,4.828423386218612667e-01
5.025125628140703959e+00,5.363757163643677606e-01
5.125628140703518021e+00,6.021467984116140038e-01
5.226130653266332082e+00,6.815414698184244502e-01
5.326633165829146144e+00,7.759980810798225992e-01
5.427135678391960205e+00,8.869646166425927403e-01
5.527638190954774267e+00,1.015853687451144571e+00
5.628140703517588328e+00,1.164005163165680257e+00
5.728643216080402389e+00,1.332672137114546906e+00
5.829145728643216451e+00,1.523054865681818359e+00
