time,linear_connectedness
0.000000000000000000e+00,3.072874976214123421e+01
1.005025125628140753e-01,2.083276645816846440e+01
2.010050251256281506e-01,9.907874260954894652e+00
3.015075376884422398e-01,3.324949196737122303e+00
4.020100502512563012e-01,2.584049690742631800e+00
5.025125628140704181e-01,4.148740791666035044e+00
6.030150753768844796e-01,5.465226735823582871e+00
7.035175879396985410e-01,6.287794124459201939e+00
8.040201005025126024e-01,6.753734706078347472e+00
9.045226130653266639e-01,6.992868949710142168e+00
1.005025125628140836e+00,7.090534903368975961e+00
1.105527638190954898e+00,7.098156072587626930e+00
1.206030150753768959e+00,7.046042217738650137e+00
1.306532663316583021e+00,6.952067449282361977e+00
1.407035175879397082e+00,6.826849054664702265e+00
1.507537688442211143e+00,6.676726725050410316e+00
1.608040201005025205e+00,6.505478149597830217e+00
1.708542713567839266e+00,6.315355148347396863e+00
1.809045226130653328e+00,6.107868027615793949e+00
1.909547738693467389e+00,5.885073005933938894e+00
2.010050251256281673e+00,5.657495517151621911e+00
2.110552763819095734e+00,5.688137889295979299e+00
2.211055276381909795e+00,5.910772775736024442e+00
2.311557788944723857e+00,6.127046255424591692e+00
2.412060301507537918e+00,6.329552016122937275e+00
2.512562814070351980e+00,6.517156501617527908e+00
2.613065326633166041e+00,6.689817605255869104e+00
2.713567839195980103e+00,6.847757456742771254e+00
2.814070351758794164e+00,6.991231697249371990e+00
2.914572864321608225e+00,7.120445674680084380e+00
3.015075376884422287e+00,7.235517597476632368e+00
3.115577889447236348e+00,7.336458748733508450e+00
3.216080402010050410e+00,7.423160113342032851e+00
3.316582914572864471e+00,7.495381192178871110e+00
3.417085427135678533e+00,7.552739206807041583e+00
3.517587939698492594e+00,7.594697930459036073e+00
3.618090452261306655e+00,7.620555808500947492e+00
3.718592964824120717e+00,7.629433231658834913e+00
3.819095477386934778e+00,7.620258854120355529e+00
3.919597989949748840e+00,7.591754766656340081e+00
4.020100502512563345e+00,7.542420164277739758e+00
4.120603015075377407e+00,7.470512821129632997e+00
4.221105527638191468e+00,7.374027216994182510e+00
4.321608040201005529e+00,7.250667499437020602e+00
4.422110552763819591e+00,7.097812597204847584e+00
4.522613065326633652e+00,6.912469732061438776e+00
4.623115577889447714e+00,6.691211388083171840e+00
4.723618090452261775e+00,6.430089565087802939e+00
