time,linear_potential
0.000000000000000000e+00,7.179151404801014280e+01
1.005025125628140753e-01,6.342827305405202054e+01
2.010050251256281506e-01,4.536954587515199933e+01
3.015075376884422398e-01,2.556365995164464877e+01
4.020100502512563012e-01,1.614102779023652801e+01
5.025125628140704181e-01,1.246226912394010711e+01
6.030150753768844796e-01,9.941986257142882977e+00
7.035175879396985410e-01,8.337405967123695305e+00
8.040201005025126024e-01,7.281111704300015752e+00
9.045226130653266639e-01,6.540717179196889219e+00
1.005025125628140836e+00,5.984647547889421659e+00
1.105527638190954898e+00,5.539812386115269938e+00
1.206030150753768959e+00,5.165196689538696262e+00
1.306532663316583021e+00,4.837270994131715796e+00
1.407035175879397082e+00,4.542150619333273909e+00
1.507537688442211143e+00,4.271356999773583851e+00
1.608040201005025205e+00,4.019463432292758043e+00
1.708542713567839266e+00,3.782696280394882926e+00
1.809045226130653328e+00,3.557899828845179968e+00
1.909547738693467389e+00,3.341016975807502121e+00
2.010050251256281673e+00,3.118875650631706353e+00
2.110552763819095734e+00,2.946925822373490433e+00
2.211055276381909795e+00,2.802969987348987502e+00
2.311557788944723857e+00,2.656730567268129395e+00
2.412060301507537918e+00,2.516798068056109727e+00
2.512562814070351980e+00,2.385317025560639514e+00
2.613065326633166041e+00,2.263203596960979169e+00
2.713567839195980103e+00,2.151001274094180626e+00
2.814070351758794164e+00,2.049134597037305827e+00
2.914572864321608225e+00,1.958012053024252630e+00
3.015075376884422287e+00,1.878079300097809545e+00
3.115577889447236348e+00,1.809853515282237701e+00
3.216080402010050410e+00,1.753950237333468554e+00
3.316582914572864471e+00,1.711107536308180910e+00
3.417085427135678533e+00,1.682209844781321850e+00
3.517587939698492594e+00,1.668312726790604827e+00
3.618090452261306655e+00,1.670669430940351141e+00
3.718592964824120717e+00,1.690759893570308980e+00
3.819095477386934778e+00,1.730322877401259341e+00
3.919597989949748840e+00,1.791392074275846014e+00
4.020100502512563345e+00,1.876337253795651305e+00
4.120603015075377407e+00,1.987911967703619220e+00
4.221105527638191468e+00,2.129309906284743814e+00
4.321608040201005529e+00,2.304232793655371925e+00
4.422110552763819591e+00,2.516973723154461329e+00
4.522613065326633652e+00,2.772521059865789006e+00
4.623115577889447714e+00,3.076689366628171385e+00
4.723618090452261775e+00,3.436285215223840783e+00
4.824120603015075837e+00,3.859316810513496065e+00
4.924623115577889898e+00,4.355256782294806506e+00
5.025125628140703959e+00,4.935366268745264406e+00
