time,potential
0.000000000000000000e+00,3.072733042610273557e+01
1.005025125628140753e-01,3.109708923368221178e+01
2.010050251256281506e-01,2.813417674998450480e+01
3.015075376884422398e-01,2.276188130992384018e+01
4.020100502512563012e-01,1.697973637819856663e+01
5.025125628140704181e-01,1.210977364880981355e+01
6.030150753768844796e-01,8.511909251380426866e+00
7.035175879396985410e-01,6.023244773670917596e+00
8.040201005025126024e-01,4.346754893834559930e+00
9.045226130653266639e-01,3.221633113724881703e+00
1.005025125628140836e+00,2.460195860128501444e+00
1.105527638190954898e+00,1.937571094803702598e+00
1.206030150753768959e+00,1.573119959264518197e+00
1.306532663316583021e+00,1.315111225149163898e+00
1.407035175879397082e+00,1.130186915587314767e+00
1.507537688442211143e+00,9.965985049334598056e-01
1.608040201005025205e+00,8.999737689249411865e-01
1.708542713567839266e+00,8.306828066662061971e-01
1.809045226130653328e+00,7.821914506795861755e-01
1.909547738693467389e+00,7.500216397447022620e-01
2.010050251256281673e+00,7.310866810866618604e-01
2.110552763819095734e+00,7.232597725973163305e-01
2.211055276381909795e+00,7.250897092877948147e-01
2.311557788944723857e+00,7.356104258578397559e-01
2.412060301507537918e+00,7.542113613738001821e-01
2.512562814070351980e+00,7.805473067245841667e-01
2.613065326633166041e+00,8.144744449428934496e-01
2.713567839195980103e+00,8.560037112633817058e-01
2.814070351758794164e+00,9.052656579660947056e-01
2.914572864321608225e+00,9.624831867556629117e-01
3.015075376884422287e+00,1.027949583026827707e+00
3.115577889447236348e+00,1.102010531933599324e+00
3.216080402010050410e+00,1.185049521920785054e+00
3.316582914572864471e+00,1.277476734537091874e+00
3.417085427135678533e+00,1.379722160738264369e+00
3.517587939698492594e+00,1.492234188356529101e+00
3.618090452261306655e+00,1.615485347013013939e+00
3.718592964824120717e+00,1.749986931679465396e+00
3.819095477386934778e+00,1.896313959139538152e+00
3.919597989949748840e+00,2.055141026026793050e+00
4.020100502512563345e+00,2.227288113447118967e+00
4.120603015075377407e+00,2.413773377351859928e+00
4.221105527638191468e+00,2.615867748532940684e+00
4.321608040201005529e+00,2.835144314411457422e+00
4.422110552763819591e+00,3.073514554798344456e+00
4.522613065326633652e+00,3.333243984777966240e+00
4.623115577889447714e+00,3.616941698478285616e+00
4.723618090452261775e+00,3.927521364779598123e+00
4.824120603015075837e+00,4.268134805973658352e+00
4.924623115577889898e+00,4.642082810075171651e+00
5.025125628140703959e+00,5.052710937553698045e+00
5.125628140703518021e+00,5.503300735927908249e+00
5.226130653266332082e+00,5.996969131685521148e+00
5.326633165829146144e+00,6.536591056303772795e+00
