time,potential_global
0.000000000000000000e+00,7.856573766893535549e+01
1.005025125628140753e-01,7.374577759600821025e+01
2.010050251256281506e-01,6.293804490543389818e+01
3.015075376884422398e-01,5.162596054512779631e+01
4.020100502512563012e-01,4.316269566263236612e+01
5.025125628140704181e-01,3.752625228858084228e+01
6.030150753768844796e-01,3.373852715712450134e+01
7.035175879396985410e-01,3.102613080258322142e+01
8.040201005025126024e-01,2.893679058725264852e+01
9.045226130653266639e-01,2.722660088011900825e+01
1.005025125628140836e+00,2.576456756376728663e+01
1.105527638190954898e+00,2.447813163201912801e+01
1.206030150753768959e+00,2.332506428038611901e+01
1.306532663316583021e+00,2.227927576346888472e+01
1.407035175879397082e+00,2.132358142032826009e+01
1.507537688442211143e+00,2.044592657213343756e+01
1.608040201005025205e+00,1.963735587746415945e+01
1.708542713567839266e+00,1.889088344240648354e+01
1.809045226130653328e+00,1.820084108294183167e+01
1.909547738693467389e+00,1.756248826145809261e+01
2.010050251256281673e+00,1.697176988920903185e+01
2.110552763819095734e+00,1.642516041023783302e+01
2.211055276381909795e+00,1.591956009586347420e+01
2.311557788944723857e+00,1.545222407906199891e+01
2.412060301507537918e+00,1.502071281273880921e+01
2.512562814070351980e+00,1.462285707125326084e+01
2.613065326633166041e+00,1.425673337096981008e+01
2.713567839195980103e+00,1.392064718480989782e+01
2.814070351758794164e+00,1.361312229105587690e+01
2.914572864321608225e+00,1.333289524998637710e+01
3.015075376884422287e+00,1.307891432291910760e+01
3.115577889447236348e+00,1.285034247043824962e+01
3.216080402010050410e+00,1.264656424001241497e+01
3.316582914572864471e+00,1.246719648748944920e+01
3.417085427135678533e+00,1.231210298965958039e+01
3.517587939698492594e+00,1.218141307443545784e+01
3.618090452261306655e+00,1.207554448644308032e+01
3.718592964824120717e+00,1.199523072819590652e+01
3.819095477386934778e+00,1.194155318002602151e+01
3.919597989949748840e+00,1.191597834004467593e+01
4.020100502512563345e+00,1.192040055356602757e+01
4.120603015075377407e+00,1.195719065507674372e+01
4.221105527638191468e+00,1.202925100531481029e+01
4.321608040201005529e+00,1.214007750887581416e+01
4.422110552763819591e+00,1.229382936893756018e+01
4.522613065326633652e+00,1.249540761303927461e+01
4.623115577889447714e+00,1.275054387028165337e+01
4.723618090452261775e+00,1.306590156868906050e+01
4.824120603015075837e+00,1.344919274570165868e+01
4.924623115577889898e+00,1.390931513076692738e+01
5.025125628140703959e+00,1.445651616823262842e+01
