time,R_energy
0.000000000000000000e+00,-6.320156095087965298e+01
1.010101010101010083e-01,-6.223142773764325852e+01
2.020202020202020166e-01,-6.825323711467510179e+01
3.030303030303030387e-01,-8.397632443615884767e+01
4.040404040404040331e-01,-1.099671171393219424e+02
5.050505050505050830e-01,-1.451445734989176515e+02
6.060606060606060774e-01,-1.876931010545184790e+02
7.070707070707070718e-01,-2.347308632677905962e+02
8.080808080808080662e-01,-2.803605043037464952e+02
9.090909090909090606e-01,-3.147313654007351147e+02
1.010101010101010166e+00,-3.347799120675598488e+02
1.111111111111111160e+00,-3.788650666782436360e+02
1.212121212121212155e+00,-5.250833773673346059e+02
1.313131313131313149e+00,-7.580586005292151413e+02
1.414141414141414144e+00,-9.397551922013976764e+02
1.515151515151515138e+00,-1.003016918989283454e+03
1.616161616161616132e+00,-9.949082345535514378e+02
1.717171717171717127e+00,-9.660653371487628647e+02
1.818181818181818121e+00,-9.409575933619503303e+02
1.919191919191919116e+00,-9.243437434023652486e+02
2.020202020202020332e+00,-8.769447117596688486e+02
2.121212121212121104e+00,-7.197252463586220301e+02
2.222222222222222321e+00,-4.674294862927529834e+02
2.323232323232323093e+00,-2.578376207552773849e+02
2.424242424242424310e+00,-1.586024929124618552e+02
2.525252525252525082e+00,-1.249207532896343622e+02
2.626262626262626299e+00,-1.119397062811568020e+02
2.727272727272727071e+00,-1.048330306723078991e+02
2.828282828282828287e+00,-1.010690493995060706e+02
2.929292929292929060e+00,-9.992275278910497605e+01
3.030303030303030276e+00,-1.001434726629261149e+02
3.131313131313131048e+00,-1.001949904156113860e+02
3.232323232323232265e+00,-9.879889608868228379e+01
3.333333333333333481e+00,-9.516915030130742537e+01
3.434343434343434254e+00,-8.895973104153877387e+01
3.535353535353535470e+00,-8.016458348575896764e+01
3.636363636363636243e+00,-6.914473968791368463e+01
3.737373737373737459e+00,-5.674598250109998787e+01
3.838383838383838231e+00,-4.430665335612454214e+01
3.939393939393939448e+00,-3.340171995533611948e+01
4.040404040404040664e+00,-2.540406958684278749e+01
4.141414141414140992e+00,-2.112983724566933574e+01
4.242424242424242209e+00,-2.077408918292518436e+01
4.343434343434343425e+00,-2.412073377481445391e+01
4.444444444444444642e+00,-3.085705403499574118e+01
4.545454545454544970e+00,-4.083276267101466317e+01
4.646464646464646187e+00,-5.419643720234235218e+01
4.747474747474747403e+00,-7.141769807455486330e+01
4.848484848484848619e+00,-9.322766740627201898e+01
4.949494949494949836e+00,-1.204920484454528662e+02
5.050505050505050164e+00,-1.539723923944869739e+02
5.151515151515151381e+00,-1.938081940769181983e+02
5.252525252525252597e+00,-2.383774815149645008e+02
5.353535353535353813e+00,-2.823398372061252530e+02
5.454545454545454142e+00,-3.159050189318741673e+02
5.555555555555555358e+00,-3.353648772631938186e+02
5.656565656565656575e+00,-3.774906565936844913e+02
5.757575757575757791e+00,-5.204571695443754606e+02
5.858585858585858119e+00,-7.526338539658709124e+02
5.959595959595959336e+00,-9.368949717884385109e+02
6.060606060606060552e+00,-1.002635346241637649e+03
6.161616161616161769e+00,-9.955067916218754362e+02
6.262626262626262097e+00,-9.667882951545614105e+02
6.363636363636363313e+00,-9.414299863357010736e+02
6.464646464646464530e+00,-9.248203163776032625e+02
6.565656565656565746e+00,-8.791163497929494497e+02
6.666666666666666963e+00,-7.250773253901803628e+02
6.767676767676767291e+00,-4.736225455089807497e+02
6.868686868686868507e+00,-2.615729683838841879e+02
6.969696969696969724e+00,-1.599823974710588175e+02
7.070707070707070940e+00,-1.253836854431379209e+02
7.171717171717171269e+00,-1.121631547570043494e+02
7.272727272727272485e+00,-1.049630247586199232e+02
7.373737373737373701e+00,-1.011255209604629925e+02
7.474747474747474918e+00,-9.992814175833568413e+01
7.575757575757575246e+00,-1.001339503621990019e+02
7.676767676767676463e+00,-1.002064887488437535e+02
7.777777777777777679e+00,-9.885681022016194675e+01
7.878787878787878896e+00,-9.528682806974278208e+01
7.979797979797979224e+00,-8.914133174920678471e+01
8.080808080808081328e+00,-8.040632966875666909e+01
8.181818181818181657e+00,-6.943259194354051544e+01
8.282828282828281985e+00,-5.705316238758080516e+01
8.383838383838384090e+00,-4.459633798363545054e+01
8.484848484848484418e+00,-3.363626478056176694e+01
8.585858585858586522e+00,-2.555582810862992460e+01
8.686868686868686851e+00,-2.118675271291451878e+01
8.787878787878787179e+00,-2.073750747532852046e+01
8.888888888888889284e+00,-2.399829250161198146e+01
8.989898989898989612e+00,-3.065523352430181347e+01
9.090909090909089940e+00,-4.055197360635119708e+01
9.191919191919192045e+00,-3.963622175930093761e+01
9.292929292929292373e+00,-3.842136312405483523e+01
9.393939393939394478e+00,-3.662829279350124523e+01
9.494949494949494806e+00,-3.404543664943192738e+01
9.595959595959595134e+00,-3.046955114686686983e+01
9.696969696969697239e+00,-2.565680602830843071e+01
9.797979797979797567e+00,-1.928449497962144221e+01
9.898989898989899672e+00,-1.092067736592460037e+01
1.000000000000000000e+01,-0.000000000000000000e+00
