time,R_energy_linear
0.000000000000000000e+00,-1.781300560032482281e+02
1.010101010101010083e-01,-7.935736829431048136e+02
2.020202020202020166e-01,-2.224066316327021013e+03
3.030303030303030387e-01,-4.552612814089355197e+03
4.040404040404040331e-01,-7.362859644304584435e+03
5.050505050505050830e-01,-9.969816428435144189e+03
6.060606060606060774e-01,-1.184658752724608530e+04
7.070707070707070718e-01,-1.281786318913698597e+04
8.080808080808080662e-01,-1.297425067234048583e+04
9.090909090909090606e-01,-1.250570680536413784e+04
1.010101010101010166e+00,-1.158987164662722171e+04
1.111111111111111160e+00,-1.035476149176280887e+04
1.212121212121212155e+00,-8.888622907265586036e+03
1.313131313131313149e+00,-7.269325070957982462e+03
1.414141414141414144e+00,-5.592839299684093930e+03
1.515151515151515138e+00,-3.983187844457429946e+03
1.616161616161616132e+00,-2.576264068045195927e+03
1.717171717171717127e+00,-1.520247193983414036e+03
1.818181818181818121e+00,-1.177722138640222056e+03
1.919191919191919116e+00,-2.846275351062522532e+03
2.020202020202020332e+00,-9.007289449620278901e+03
2.121212121212121104e+00,-1.777790738745824274e+04
2.222222222222222321e+00,-1.832653819951081823e+04
2.323232323232323093e+00,-1.023532180639180115e+04
2.424242424242424310e+00,-3.761805978136438625e+03
2.525252525252525082e+00,-1.167231753427689000e+03
2.626262626262626299e+00,-4.066475837629284342e+02
2.727272727272727071e+00,-2.046982770629560662e+02
2.828282828282828287e+00,-1.425277019599329833e+02
2.929292929292929060e+00,-1.122535037933414230e+02
3.030303030303030276e+00,-8.996504001049875399e+01
3.131313131313131048e+00,-7.129447541325411919e+01
3.232323232323232265e+00,-5.611376991818342930e+01
3.333333333333333481e+00,-4.699171518249822554e+01
3.434343434343434254e+00,-5.411844978438361409e+01
3.535353535353535470e+00,-1.073461200989563338e+02
3.636363636363636243e+00,-2.745492245704475067e+02
3.737373737373737459e+00,-6.751813685215038277e+02
3.838383838383838231e+00,-1.465778668892330188e+03
3.939393939393939448e+00,-2.781421801617128949e+03
4.040404040404040664e+00,-4.654648818617503821e+03
4.141414141414140992e+00,-6.967569511040168436e+03
4.242424242424242209e+00,-9.476811495407584516e+03
4.343434343434343425e+00,-1.189535256526128069e+04
4.444444444444444642e+00,-1.397927071518757657e+04
4.545454545454544970e+00,-1.557848884191640718e+04
4.646464646464646187e+00,-1.664352386294978351e+04
4.747474747474747403e+00,-1.720295877571716846e+04
4.848484848484848619e+00,-1.733068497342976480e+04
4.949494949494949836e+00,-1.711601898368967522e+04
5.050505050505050164e+00,-1.664237089406934683e+04
5.151515151515151381e+00,-1.597506111892822992e+04
5.252525252525252597e+00,-1.515650395018491690e+04
5.353535353535353813e+00,-1.420650927660887101e+04
5.454545454545454142e+00,-1.312610591013414341e+04
5.555555555555555358e+00,-1.190442098445985357e+04
5.656565656565656575e+00,-1.052915000675995179e+04
5.757575757575757791e+00,-9.001191918719490786e+03
5.858585858585858119e+00,-7.351921819407989460e+03
5.959595959595959336e+00,-5.656591811444367522e+03
6.060606060606060552e+00,-4.031920198716189589e+03
6.161616161616161769e+00,-2.611721385622930029e+03
6.262626262626262097e+00,-1.541489306522882998e+03
6.363636363636363313e+00,-1.171031626354808168e+03
6.464646464646464530e+00,-2.762484656008516140e+03
6.565656565656565746e+00,-8.797263860967796063e+03
6.666666666666666963e+00,-1.761735910464407789e+04
6.767676767676767291e+00,-1.845633744431735613e+04
6.868686868686868507e+00,-1.044248452749480384e+04
6.969696969696969724e+00,-3.865999906030815509e+03
7.070707070707070940e+00,-1.200698161694989494e+03
7.171717171717171269e+00,-4.156155735243409595e+02
7.272727272727272485e+00,-2.071647500270448745e+02
7.373737373737373701e+00,-1.434779591031008295e+02
7.474747474747474918e+00,-1.128576103040954735e+02
7.575757575757575246e+00,-9.045781692118782757e+01
7.676767676767676463e+00,-7.170924095585272084e+01
7.777777777777777679e+00,-5.642925232657648138e+01
7.878787878787878896e+00,-4.708809259517882140e+01
7.979797979797979224e+00,-5.358049763374063446e+01
8.080808080808081328e+00,-1.050795137860883841e+02
8.181818181818181657e+00,-2.683177524804827954e+02
8.282828282828281985e+00,-6.615046006630287820e+02
8.383838383838384090e+00,-1.440794656591682497e+03
8.484848484848484418e+00,-2.742754635200653865e+03
8.585858585858586522e+00,-4.603226632682951276e+03
8.686868686868686851e+00,-6.907983853601812370e+03
8.787878787878787179e+00,-9.415864672043728206e+03
8.888888888888889284e+00,-1.183979438098233186e+04
8.989898989898989612e+00,-1.393401810257236866e+04
9.090909090909089940e+00,-1.554594762445919696e+04
9.191919191919192045e+00,-1.662385003580552802e+04
9.292929292929292373e+00,-1.719479302914080836e+04
9.393939393939394478e+00,-1.733194958083800520e+04
9.494949494949494806e+00,-1.712455169616458079e+04
9.595959595959595134e+00,-1.665633078396297788e+04
9.696969696969697239e+00,-1.599312697863621543e+04
9.797979797979797567e+00,-1.517792242614963106e+04
9.898989898989899672e+00,-1.423104205804800949e+04
1.000000000000000000e+01,-1.315390130110692189e+04
