time,R_energy_linear_jacobian
0.000000000000000000e+00,-2.295399464124788665e+03
1.010101010101010083e-01,-2.743224496258445470e+03
2.020202020202020166e-01,-3.109277708741336028e+03
3.030303030303030387e-01,-3.347420426127990595e+03
4.040404040404040331e-01,-3.425005665079022037e+03
5.050505050505050830e-01,-3.333439711476323737e+03
6.060606060606060774e-01,-3.091614862613392688e+03
7.070707070707070718e-01,-2.739151931098587738e+03
8.080808080808080662e-01,-2.324504189941846107e+03
9.090909090909090606e-01,-1.895121653704800110e+03
1.010101010101010166e+00,-1.491429495540204471e+03
1.111111111111111160e+00,-1.142140686936485281e+03
1.212121212121212155e+00,-8.616330410742910999e+02
1.313131313131313149e+00,-6.527029162181206630e+02
1.414141414141414144e+00,-5.099202350871626095e+02
1.515151515151515138e+00,-4.185196798763125230e+02
1.616161616161616132e+00,-3.565681949352382389e+02
1.717171717171717127e+00,-3.036035460608272842e+02
1.818181818181818121e+00,-2.474959984455064728e+02
1.919191919191919116e+00,-1.859884792086739935e+02
2.020202020202020332e+00,-1.255253868677757936e+02
2.121212121212121104e+00,-7.716653096615189611e+01
2.222222222222222321e+00,-4.787733065768284035e+01
2.323232323232323093e+00,-3.504464548968137194e+01
2.424242424242424310e+00,-3.197576110800716620e+01
2.525252525252525082e+00,-3.580145478102647871e+01
2.626262626262626299e+00,-4.953132727847334138e+01
2.727272727272727071e+00,-8.123932710069809104e+01
2.828282828282828287e+00,-1.427709176652116980e+02
2.929292929292929060e+00,-2.468598073453691200e+02
3.030303030303030276e+00,-4.022708924756801707e+02
3.131313131313131048e+00,-6.091697473664203244e+02
3.232323232323232265e+00,-8.579559017649683028e+02
3.333333333333333481e+00,-1.132628138162014693e+03
3.434343434343434254e+00,-1.416314541819510396e+03
3.535353535353535470e+00,-1.695353572453666857e+03
3.636363636363636243e+00,-1.960209820969022303e+03
3.737373737373737459e+00,-2.204481944903842304e+03
3.838383838383838231e+00,-2.424660828442240927e+03
3.939393939393939448e+00,-2.621897542933412751e+03
4.040404040404040664e+00,-2.804030221447149870e+03
4.141414141414140992e+00,-2.984603057488054674e+03
4.242424242424242209e+00,-3.177517394488450918e+03
4.343434343434343425e+00,-3.389447076525947523e+03
4.444444444444444642e+00,-3.613818178052529674e+03
4.545454545454544970e+00,-3.829079230540245590e+03
4.646464646464646187e+00,-4.001942978072827373e+03
4.747474747474747403e+00,-4.094842835758840920e+03
4.848484848484848619e+00,-4.075912584648589927e+03
4.949494949494949836e+00,-3.928643842585631319e+03
5.050505050505050164e+00,-3.657378357362282259e+03
5.151515151515151381e+00,-3.285728784801540769e+03
5.252525252525252597e+00,-2.848884216641254625e+03
5.353535353535353813e+00,-2.384835225865089342e+03
5.454545454545454142e+00,-1.929027004575711771e+03
5.555555555555555358e+00,-1.511812472366927523e+03
5.656565656565656575e+00,-1.155278254615935793e+03
5.757575757575757791e+00,-8.703404760499481654e+02
5.858585858585858119e+00,-6.583338658191387367e+02
5.959595959595959336e+00,-5.133715305882328721e+02
6.060606060606060552e+00,-4.206232480570557755e+02
6.161616161616161769e+00,-3.580610869485354897e+02
6.262626262626262097e+00,-3.049813471710841668e+02
6.363636363636363313e+00,-2.489717324958971005e+02
6.464646464646464530e+00,-1.875262157438980353e+02
6.565656565656565746e+00,-1.268997581836346029e+02
6.666666666666666963e+00,-7.812468309186984072e+01
6.767676767676767291e+00,-4.836668530676664801e+01
6.868686868686868507e+00,-3.521680956049648614e+01
6.969696969696969724e+00,-3.196908404858578834e+01
7.070707070707070940e+00,-3.561445603403154792e+01
7.171717171717171269e+00,-4.902707346030450708e+01
7.272727272727272485e+00,-8.017017348295165391e+01
7.373737373737373701e+00,-1.408226465107692320e+02
7.474747474747474918e+00,-2.437484268065507536e+02
7.575757575757575246e+00,-3.978711639432465859e+02
7.676767676767676463e+00,-6.035977683012554280e+02
7.777777777777777679e+00,-8.515408356387157482e+02
7.878787878787878896e+00,-1.125790183285485227e+03
7.979797979797979224e+00,-1.409435114208322375e+03
8.080808080808081328e+00,-1.688713081284920008e+03
8.181818181818181657e+00,-1.953998004649697577e+03
8.282828282828281985e+00,-2.198823261625416308e+03
8.383838383838384090e+00,-2.419595839240302666e+03
8.484848484848484418e+00,-2.617324309125111540e+03
8.585858585858586522e+00,-2.799678578992590246e+03
8.686868686868686851e+00,-2.980111702500875253e+03
8.787878787878787179e+00,-3.172604431474198918e+03
8.888888888888889284e+00,-3.384090373028976956e+03
8.989898989898989612e+00,-3.608357424617836386e+03
9.090909090909089940e+00,-3.824198281156531266e+03
9.191919191919192045e+00,-3.515380879033564725e+03
9.292929292929292373e+00,-3.188643703399728111e+03
9.393939393939394478e+00,-2.834004324306684794e+03
9.494949494949494806e+00,-2.443220090136806903e+03
9.595959595959595134e+00,-2.011778724627625934e+03
9.696969696969697239e+00,-1.540502629642557849e+03
9.797979797979797567e+00,-1.036876050403988302e+03
9.898989898989899672e+00,-5.159136249661507918e+02
1.000000000000000000e+01,-0.000000000000000000e+00
