time,R_loc
0.000000000000000000e+00,-1.443251715395030388e+00
1.010101010101010083e-01,-1.497269645439275765e+00
2.020202020202020166e-01,-1.541614618252162394e+00
3.030303030303030387e-01,-1.577026696644962644e+00
4.040404040404040331e-01,-1.603886731237065710e+00
5.050505050505050830e-01,-1.622112666592190777e+00
6.060606060606060774e-01,-1.630935793845265991e+00
7.070707070707070718e-01,-1.628407273261927912e+00
8.080808080808080662e-01,-1.610193459206230804e+00
9.090909090909090606e-01,-1.565999538550083781e+00
1.010101010101010166e+00,-1.463695029496429267e+00
1.111111111111111160e+00,-1.104259874387668372e+00
1.212121212121212155e+00,-1.284559956127305114e+00
1.313131313131313149e+00,-1.491554605992372995e+00
1.414141414141414144e+00,-1.724569416827748780e+00
1.515151515151515138e+00,-1.977446373091497067e+00
1.616161616161616132e+00,-2.232627122511489759e+00
1.717171717171717127e+00,-2.449846844054805572e+00
1.818181818181818121e+00,-2.546945590431450412e+00
1.919191919191919116e+00,-2.378601781316550756e+00
2.020202020202020332e+00,-1.755935306491094750e+00
2.121212121212121104e+00,-6.050309000471549847e-01
2.222222222222222321e+00,7.897523701672054530e-01
2.323232323232323093e+00,1.916019415126867020e+00
2.424242424242424310e+00,1.283000991035644578e+00
2.525252525252525082e+00,-2.445919310061766827e-01
2.626262626262626299e+00,-1.237293277358874288e+00
2.727272727272727071e+00,-1.809079821808207145e+00
2.828282828282828287e+00,-2.114068716857357089e+00
2.929292929292929060e+00,-2.233423961805861779e+00
3.030303030303030276e+00,-2.233811037897132312e+00
3.131313131313131048e+00,-2.165275190134619443e+00
3.232323232323232265e+00,-2.044245400812888747e+00
3.333333333333333481e+00,-1.881550404687756028e+00
3.434343434343434254e+00,-1.673644842255929799e+00
3.535353535353535470e+00,-1.422289554515336230e+00
3.636363636363636243e+00,-1.226948596063509589e+00
3.737373737373737459e+00,-1.043249539235919787e+00
3.838383838383838231e+00,-8.105037539948639624e-01
3.939393939393939448e+00,-8.293081188549360494e-01
4.040404040404040664e+00,-9.763100072762360693e-01
4.141414141414140992e+00,-1.101705389801475032e+00
4.242424242424242209e+00,-1.208631374194199193e+00
4.343434343434343425e+00,-1.299630969159464300e+00
4.444444444444444642e+00,-1.376789194670982042e+00
4.545454545454544970e+00,-1.441812937904361824e+00
4.646464646464646187e+00,-1.496077375262884424e+00
4.747474747474747403e+00,-1.540646860642424620e+00
4.848484848484848619e+00,-1.576269481380593973e+00
4.949494949494949836e+00,-1.603335702181279743e+00
5.050505050505050164e+00,-1.621776666250085874e+00
5.151515151515151381e+00,-1.630844565157892667e+00
5.252525252525252597e+00,-1.628628963148601727e+00
5.353535353535353813e+00,-1.610880073573408122e+00
5.454545454545454142e+00,-1.567537539164463256e+00
5.555555555555555358e+00,-1.467549648564497655e+00
5.656565656565656575e+00,-1.100206703186224821e+00
5.757575757575757791e+00,-1.279875853937850083e+00
5.858585858585858119e+00,-1.486216658019845926e+00
5.959595959595959336e+00,-1.718642467896104087e+00
6.060606060606060552e+00,-1.971182404969519020e+00
6.161616161616161769e+00,-2.226660392734557625e+00
6.262626262626262097e+00,-2.445555571828350594e+00
6.363636363636363313e+00,-2.547004895880888853e+00
6.464646464646464530e+00,-2.387317410867948020e+00
6.565656565656565746e+00,-1.777548979120525008e+00
6.666666666666666963e+00,-6.377957753045385703e-01
6.767676767676767291e+00,7.572117688425810123e-01
6.868686868686868507e+00,1.894741120445076810e+00
6.969696969696969724e+00,1.326880348873503257e+00
7.070707070707070940e+00,-2.141855376008436340e-01
7.171717171717171269e+00,-1.218985589404740999e+00
7.272727272727272485e+00,-1.798839336868481853e+00
7.373737373737373701e+00,-2.109060913661837677e+00
7.474747474747474918e+00,-2.232663262609213106e+00
7.575757575757575246e+00,-2.234533010415244547e+00
7.676767676767676463e+00,-2.167676248011281892e+00
7.777777777777777679e+00,-2.047651629766912507e+00
7.878787878787878896e+00,-1.886018867370142349e+00
7.979797979797979224e+00,-1.679213468472092963e+00
8.080808080808081328e+00,-1.428844067998500833e+00
8.181818181818181657e+00,-1.229679473204613460e+00
8.282828282828281985e+00,-1.048469804670700389e+00
8.383838383838384090e+00,-8.164222018442075512e-01
8.484848484848484418e+00,-8.254440165805565499e-01
8.585858585858586522e+00,-9.730151155453363732e-01
8.686868686868686851e+00,-1.098894521920321665e+00
8.787878787878787179e+00,-1.206236201841317968e+00
8.888888888888889284e+00,-1.297595656822084553e+00
8.989898989898989612e+00,-1.375067901208939070e+00
9.090909090909089940e+00,-1.440368332043395538e+00
9.191919191919192045e+00,-1.494879822422752191e+00
9.292929292929292373e+00,-1.539674209684673833e+00
9.393939393939394478e+00,-1.575507561648938015e+00
9.494949494949494806e+00,-1.602779896064578935e+00
9.595959595959595134e+00,-1.621435431173186004e+00
9.696969696969697239e+00,-1.630746988581744716e+00
9.797979797979797567e+00,-1.628841896975547598e+00
9.898989898989899672e+00,-1.611552448678251981e+00
1.000000000000000000e+01,-1.569045993646213111e+00
