time,R_spec
0.000000000000000000e+00,7.031250002616733219e-02
1.010101010101010083e-01,3.929977632749525468e-02
2.020202020202020166e-01,2.477773522561131994e-02
3.030303030303030387e-01,1.760549642449662361e-02
4.040404040404040331e-01,1.386995522030296489e-02
5.050505050505050830e-01,9.657820382181988433e-03
6.060606060606060774e-01,7.327308319872959108e-03
7.070707070707070718e-01,5.895900660655782610e-03
8.080808080808080662e-01,4.943796131433325462e-03
9.090909090909090606e-01,4.272912178589981583e-03
1.010101010101010166e+00,3.784032877197734263e-03
1.111111111111111160e+00,3.426744163726456668e-03
1.212121212121212155e+00,3.177585844364980844e-03
1.313131313131313149e+00,3.030893519090852549e-03
1.414141414141414144e+00,2.996863731040982741e-03
1.515151515151515138e+00,3.106111901535151595e-03
1.616161616161616132e+00,2.542486160838851837e-03
1.717171717171717127e+00,1.418153856652300433e-03
1.818181818181818121e+00,7.862567113469712786e-04
1.919191919191919116e+00,4.629665755551811367e-04
2.020202020202020332e+00,3.263315789314312401e-04
2.121212121212121104e+00,3.271190740260877328e-04
2.222222222222222321e+00,5.526688546758063390e-04
2.323232323232323093e+00,1.494329059766627815e-03
2.424242424242424310e+00,3.613318356346476978e-03
2.525252525252525082e+00,4.810372621814223634e-03
2.626262626262626299e+00,7.501569632835014025e-03
2.727272727272727071e+00,9.312123067592277537e-03
2.828282828282828287e+00,1.275119561921944991e-02
2.929292929292929060e+00,1.815735196964205628e-02
3.030303030303030276e+00,2.738099116147171136e-02
3.131313131313131048e+00,3.995341055366032068e-02
3.232323232323232265e+00,3.319489763610524585e-02
3.333333333333333481e+00,2.876351543518614745e-02
3.434343434343434254e+00,2.636825364321671028e-02
3.535353535353535470e+00,2.620469760048597246e-02
3.636363636363636243e+00,2.936909438849220205e-02
3.737373737373737459e+00,2.480153412047598344e-02
3.838383838383838231e+00,1.743535588326230665e-02
3.939393939393939448e+00,1.346995345402569010e-02
4.040404040404040664e+00,1.128948505482382965e-02
4.141414141414140992e+00,1.017959455814831417e-02
4.242424242424242209e+00,9.804173085831372619e-03
4.343434343434343425e+00,1.001722835265661006e-02
4.444444444444444642e+00,1.078676685952759465e-02
4.545454545454544970e+00,1.216565109562617840e-02
4.646464646464646187e+00,1.094401934636995803e-02
4.747474747474747403e+00,1.013207929024908735e-02
4.848484848484848619e+00,9.260043602870714208e-03
4.949494949494949836e+00,7.918620273932447384e-03
5.050505050505050164e+00,6.837975733338745241e-03
5.151515151515151381e+00,5.953702026965469740e-03
5.252525252525252597e+00,5.223354862196940077e-03
5.353535353535353813e+00,4.618540495257138223e-03
5.454545454545454142e+00,4.120203601206846693e-03
5.555555555555555358e+00,3.715963103070897382e-03
5.656565656565656575e+00,3.398915749920939765e-03
5.757575757575757791e+00,3.167664614469645895e-03
5.858585858585858119e+00,3.027661994996635065e-03
5.959595959595959336e+00,2.994516761977345388e-03
6.060606060606060552e+00,3.101136816538582405e-03
6.161616161616161769e+00,2.576864893722367704e-03
6.262626262626262097e+00,1.438543230975830936e-03
6.363636363636363313e+00,7.972585267627849918e-04
6.464646464646464530e+00,4.682259723481451536e-04
6.565656565656565746e+00,3.279872459725362462e-04
6.666666666666666963e+00,3.252714724815684334e-04
6.767676767676767291e+00,5.417973237159853361e-04
6.868686868686868507e+00,1.471488303821700616e-03
6.969696969696969724e+00,3.598663106630159772e-03
7.070707070707070940e+00,4.766451378067193545e-03
7.171717171717171269e+00,7.411933549625496047e-03
7.272727272727272485e+00,9.263270004507176414e-03
7.373737373737373701e+00,1.265572810418933228e-02
7.474747474747474918e+00,1.798798142675942305e-02
7.575757575757575246e+00,2.709719435011349181e-02
7.676767676767676463e+00,3.957792006161287013e-02
7.777777777777777679e+00,3.333012300977591241e-02
7.878787878787878896e+00,2.884652154694457987e-02
7.979797979797979224e+00,2.640248757275233393e-02
8.080808080808081328e+00,2.617520005626092910e-02
8.181818181818181657e+00,2.947985017897115922e-02
8.282828282828281985e+00,2.504847879505974970e-02
8.383838383838384090e+00,1.756419233509759481e-02
8.484848484848484418e+00,1.354098087173877946e-02
8.585858585858586522e+00,1.132783427052210315e-02
8.686868686868686851e+00,1.019697298853516204e-02
8.787878787878787179e+00,9.806030482405357282e-03
8.888888888888889284e+00,1.000557230673188892e-02
8.989898989898989612e+00,1.076131269908504190e-02
9.090909090909089940e+00,1.212418767575000091e-02
9.191919191919192045e+00,1.096920353900914663e-02
9.292929292929292373e+00,1.014706440720488517e-02
9.393939393939394478e+00,9.296552821505573230e-03
9.494949494949494806e+00,7.947747025497744339e-03
9.595959595959595134e+00,6.861650984222599642e-03
9.696969696969697239e+00,5.973186982298305317e-03
9.797979797979797567e+00,5.239488268732426547e-03
9.898989898989899672e+00,4.631886183680355637e-03
1.000000000000000000e+01,4.131137304121696580e-03
