time,Rspec_hyper
0.000000000000000000e+00,3.125000000000000000e-01
1.010101010101010083e-01,2.349792345271854432e-01
2.020202020202020166e-01,1.834490438679066415e-01
3.030303030303030387e-01,1.484982674908540690e-01
4.040404040404040331e-01,1.238820826049523566e-01
5.050505050505050830e-01,1.055306024661187003e-01
6.060606060606060774e-01,9.084584882912499770e-02
7.070707070707070718e-01,7.822437866015663488e-02
8.080808080808080662e-01,6.674175574463125926e-02
9.090909090909090606e-01,5.594469785231785675e-02
1.010101010101010166e+00,4.570871805463932319e-02
1.111111111111111160e+00,3.613005899158323181e-02
1.212121212121212155e+00,2.743106450938888330e-02
1.313131313131313149e+00,1.986891244431370634e-02
1.414141414141414144e+00,1.364958568829554436e-02
1.515151515151515138e+00,8.860178112669619965e-03
1.616161616161616132e+00,5.437626700941951274e-03
1.717171717171717127e+00,3.184979280920246375e-03
1.818181818181818121e+00,1.828224410892018365e-03
1.919191919191919116e+00,1.088986477638689571e-03
2.020202020202020332e+00,7.457401554068975816e-04
2.121212121212121104e+00,6.737988943293421115e-04
2.222222222222222321e+00,8.874589400020404389e-04
2.323232323232323093e+00,1.038305061574941544e-03
2.424242424242424310e+00,1.572015372189474510e-03
2.525252525252525082e+00,2.755488987284217435e-03
2.626262626262626299e+00,5.047254267742031821e-03
2.727272727272727071e+00,9.122592598207756448e-03
2.828282828282828287e+00,1.583112826900120312e-02
2.929292929292929060e+00,2.609983377809380056e-02
3.030303030303030276e+00,4.080837671636028396e-02
3.131313131313131048e+00,6.068568069399558201e-02
3.232323232323232265e+00,8.626527719871207589e-02
3.333333333333333481e+00,1.179032031660210283e-01
3.434343434343434254e+00,1.558332093092822945e-01
3.535353535353535470e+00,2.002265276919573123e-01
3.636363636363636243e+00,2.114997492006600588e-01
3.737373737373737459e+00,2.001153951670901487e-01
3.838383838383838231e+00,1.882102277898040632e-01
3.939393939393939448e+00,1.769408693699279778e-01
4.040404040404040664e+00,1.668233857239467821e-01
4.141414141414140992e+00,1.579439738352883260e-01
4.242424242424242209e+00,1.501433894432425697e-01
4.343434343434343425e+00,1.431485165863712605e-01
4.444444444444444642e+00,1.366534335158496871e-01
4.545454545454544970e+00,1.303633481960914109e-01
4.646464646464646187e+00,1.240157161797803970e-01
4.747474747474747403e+00,1.173897926934858449e-01
4.848484848484848619e+00,1.103119300844604411e-01
4.949494949494949836e+00,1.026605348991216637e-01
5.050505050505050164e+00,9.437210849070414020e-02
5.151515151515151381e+00,8.544816845079754308e-02
5.252525252525252597e+00,7.596184057679508661e-02
5.353535353535353813e+00,6.606224763668955280e-02
5.454545454545454142e+00,5.597420204744533306e-02
5.555555555555555358e+00,4.599002388220138626e-02
5.656565656565656575e+00,3.644986342403361279e-02
5.757575757575757791e+00,2.770761020099165098e-02
5.858585858585858119e+00,2.008274852684835063e-02
5.959595959595959336e+00,1.380517972958558368e-02
6.060606060606060552e+00,8.968126919153319304e-03
6.161616161616161769e+00,5.508616068595907633e-03
6.262626262626262097e+00,3.228646199866729016e-03
6.363636363636363313e+00,1.852976681798744300e-03
6.464646464646464530e+00,1.101552595849529005e-03
6.565656565656565746e+00,7.505966373470173607e-04
6.666666666666666963e+00,6.725881580815331121e-04
6.767676767676767291e+00,8.775873682834638232e-04
6.868686868686868507e+00,1.030978568834035099e-03
6.969696969696969724e+00,1.552787117820825930e-03
7.070707070707070940e+00,2.715976120309646514e-03
7.171717171717171269e+00,4.973714394394890617e-03
7.272727272727272485e+00,8.996301550927520568e-03
7.373737373737373701e+00,1.563008451858386230e-02
7.474747474747474918e+00,2.580161545982484483e-02
7.575757575757575246e+00,4.039311596784563030e-02
7.676767676767676463e+00,6.013796699567765247e-02
7.777777777777777679e+00,8.557444523778728884e-02
7.878787878787878896e+00,1.170623193823635000e-01
7.979797979797979224e+00,1.548375598414847287e-01
8.080808080808081328e+00,1.990723227908900439e-01
8.181818181818181657e+00,2.117547539943411827e-01
8.282828282828281985e+00,2.004039460339814838e-01
8.383838383838384090e+00,1.884947359693497360e-01
8.484848484848484418e+00,1.772016949728040525e-01
8.585858585858586522e+00,1.670539292716300972e-01
8.686868686868686851e+00,1.581456882024023236e-01
8.787878787878787179e+00,1.503219040714040555e-01
8.888888888888889284e+00,1.433110812781625554e-01
8.989898989898989612e+00,1.368074564860566333e-01
9.090909090909089940e+00,1.305156472814048563e-01
9.191919191919192045e+00,1.241721852597959808e-01
9.292929292929292373e+00,1.175552442707915035e-01
9.393939393939394478e+00,1.104899807776195952e-01
9.494949494949494806e+00,1.028534738029333873e-01
9.595959595959595134e+00,9.458073612245596062e-02
9.696969696969697239e+00,8.567162752234222522e-02
9.797979797979797567e+00,7.619747294880024890e-02
9.898989898989899672e+00,6.630553138931517820e-02
1.000000000000000000e+01,5.621883912801417527e-02
