time, Rtensor_laplacian
0.000000000000000000e+00,-9.276627449476826381e-01
1.010101010101010083e-01,-1.133314476174431817e+00
2.020202020202020166e-01,-1.338490465969972343e+00
3.030303030303030387e-01,-1.529205491450809085e+00
4.040404040404040331e-01,-1.697369030322852801e+00
5.050505050505050830e-01,-1.842222056133952623e+00
6.060606060606060774e-01,-1.968492742349537528e+00
7.070707070707070718e-01,-2.083504960526695093e+00
8.080808080808080662e-01,-2.195023331382634613e+00
9.090909090909090606e-01,-2.310298728376416033e+00
1.010101010101010166e+00,-2.436081193228496922e+00
1.111111111111111160e+00,-2.579375377972404682e+00
1.212121212121212155e+00,-2.748703440746234961e+00
1.313131313131313149e+00,-2.954390930964223116e+00
1.414141414141414144e+00,-3.204543482163760171e+00
1.515151515151515138e+00,-3.497703608662028341e+00
1.616161616161616132e+00,-3.816065574233620250e+00
1.717171717171717127e+00,-4.104336598680411896e+00
1.818181818181818121e+00,-4.016260412415247671e+00
1.919191919191919116e+00,-4.164708622054132725e+00
2.020202020202020332e+00,-4.103862687927375852e+00
2.121212121212121104e+00,-3.738308216188114930e+00
2.222222222222222321e+00,-3.129085285779175329e+00
2.323232323232323093e+00,-2.480143579167247037e+00
2.424242424242424310e+00,-1.948873421380972637e+00
2.525252525252525082e+00,-1.564749585038026414e+00
2.626262626262626299e+00,-1.295820730116259867e+00
2.727272727272727071e+00,-1.106160393550384757e+00
2.828282828282828287e+00,-9.710779411195739064e-01
2.929292929292929060e+00,-8.758482446270410282e-01
3.030303030303030276e+00,-8.121875778406776325e-01
3.131313131313131048e+00,-7.757103487686175525e-01
3.232323232323232265e+00,-7.643987356914866416e-01
3.333333333333333481e+00,-7.776849567315708978e-01
3.434343434343434254e+00,-8.157996217645010484e-01
3.535353535353535470e+00,-8.789049004551993116e-01
3.636363636363636243e+00,-9.651639155232454304e-01
3.737373737373737459e+00,-1.068419620887041788e+00
3.838383838383838231e+00,-1.179457995970448536e+00
3.939393939393939448e+00,-1.289975726559010827e+00
4.040404040404040664e+00,-1.394278621177223565e+00
4.141414141414140992e+00,-1.489141076921537188e+00
4.242424242424242209e+00,-1.573415711863447530e+00
4.343434343434343425e+00,-1.647566514734465581e+00
4.444444444444444642e+00,-1.713112443339813273e+00
4.545454545454544970e+00,-1.772104588062775266e+00
4.646464646464646187e+00,-1.826747040721274917e+00
4.747474747474747403e+00,-1.879189888538476572e+00
4.848484848484848619e+00,-1.931464399302790680e+00
4.949494949494949836e+00,-1.985512102741377349e+00
5.050505050505050164e+00,-2.043260640144949125e+00
5.151515151515151381e+00,-2.106718543625399231e+00
5.252525252525252597e+00,-2.178070852368986454e+00
5.353535353535353813e+00,-2.259773233664474468e+00
5.454545454545454142e+00,-2.354677848434871379e+00
5.555555555555555358e+00,-2.466291509591525877e+00
5.656565656565656575e+00,-2.599379805350439998e+00
5.757575757575757791e+00,-2.760993727572817136e+00
5.858585858585858119e+00,-2.960587984767644620e+00
5.959595959595959336e+00,-3.205889504309305860e+00
6.060606060606060552e+00,-3.495401938342858283e+00
6.161616161616161769e+00,-3.811591600466508911e+00
6.262626262626262097e+00,-4.100661822768069342e+00
6.363636363636363313e+00,-4.012326674764362444e+00
6.464646464646464530e+00,-4.163515375399653884e+00
6.565656565656565746e+00,-4.109008856978021207e+00
6.666666666666666963e+00,-3.750799017780837463e+00
6.767676767676767291e+00,-3.145261174946988092e+00
6.868686868686868507e+00,-2.494861276320949450e+00
6.969696969696969724e+00,-1.959953277577796582e+00
7.070707070707070940e+00,-1.572544724940059035e+00
7.171717171717171269e+00,-1.301283175394844394e+00
7.272727272727272485e+00,-1.110039301426256619e+00
7.373737373737373701e+00,-9.738399613278559963e-01
7.474747474747474918e+00,-8.777613881380031957e-01
7.575757575757575246e+00,-8.133989527048876012e-01
7.676767676767676463e+00,-7.762937307507260520e-01
7.777777777777777679e+00,-7.643830403678169017e-01
7.878787878787878896e+00,-7.770720372784596375e-01
7.979797979797979224e+00,-8.145798612595571697e-01
8.080808080808081328e+00,-8.770873075272519470e-01
8.181818181818181657e+00,-9.628384734105936982e-01
8.282828282828281985e+00,-1.065787163728700193e+00
8.383838383838384090e+00,-1.176744722594790904e+00
8.484848484848484418e+00,-1.287353258041534776e+00
8.585858585858586522e+00,-1.391854179814043135e+00
8.686868686868686851e+00,-1.486966833524005382e+00
8.787878787878787179e+00,-1.571498160512198483e+00
8.888888888888889284e+00,-1.645879614974543825e+00
8.989898989898989612e+00,-1.711611053495248003e+00
9.090909090909089940e+00,-1.770736044371556295e+00
9.191919191919192045e+00,-1.825458021818357368e+00
9.292929292929292373e+00,-1.877929599655653758e+00
9.393939393939394478e+00,-1.930185046800575899e+00
9.494949494949494806e+00,-1.984166903169191087e+00
9.595959595959595134e+00,-2.041802240998735307e+00
9.696969696969697239e+00,-2.105096666452188181e+00
9.797979797979797567e+00,-2.176229694948860871e+00
9.898989898989899672e+00,-2.257649329978822283e+00
1.000000000000000000e+01,-2.352195807246881820e+00
