time,x1,x2,x3,x4,x5
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00
1.010101010101010083e-01,1.166979768574734067e+00,8.880185924948004184e-01,2.318157999920195333e+00,3.582499988736439711e+00,5.011992899261588974e+00
2.020202020202020166e-01,1.368967073626366160e+00,7.929849644187778601e-01,2.613048641075152112e+00,4.074688211404281724e+00,5.938029626475686662e+00
3.030303030303030387e-01,1.613020175155678526e+00,7.129095150464860309e-01,2.867775590438130795e+00,4.431449450833646608e+00,6.654848904631287532e+00
4.040404040404040331e-01,1.907630185941805889e+00,6.461572320637418709e-01,3.070084087727459998e+00,4.640403397983307698e+00,7.086875274206572151e+00
5.050505050505050830e-01,2.262969702140072759e+00,5.914344895469573204e-01,3.211824930801209899e+00,4.714909736245050276e+00,7.221008418499318182e+00
6.060606060606060774e-01,2.691167010236305224e+00,5.477929708378990181e-01,3.287698849658886147e+00,4.678697778153587450e+00,7.091651906355130208e+00
7.070707070707070718e-01,3.206593403851756729e+00,5.146576408227109267e-01,3.294447557681170036e+00,4.553542173421319283e+00,6.754577986176247606e+00
8.080808080808080662e-01,3.826136196902252706e+00,4.918908670624719259e-01,3.230731010377683177e+00,4.354069990316896011e+00,6.266501468323970592e+00
9.090909090909090606e-01,4.569402062719832180e+00,4.799142503563433304e-01,3.097394752802435480e+00,4.088098567485412005e+00,5.675389604943005928e+00
1.010101010101010166e+00,5.458742576562306326e+00,4.799273452133866469e-01,2.897829381942233162e+00,3.759716639632380009e+00,5.018886682672530242e+00
1.111111111111111160e+00,6.518892879401322560e+00,4.942962330806432991e-01,2.638337372287347549e+00,3.373203914742598286e+00,4.326774497521983065e+00
1.212121212121212155e+00,7.775818365880108551e+00,5.272511956059888760e-01,2.328580568658172201e+00,2.936750093421571339e+00,3.624558229795647790e+00
1.313131313131313149e+00,9.253974624069806865e+00,5.861663485498465054e-01,1.982148094947638883e+00,2.465227727090131271e+00,2.936540023131741339e+00
1.414141414141414144e+00,1.097040470843920978e+01,6.839651559112284174e-01,1.617012683973224840e+00,1.981202929943049362e+00,2.287452229243383872e+00
1.515151515151515138e+00,1.292253854208823149e+01,8.437376270790784005e-01,1.255213593290956942e+00,1.513348671178068594e+00,1.702062901693651042e+00
1.616161616161616132e+00,1.506360326835295638e+01,1.107653465948378102e+00,9.208350598595518299e-01,1.091894624654911938e+00,1.202550126813130005e+00
1.717171717171717127e+00,1.725495908268797862e+01,1.553588075780986122e+00,6.357975812006708694e-01,7.419369888665446888e-01,8.042096644045380049e-01
1.818181818181818121e+00,1.918287516510170931e+01,2.321942741239190422e+00,4.144490306447923267e-01,4.769792773811366016e-01,5.112029519054106519e-01
1.919191919191919116e+00,2.025499471962086062e+01,3.638589706501402787e+00,2.596292002512756714e-01,2.958540020423837125e-01,3.148559542242339582e-01
2.020202020202020332e+00,1.962789964567157597e+01,5.752998561057751203e+00,1.629440384561490485e-01,1.849850284643822784e-01,1.963173888308788750e-01
2.121212121212121104e+00,1.674493231683505101e+01,8.626835786747530932e+00,1.095099304067412571e-01,1.249684580842722464e-01,1.328925114972364374e-01
2.222222222222222321e+00,1.229026545991448138e+01,1.153316876010767977e+01,8.425108869326310146e-02,9.778045890157817388e-02,1.047861608370907471e-01
2.323232323232323093e+00,7.960265158027101329e+00,1.344023674580100902e+01,7.607239408175114903e-02,9.097604030615244475e-02,9.885770246603398093e-02
2.424242424242424310e+00,4.848996771639601633e+00,1.397639332297026904e+01,7.861713445923816657e-02,9.807191997175326859e-02,1.086764283365525136e-01
