time,connectedness
0.000000000000000000e+00,8.942852882494586098e+00
1.010101010101010083e-01,1.062594118729793102e+01
2.020202020202020166e-01,1.232390830092528589e+01
3.030303030303030387e-01,1.392828757301646547e+01
4.040404040404040331e-01,1.538402834134946140e+01
5.050505050505050830e-01,1.669697435234030536e+01
6.060606060606060774e-01,1.791664979997710461e+01
7.070707070707070718e-01,1.911291814843593073e+01
8.080808080808080662e-01,2.035976081289054918e+01
9.090909090909090606e-01,2.172860376694471896e+01
1.010101010101010166e+00,2.328791611957444729e+01
1.111111111111111160e+00,2.510515160289530101e+01
1.212121212121212155e+00,2.724807606081691347e+01
1.313131313131313149e+00,2.978311284445564766e+01
1.414141414141414144e+00,3.276797954755793540e+01
1.515151515151515138e+00,3.623436275164571896e+01
1.616161616161616132e+00,4.015290763123724105e+01
1.717171717171717127e+00,4.436549410844875752e+01
1.818181818181818121e+00,4.845862776332386801e+01
1.919191919191919116e+00,5.156114991773632283e+01
2.020202020202020332e+00,5.220180130163798538e+01
2.121212121212121104e+00,4.883541083275430594e+01
2.222222222222222321e+00,4.155279662853467215e+01
2.323232323232323093e+00,3.286868964116674618e+01
2.424242424242424310e+00,2.541814064373080484e+01
2.525252525252525082e+00,2.005411429545756263e+01
2.626262626262626299e+00,1.642907823824681657e+01
2.727272727272727071e+00,1.397754613216133279e+01
2.828282828282828287e+00,1.228144885518665141e+01
2.929292929292929060e+00,1.108969522230990634e+01
3.030303030303030276e+00,1.026310246587828523e+01
3.131313131313131048e+00,9.727593852069743363e+00
3.232323232323232265e+00,9.444489287469320260e+00
3.333333333333333481e+00,9.392028737534902305e+00
3.434343434343434254e+00,9.552853524312084232e+00
3.535353535353535470e+00,9.904959454766606441e+00
3.636363636363636243e+00,1.041601700110245510e+01
3.737373737373737459e+00,1.104222118100672390e+01
3.838383838383838231e+00,1.173242069384858510e+01
3.939393939393939448e+00,1.243628242249261540e+01
4.040404040404040664e+00,1.311313565963511074e+01
4.141414141414140992e+00,1.373782381850602974e+01
4.242424242424242209e+00,1.430178575274504738e+01
4.343434343434343425e+00,1.481014914680869765e+01
4.444444444444444642e+00,1.527703770852295406e+01
4.545454545454544970e+00,1.572113674902913871e+01
4.646464646464646187e+00,1.616260551213321150e+01
4.747474747474747403e+00,1.662151807693094696e+01
4.848484848484848619e+00,1.711752772653177956e+01
4.949494949494949836e+00,1.767032905933783127e+01
5.050505050505050164e+00,1.830056448673802549e+01
5.151515151515151381e+00,1.903094829101313223e+01
5.252525252525252597e+00,1.988749125179445798e+01
5.353535353535353813e+00,2.090076850979332690e+01
5.454545454545454142e+00,2.210716652139165816e+01
5.555555555555555358e+00,2.354995025630581296e+01
5.656565656565656575e+00,2.527977378221152449e+01
5.757575757575757791e+00,2.735386804339223943e+01
5.858585858585858119e+00,2.983249118903968977e+01
5.959595959595959336e+00,3.277017985469945671e+01
6.060606060606060552e+00,3.619760004627563887e+01
6.161616161616161769e+00,4.008627417958878425e+01
6.262626262626262097e+00,4.428134928468509202e+01
6.363636363636363313e+00,4.837649741571159723e+01
6.464646464646464530e+00,5.151299672449025024e+01
6.565656565656565746e+00,5.223125313346506005e+01
6.666666666666666963e+00,4.897027522805706212e+01
6.767676767676767291e+00,4.175947991238897572e+01
6.868686868686868507e+00,3.307227677548826250e+01
6.969696969696969724e+00,2.557427195866975467e+01
7.070707070707070940e+00,2.016130551697887086e+01
7.171717171717171269e+00,1.650106284684251179e+01
7.272727272727272485e+00,1.402676977103159750e+01
7.373737373737373701e+00,1.231588769893784274e+01
7.474747474747474918e+00,1.111389014589112811e+01
7.575757575757575246e+00,1.027950849799096922e+01
7.676767676767676463e+00,9.737497369250428747e+00
7.777777777777777679e+00,9.448569082661057550e+00
7.878787878787878896e+00,9.390718137979559899e+00
7.979797979797979224e+00,9.546598149543232381e+00
8.080808080808081328e+00,9.894400162689070299e+00
8.181818181818181657e+00,1.040207942043239520e+01
8.282828282828281985e+00,1.102608106307908997e+01
8.383838383838384090e+00,1.171534625737623969e+01
8.484848484848484418e+00,1.241941216412106286e+01
8.585858585858586522e+00,1.309728691637056563e+01
8.686868686868686851e+00,1.372340527582176151e+01
8.787878787878787179e+00,1.428882557540437404e+01
8.888888888888889284e+00,1.479839663501588376e+01
8.989898989898989612e+00,1.526608024367233796e+01
9.090909090909089940e+00,1.571049458189618520e+01
9.191919191919192045e+00,1.615178736002636128e+01
9.292929292929292373e+00,1.661004266441407751e+01
9.393939393939394478e+00,1.710492088385887754e+01
9.494949494949494806e+00,1.765610610605720865e+01
9.595959595959595134e+00,1.828420521378931340e+01
9.696969696969697239e+00,1.901186808191743438e+01
9.797979797979797567e+00,1.986501065511912500e+01
9.898989898989899672e+00,2.087408239567102441e+01
1.000000000000000000e+01,2.207531478278641046e+01
