time,linear_connectedness
0.000000000000000000e+00,3.190262960935101866e+00
1.010101010101010083e-01,2.787882246651410156e+00
2.020202020202020166e-01,2.870029567668092252e+00
3.030303030303030387e-01,4.006573866549366869e+00
4.040404040404040331e-01,5.435296720502150514e+00
5.050505050505050830e-01,6.870836529537392323e+00
6.060606060606060774e-01,8.282453156673398098e+00
7.070707070707070718e-01,9.714753312860647583e+00
8.080808080808080662e-01,1.124657002889641966e+01
9.090909090909090606e-01,1.299615821956202311e+01
1.010101010101010166e+00,1.494701968238691414e+01
1.111111111111111160e+00,1.721511798709180852e+01
1.212121212121212155e+00,2.007103404279781245e+01
1.313131313131313149e+00,2.367886303181161267e+01
1.414141414141414144e+00,2.832425900413414865e+01
1.515151515151515138e+00,3.443555800985099324e+01
1.616161616161616132e+00,4.250730211485869603e+01
1.717171717171717127e+00,5.257978157534940777e+01
1.818181818181818121e+00,6.315214269835702510e+01
1.919191919191919116e+00,7.091024190633916646e+01
2.020202020202020332e+00,7.164982694095675697e+01
2.121212121212121104e+00,6.312592340772209809e+01
2.222222222222222321e+00,4.701409310026399169e+01
2.323232323232323093e+00,2.900860749185896026e+01
2.424242424242424310e+00,1.351616962318154336e+01
2.525252525252525082e+00,2.705565296881625059e+00
2.626262626262626299e+00,1.000255774934832331e+01
2.727272727272727071e+00,1.275583157047395666e+01
2.828282828282828287e+00,1.345539066644898973e+01
2.929292929292929060e+00,1.300995367955991888e+01
3.030303030303030276e+00,1.194224821780623813e+01
3.131313131313131048e+00,1.063436332411046692e+01
3.232323232323232265e+00,9.360606731755346743e+00
3.333333333333333481e+00,8.254073101405561275e+00
3.434343434343434254e+00,7.338246656615137198e+00
3.535353535353535470e+00,6.539598973906827872e+00
3.636363636363636243e+00,5.698512825539909343e+00
3.737373737373737459e+00,4.962098507063737785e+00
3.838383838383838231e+00,4.212431168462854814e+00
3.939393939393939448e+00,3.970575067698692617e+00
4.040404040404040664e+00,3.915389364896821434e+00
4.141414141414140992e+00,3.984522717576375328e+00
4.242424242424242209e+00,4.326983785011246475e+00
4.343434343434343425e+00,4.572363884856506466e+00
4.444444444444444642e+00,4.989073745669899473e+00
4.545454545454544970e+00,5.453770225126633342e+00
4.646464646464646187e+00,5.955006468597857427e+00
4.747474747474747403e+00,6.503268915602942180e+00
4.848484848484848619e+00,7.114583728747616576e+00
4.949494949494949836e+00,7.806874603231952037e+00
5.050505050505050164e+00,8.600247040066349768e+00
5.151515151515151381e+00,9.519098779749139538e+00
5.252525252525252597e+00,1.059563682594835221e+01
5.353535353535353813e+00,1.187632002129300268e+01
5.454545454545454142e+00,1.344557999554108463e+01
5.555555555555555358e+00,1.527213851729143812e+01
5.656565656565656575e+00,1.743544361262772924e+01
5.757575757575757791e+00,2.020536419911604753e+01
5.858585858585858119e+00,2.373612302613196334e+01
5.959595959595959336e+00,2.830688407665842732e+01
6.060606060606060552e+00,3.434094908528935264e+01
6.161616161616161769e+00,4.233404601788289057e+01
6.262626262626262097e+00,5.234827944006960365e+01
6.363636363636363313e+00,6.293049900211757119e+01
6.464646464646464530e+00,7.078567252179200864e+01
6.565656565656565746e+00,7.174104933665185513e+01
6.666666666666666963e+00,6.344249512397905733e+01
6.767676767676767291e+00,4.745290030011803140e+01
6.868686868686868507e+00,2.942587069520963183e+01
6.969696969696969724e+00,1.393410371929552483e+01
7.070707070707070940e+00,2.404266211564936473e+00
7.171717171717171269e+00,9.896614641240111254e+00
7.272727272727272485e+00,1.271837145943953473e+01
7.373737373737373701e+00,1.345448210284724588e+01
7.474747474747474918e+00,1.302981225294390200e+01
7.575757575757575246e+00,1.197228524324376053e+01
7.676767676767676463e+00,1.066647617876866327e+01
7.777777777777777679e+00,9.389710149534668204e+00
7.878787878787878896e+00,8.278619821357231956e+00
7.979797979797979224e+00,7.357828234596968109e+00
8.080808080808081328e+00,6.565620117810653689e+00
8.181818181818181657e+00,5.713088805951594296e+00
8.282828282828281985e+00,4.990427492249270180e+00
8.383838383838384090e+00,4.224833022403688076e+00
8.484848484848484418e+00,3.973411583734654418e+00
8.585858585858586522e+00,3.915342070747972691e+00
8.686868686868686851e+00,3.980895143699653804e+00
8.787878787878787179e+00,4.308021699817956573e+00
8.888888888888889284e+00,4.563383659722654251e+00
8.989898989898989612e+00,4.978276508117277288e+00
9.090909090909089940e+00,5.442104132974199260e+00
9.191919191919192045e+00,5.942368969097770126e+00
9.292929292929292373e+00,6.489311786110287805e+00
9.393939393939394478e+00,7.098891523555435512e+00
9.494949494949494806e+00,7.788992350827681932e+00
9.595959595959595134e+00,8.579647691810514232e+00
9.696969696969697239e+00,9.495115998424578763e+00
9.797979797979797567e+00,1.056735815005948353e+01
9.898989898989899672e+00,1.184235274196578125e+01
1.000000000000000000e+01,1.340271737178055034e+01
