time,linear_potential
0.000000000000000000e+00,3.249067260014212621e+01
1.010101010101010083e-01,3.680124236560519080e+01
2.020202020202020166e-01,5.391386564573926421e+01
3.030303030303030387e-01,7.095588502148672205e+01
4.040404040404040331e-01,8.407022137440276310e+01
5.050505050505050830e-01,9.278196308337594189e+01
6.060606060606060774e-01,9.745664732218537551e+01
7.070707070707070718e-01,9.899304085176009949e+01
8.080808080808080662e-01,9.834967101447713844e+01
9.090909090909090606e-01,9.624948422711327112e+01
1.010101010101010166e+00,9.332864061960569302e+01
1.111111111111111160e+00,8.977696485347817656e+01
1.212121212121212155e+00,8.532573856996489781e+01
1.313131313131313149e+00,7.968935428705472646e+01
1.414141414141414144e+00,7.237137229794797122e+01
1.515151515151515138e+00,6.286596171660275445e+01
1.616161616161616132e+00,5.109276302923511537e+01
1.717171717171717127e+00,3.799367900202607018e+01
1.818181818181818121e+00,2.553891020341065143e+01
1.919191919191919116e+00,1.514512602007412312e+01
2.020202020202020332e+00,1.262824703668977477e+01
2.121212121212121104e+00,1.295585748711722118e+01
2.222222222222222321e+00,1.234817120490018283e+01
2.323232323232323093e+00,9.818527898233247342e+00
2.424242424242424310e+00,6.182458792326183783e+00
2.525252525252525082e+00,6.122845440005650453e+00
2.626262626262626299e+00,6.524009880285485785e+00
2.727272727272727071e+00,6.810438866657478663e+00
2.828282828282828287e+00,7.410200385536956702e+00
2.929292929292929060e+00,8.424298366957168938e+00
3.030303030303030276e+00,9.890660905134120995e+00
3.131313131313131048e+00,1.179421368104993917e+01
3.232323232323232265e+00,1.406368418023885170e+01
3.333333333333333481e+00,1.659052872163828241e+01
3.434343434343434254e+00,1.925613568673583131e+01
3.535353535353535470e+00,2.209853720110007202e+01
3.636363636363636243e+00,2.529008912203774173e+01
3.737373737373737459e+00,3.073546475053709415e+01
3.838383838383838231e+00,4.085899775973108206e+01
3.939393939393939448e+00,5.429813953948159622e+01
4.040404040404040664e+00,6.754609162395460942e+01
4.141414141414140992e+00,7.987126497082451237e+01
4.242424242424242209e+00,9.035102607322758672e+01
4.343434343434343425e+00,1.006457522662690423e+02
4.444444444444444642e+00,1.084934763770109498e+02
4.545454545454544970e+00,1.138855695287416125e+02
4.646464646464646187e+00,1.170234015075066054e+02
4.747474747474747403e+00,1.182140612745480439e+02
4.848484848484848619e+00,1.178188211069495992e+02
4.949494949494949836e+00,1.162040172726842258e+02
5.050505050505050164e+00,1.137050565319639759e+02
5.151515151515151381e+00,1.106034842243621341e+02
5.252525252525252597e+00,1.071133402192354112e+02
5.353535353535353813e+00,1.033703430893263544e+02
5.454545454545454142e+00,9.940454843133936436e+01
5.555555555555555358e+00,9.534851689357458326e+01
5.656565656565656575e+00,9.110902327131383061e+01
5.757575757575757791e+00,8.622639452279994998e+01
5.858585858585858119e+00,8.032202427250720689e+01
5.959595959595959336e+00,7.284965475563686255e+01
6.060606060606060552e+00,6.327052196504187975e+01
6.161616161616161769e+00,5.146797059344985570e+01
6.262626262626262097e+00,3.833906732644581439e+01
6.363636363636363313e+00,2.582637857230088940e+01
6.464646464646464530e+00,1.538482711957905735e+01
6.565656565656565746e+00,1.262926662816269641e+01
6.666666666666666963e+00,1.295049327997813471e+01
6.767676767676767291e+00,1.238638569674072798e+01
6.868686868686868507e+00,9.898334743544403125e+00
6.969696969696969724e+00,6.137121362157623494e+00
7.070707070707070940e+00,6.087782611360337270e+00
7.171717171717171269e+00,6.519218791404677305e+00
7.272727272727272485e+00,6.800404385637678573e+00
7.373737373737373701e+00,7.391021665905205928e+00
7.474747474747474918e+00,8.394428104505397670e+00
7.575757575757575246e+00,9.849773441225931236e+00
7.676767676767676463e+00,1.174335955855331548e+01
7.777777777777777679e+00,1.400516023234236584e+01
7.878787878787878896e+00,1.652714146251095784e+01
7.979797979797979224e+00,1.919103900675183283e+01
8.080808080808081328e+00,2.201760447809935073e+01
8.181818181818181657e+00,2.521603315946886426e+01
8.282828282828281985e+00,3.051613379116906799e+01
8.383838383838384090e+00,4.053159807435076800e+01
8.484848484848484418e+00,5.397232839396848902e+01
8.585858585858586522e+00,6.723219631610182034e+01
8.686868686868686851e+00,7.958998441351988617e+01
8.787878787878787179e+00,9.013100960965134334e+01
8.888888888888889284e+00,1.004240214565730582e+02
8.989898989898989612e+00,1.083327475454328521e+02
9.090909090909089940e+00,1.137825098047421761e+02
9.191919191919192045e+00,1.169717062644345162e+02
9.292929292929292373e+00,1.182054260939650021e+02
9.393939393939394478e+00,1.178442509009513373e+02
9.494949494949494806e+00,1.162548748941187711e+02
9.595959595959595134e+00,1.137737745689658766e+02
9.696969696969697239e+00,1.106839896554778306e+02
9.797979797979797567e+00,1.072013182991029225e+02
9.898989898989899672e+00,1.034635492489111925e+02
1.000000000000000000e+01,9.950425767289871715e+01
