time,potential
0.000000000000000000e+00,2.263456012462849998e+01
1.010101010101010083e-01,2.520204591933850224e+01
2.020202020202020166e-01,2.754389772571594008e+01
3.030303030303030387e-01,2.957188174737446928e+01
4.040404040404040331e-01,3.126644849070893173e+01
5.050505050505050830e-01,3.266353793390445759e+01
6.060606060606060774e-01,3.382668211589003704e+01
7.070707070707070718e-01,3.482235307122262924e+01
8.080808080808080662e-01,3.570641903474871981e+01
9.090909090909090606e-01,3.652042086818529043e+01
1.010101010101010166e+00,3.729351961705054919e+01
1.111111111111111160e+00,3.804698543037535785e+01
1.212121212121212155e+00,3.879980435384407400e+01
1.313131313131313149e+00,3.957492166388620092e+01
1.414141414141414144e+00,4.040532171446308496e+01
1.515151515151515138e+00,4.133713014205349623e+01
1.616161616161616132e+00,4.242273135635096537e+01
1.717171717171717127e+00,4.369060565010071429e+01
1.818181818181818121e+00,4.507301871925144354e+01
1.919191919191919116e+00,4.628144532618215834e+01
2.020202020202020332e+00,4.668577676232501972e+01
2.121212121212121104e+00,4.542393554717681781e+01
2.222222222222222321e+00,4.200834023670981310e+01
2.323232323232323093e+00,3.698036570785511401e+01
2.424242424242424310e+00,3.158881322714027462e+01
2.525252525252525082e+00,2.685775134724834601e+01
2.626262626262626299e+00,2.320523066895849951e+01
2.727272727272727071e+00,2.063069131278214030e+01
2.828282828282828287e+00,1.897439860251035171e+01
2.929292929292929060e+00,1.805819829215569783e+01
3.030303030303030276e+00,1.773268419100308080e+01
3.131313131313131048e+00,1.788228291224426414e+01
3.232323232323232265e+00,1.841680442963098585e+01
3.333333333333333481e+00,1.926070992732531195e+01
3.434343434343434254e+00,2.034391707471356625e+01
3.535353535353535470e+00,2.159573845272899106e+01
3.636363636363636243e+00,2.294307032151002090e+01
3.737373737373737459e+00,2.431330822481758602e+01
3.838383838383838231e+00,2.564100757201708447e+01
3.939393939393939448e+00,2.687557164221720640e+01
4.040404040404040664e+00,2.798657494874098717e+01
4.141414141414140992e+00,2.896452003473543968e+01
4.242424242424242209e+00,2.981715576102019227e+01
4.343434343434343425e+00,3.056333997956276605e+01
4.444444444444444642e+00,3.122681281039047718e+01
4.545454545454544970e+00,3.183143810177369915e+01
4.646464646464646187e+00,3.239837890277550514e+01
4.747474747474747403e+00,3.294491592082512454e+01
4.848484848484848619e+00,3.348433810152031498e+01
4.949494949494949836e+00,3.402637217890028154e+01
5.050505050505050164e+00,3.457778493903405348e+01
5.151515151515151381e+00,3.514296730733029506e+01
5.252525252525252597e+00,3.572444863487258715e+01
5.353535353535353813e+00,3.632338988250310052e+01
5.454545454545454142e+00,3.694018765041362684e+01
5.555555555555555358e+00,3.757540957595659137e+01
5.656565656565656575e+00,3.823137830737394438e+01
5.757575757575757791e+00,3.891477431138497423e+01
5.858585858585858119e+00,3.964043780103616399e+01
5.959595959595959336e+00,4.043571010695235657e+01
6.060606060606060552e+00,4.134252538574382640e+01
6.161616161616161769e+00,4.241024783068935022e+01
6.262626262626262097e+00,4.366601583756356320e+01
6.363636363636363313e+00,4.504364880779134239e+01
6.464646464646464530e+00,4.626016935397458951e+01
6.565656565656565746e+00,4.669307607811508376e+01
6.666666666666666963e+00,4.548022784396394513e+01
6.767676767676767291e+00,4.211481099666773531e+01
6.868686868686868507e+00,3.711198089915762210e+01
6.969696969696969724e+00,3.171474690993022705e+01
7.070707070707070940e+00,2.696039904157520439e+01
7.171717171717171269e+00,2.328062396458653538e+01
7.272727272727272485e+00,2.068156266533681631e+01
7.373737373737373701e+00,1.900517598678553099e+01
7.474747474747474918e+00,1.807293716386883631e+01
7.575757575757575246e+00,1.773458798996482955e+01
7.676767676767676463e+00,1.787381156651917991e+01
7.777777777777777679e+00,1.839993032676459350e+01
7.878787878787878896e+00,1.923716899624808718e+01
7.979797979797979224e+00,2.031539945002708336e+01
8.080808080808081328e+00,2.156398923553502556e+01
8.181818181818181657e+00,2.290987718251401262e+01
8.282828282828281985e+00,2.428037858927356396e+01
8.383838383838384090e+00,2.560978152273823838e+01
8.484848484848484418e+00,2.684705065527992218e+01
8.585858585858586522e+00,2.796124238503254844e+01
8.686868686868686851e+00,2.894238015431994882e+01
8.787878787878787179e+00,2.979786193577712794e+01
8.888888888888889284e+00,3.054635366964865995e+01
8.989898989898989612e+00,3.121154073559016595e+01
9.090909090909089940e+00,3.181732583714867957e+01
9.191919191919192045e+00,3.238495707972261073e+01
9.292929292929292373e+00,3.293181369146941506e+01
9.393939393939394478e+00,3.347127761862093109e+01
9.494949494949494806e+00,3.401315503345040980e+01
9.595959595959595134e+00,3.456427753966904248e+01
9.696969696969697239e+00,3.512908739216547360e+01
9.797979797979797567e+00,3.571015335394203305e+01
9.898989898989899672e+00,3.630866323584828592e+01
1.000000000000000000e+01,3.692502279204352078e+01
