time,R_energy
0.000000000000000000e+00,-3.854136088939899452e+01
1.004016064257028107e-01,-3.158417776793053022e+01
2.008032128514056214e-01,-3.202096764634291048e+01
3.012048192771084043e-01,-3.526649266192653442e+01
4.016064257028112428e-01,-3.896370723623405752e+01
5.020080321285140812e-01,-4.057741338026254141e+01
6.024096385542168086e-01,-3.926462415567143438e+01
7.028112449799196471e-01,-3.665963729694993845e+01
8.032128514056224855e-01,-3.543353799685780814e+01
9.036144578313253239e-01,-3.770237670062760316e+01
1.004016064257028162e+00,-4.424603508595979662e+01
1.104417670682730890e+00,-5.357647316739465992e+01
1.204819277108433617e+00,-6.180959308089230575e+01
1.305220883534136567e+00,-6.534364239525044127e+01
1.405622489959839294e+00,-6.435908708077430163e+01
1.506024096385542244e+00,-6.326459976271922159e+01
1.606425702811244971e+00,-6.797009171368169689e+01
1.706827309236947698e+00,-8.122909750666346440e+01
1.807228915662650648e+00,-9.797144891017296686e+01
1.907630522088353375e+00,-1.078641013966409048e+02
2.008032128514056325e+00,-1.058119614915443520e+02
2.108433734939759052e+00,-9.654251722658419510e+01
2.208835341365461780e+00,-8.798278532659445261e+01
2.309236947791164507e+00,-8.391830023703896302e+01
2.409638554216867234e+00,-8.256614775132968020e+01
2.510040160642570406e+00,-7.912448428721003779e+01
2.610441767068273133e+00,-7.028167855393442665e+01
2.710843373493975861e+00,-5.883419668683423254e+01
2.811244979919678588e+00,-5.179709501083130618e+01
2.911646586345381316e+00,-5.213815515006935897e+01
3.012048192771084487e+00,-5.641991078713635943e+01
3.112449799196787215e+00,-6.025631087193290369e+01
3.212851405622489942e+00,-6.175294100680449105e+01
3.313253012048192669e+00,-6.067672279926747336e+01
3.413654618473895397e+00,-5.707527774710618473e+01
3.514056224899598568e+00,-5.109736589545358498e+01
3.614457831325301296e+00,-4.388573590268552493e+01
3.714859437751004023e+00,-3.860197487831532470e+01
3.815261044176706751e+00,-3.975175302625104479e+01
3.915662650602409478e+00,-4.974888064681634603e+01
4.016064257028112650e+00,-6.564077617483667382e+01
4.116465863453814933e+00,-8.099535426973815788e+01
4.216867469879518104e+00,-9.141404960781657962e+01
4.317269076305221276e+00,-9.660544168626310579e+01
4.417670682730923559e+00,-9.795414390072888011e+01
4.518072289156626731e+00,-9.601070345276791329e+01
4.618473895582329014e+00,-8.984101255758676530e+01
4.718875502008032186e+00,-7.805942932898668118e+01
4.819277108433734469e+00,-6.168893720259666225e+01
4.919678714859437640e+00,-4.711897523375355945e+01
5.020080321285140812e+00,-4.434256481867713262e+01
5.120481927710843095e+00,-5.864770910322370412e+01
5.220883534136546267e+00,-8.322138456853761568e+01
5.321285140562248550e+00,-1.045970150423781604e+02
5.421686746987951722e+00,-1.161128214665708640e+02
5.522088353413654893e+00,-1.202213844455559553e+02
5.622489959839357176e+00,-1.207894493354197891e+02
5.722891566265060348e+00,-1.188234773616319302e+02
5.823293172690762631e+00,-1.123107442551993245e+02
5.923694779116465803e+00,-9.721711686542445818e+01
6.024096385542168974e+00,-7.156456067229088092e+01
6.124497991967871258e+00,-4.142704177813141797e+01
6.224899598393574429e+00,-1.790579717120364123e+01
6.325301204819276712e+00,-5.799808730471123219e+00
6.425702811244979884e+00,-1.621362885954522381e+00
6.526104417670683056e+00,-8.020929751162733101e-01
6.626506024096385339e+00,-1.267246241929566253e+00
6.726907630522088510e+00,-2.785778678006429310e+00
6.827309236947790794e+00,-6.056777762863959857e+00
6.927710843373493965e+00,-1.228011716226185257e+01
7.028112449799197137e+00,-2.250947080215174623e+01
7.128514056224899420e+00,-3.643882815771601713e+01
7.228915662650602592e+00,-5.158147653143212352e+01
7.329317269076304875e+00,-6.441166699987766719e+01
7.429718875502008046e+00,-7.275675280268688994e+01
7.530120481927711218e+00,-7.665543825613696072e+01
7.630522088353413501e+00,-7.709772123030452917e+01
7.730923694779116673e+00,-7.455477184997457130e+01
7.831325301204818956e+00,-6.855873103472833918e+01
7.931726907630522128e+00,-5.838293387725609307e+01
8.032128514056225299e+00,-4.444607440026505429e+01
8.132530120481927582e+00,-2.925440365864911385e+01
8.232931726907629866e+00,-1.630105133511404958e+01
8.333333333333333925e+00,-7.660748994002203993e+00
8.433734939759036209e+00,-3.069672955544041404e+00
8.534136546184738492e+00,-1.068276480038206078e+00
8.634538152610442552e+00,-3.307145208339496434e-01
8.734939759036144835e+00,-9.882502281308742920e-02
8.835341365461847118e+00,-4.446552642859732257e-02
8.935742971887549402e+00,-6.269915550985580288e-02
9.036144578313253461e+00,-1.595693770828203739e-01
9.136546184738955745e+00,-4.439545353799169147e-01
9.236947791164658028e+00,-1.223554016933991351e+00
9.337349397590362088e+00,-3.238604598536361401e+00
9.437751004016064371e+00,-8.009689238508448383e+00
9.538152610441766655e+00,-1.791332191371895277e+01
9.638554216867468938e+00,-3.498159206430612755e+01
9.738955823293172998e+00,-5.810416430157222578e+01
9.839357429718875281e+00,-8.176219473092817225e+01
9.939759036144577564e+00,-9.978165428945072790e+01
1.004016064257028162e+01,-1.100640743441792324e+02
1.014056224899598391e+01,-1.142336506756683576e+02
1.024096385542168619e+01,-1.142024787870567764e+02
1.034136546184739025e+01,-1.101437891527081661e+02
1.044176706827309253e+01,-1.004740037944719262e+02
1.054216867469879482e+01,-8.347396911402759656e+01
1.064257028112449710e+01,-6.036068212181510972e+01
1.074297188755020116e+01,-3.667413438042747487e+01
1.084337349397590344e+01,-1.855602177058815982e+01
1.094377510040160573e+01,-7.989006853338056047e+00
