time,R_energy_linear_jacobian
0.000000000000000000e+00,-2.689126796958813657e+02
1.004016064257028107e-01,-2.769874186237330491e+02
2.008032128514056214e-01,-2.942104192184219187e+02
3.012048192771084043e-01,-3.102795570285487088e+02
4.016064257028112428e-01,-3.228848483094978405e+02
5.020080321285140812e-01,-3.324452481314501142e+02
6.024096385542168086e-01,-3.393363629325896795e+02
7.028112449799196471e-01,-3.425216740174624874e+02
8.032128514056224855e-01,-3.400127302999214294e+02
9.036144578313253239e-01,-3.305233616060998543e+02
1.004016064257028162e+00,-3.150402139657147700e+02
1.104417670682730890e+00,-2.971752411864040369e+02
1.204819277108433617e+00,-2.816190166299995212e+02
1.305220883534136567e+00,-2.714279503069744237e+02
1.405622489959839294e+00,-2.662594091040202784e+02
1.506024096385542244e+00,-2.629400223853738794e+02
1.606425702811244971e+00,-2.580846834630943363e+02
1.706827309236947698e+00,-2.515837977989780256e+02
1.807228915662650648e+00,-2.488316888253912111e+02
1.907630522088353375e+00,-2.588377220185633973e+02
2.008032128514056325e+00,-2.881516194387262999e+02
2.108433734939759052e+00,-3.358111363162848875e+02
2.208835341365461780e+00,-3.942121174556008896e+02
2.309236947791164507e+00,-4.542392670158459396e+02
2.409638554216867234e+00,-5.094959612305560199e+02
2.510040160642570406e+00,-5.569998789413680242e+02
2.610441767068273133e+00,-5.950546166935051815e+02
2.710843373493975861e+00,-6.207052395221088545e+02
2.811244979919678588e+00,-6.298840559106754426e+02
2.911646586345381316e+00,-6.211544729961915436e+02
3.012048192771084487e+00,-5.992054818541020040e+02
3.112449799196787215e+00,-5.736917821581713497e+02
3.212851405622489942e+00,-5.543975922982565407e+02
3.313253012048192669e+00,-5.472701341643539763e+02
3.413654618473895397e+00,-5.535118170954278867e+02
3.514056224899598568e+00,-5.704075446091761705e+02
3.614457831325301296e+00,-5.921766605490935262e+02
3.714859437751004023e+00,-6.107941821285429569e+02
3.815261044176706751e+00,-6.178818268082818577e+02
3.915662650602409478e+00,-6.080919755116112810e+02
4.016064257028112650e+00,-5.823779465441290313e+02
4.116465863453814933e+00,-5.486601332759207708e+02
4.216867469879518104e+00,-5.189915243516045393e+02
4.317269076305221276e+00,-5.048118244937462009e+02
4.417670682730923559e+00,-5.134017819911564402e+02
4.518072289156626731e+00,-5.473376544171129581e+02
4.618473895582329014e+00,-6.054622105093095570e+02
4.718875502008032186e+00,-6.828111192013341224e+02
4.819277108433734469e+00,-7.690273697080998545e+02
4.919678714859437640e+00,-8.475525541061194872e+02
5.020080321285140812e+00,-8.988864154740068670e+02
5.120481927710843095e+00,-9.090078288247123055e+02
5.220883534136546267e+00,-8.778103466284796923e+02
5.321285140562248550e+00,-8.183384670750303940e+02
5.421686746987951722e+00,-7.471536754996483296e+02
5.522088353413654893e+00,-6.764820930341982148e+02
5.622489959839357176e+00,-6.132898521289409928e+02
5.722891566265060348e+00,-5.625184008131093378e+02
5.823293172690762631e+00,-5.302199322436079001e+02
5.923694779116465803e+00,-5.229988591885119149e+02
6.024096385542168974e+00,-5.428466076568389553e+02
6.124497991967871258e+00,-5.820704242758557712e+02
6.224899598393574429e+00,-6.258758555838461461e+02
6.325301204819276712e+00,-6.611573944927077946e+02
6.425702811244979884e+00,-6.820922805143288770e+02
6.526104417670683056e+00,-6.893983449864155091e+02
6.626506024096385339e+00,-6.866315035596990128e+02
6.726907630522088510e+00,-6.768218046278296924e+02
6.827309236947790794e+00,-6.611021501988379896e+02
6.927710843373493965e+00,-6.391266567499633311e+02
7.028112449799197137e+00,-6.103346072769538750e+02
7.128514056224899420e+00,-5.753219379584849094e+02
7.228915662650602592e+00,-5.366109374926718374e+02
7.329317269076304875e+00,-4.982269476132692034e+02
7.429718875502008046e+00,-4.643488004243267255e+02
7.530120481927711218e+00,-4.381183249002239677e+02
7.630522088353413501e+00,-4.213509684796688930e+02
7.730923694779116673e+00,-4.149224481440296017e+02
7.831325301204818956e+00,-4.191409579009844038e+02
7.931726907630522128e+00,-4.336169076497464516e+02
8.032128514056225299e+00,-4.566876489935306154e+02
8.132530120481927582e+00,-4.850523633137026991e+02
8.232931726907629866e+00,-5.143485739181451208e+02
8.333333333333333925e+00,-5.405410496904191859e+02
8.433734939759036209e+00,-5.611212345921684346e+02
8.534136546184738492e+00,-5.753891556134938128e+02
8.634538152610442552e+00,-5.839753627555767252e+02
8.734939759036144835e+00,-5.881484719834700172e+02
8.835341365461847118e+00,-5.892652831934776714e+02
8.935742971887549402e+00,-5.884402131230020814e+02
9.036144578313253461e+00,-5.863824635359721924e+02
9.136546184738955745e+00,-5.833258008909937189e+02
9.236947791164658028e+00,-5.789830088197469422e+02
9.337349397590362088e+00,-5.724869837007995557e+02
9.437751004016064371e+00,-5.623523018975364494e+02
9.538152610441766655e+00,-5.466223814182968681e+02
9.638554216867468938e+00,-5.235036478217574540e+02
9.738955823293172998e+00,-4.926445472136294939e+02
9.839357429718875281e+00,-4.564302742989528952e+02
9.939759036144577564e+00,-4.198542282448481728e+02
1.004016064257028162e+01,-3.884322216279915096e+02
1.014056224899598391e+01,-3.658489173104404699e+02
1.024096385542168619e+01,-3.533641615621579035e+02
1.034136546184739025e+01,-3.509243142552971335e+02
1.044176706827309253e+01,-3.584232379066570502e+02
1.054216867469879482e+01,-3.759040322772225409e+02
1.064257028112449710e+01,-4.025292575634406944e+02
1.074297188755020116e+01,-4.352497376390646195e+02
1.084337349397590344e+01,-4.688373298998366749e+02
1.094377510040160573e+01,-4.979176137545705956e+02
1.104417670682730979e+01,-5.193428073819588917e+02
1.114457831325301207e+01,-5.328660027614380397e+02
1.124497991967871435e+01,-5.401032776007934899e+02
1.134538152610441841e+01,-5.431583023969307078e+02
1.144578313253012070e+01,-5.438143799604174546e+02
1.154618473895582298e+01,-5.433123561256926450e+02
1.164658634538152526e+01,-5.424204908425997473e+02
1.174698795180722932e+01,-5.415788725937015897e+02
1.184738955823293161e+01,-5.410267925969669705e+02
1.194779116465863389e+01,-5.408916275096507889e+02
1.204819277108433795e+01,-5.412429298167786555e+02
1.214859437751004023e+01,-5.421199082847891759e+02
1.224899598393574252e+01,-5.435378115302380593e+02
1.234939759036144658e+01,-5.454737539360261280e+02
1.244979919678714886e+01,-5.478260477904340178e+02
1.255020080321285114e+01,-5.503328829390077317e+02
1.265060240963855342e+01,-5.524284881008699131e+02
1.275100401606425748e+01,-5.530220076318631754e+02
1.285140562248995977e+01,-5.502554055190340705e+02
1.295180722891566205e+01,-5.415330722682767828e+02
1.305220883534136611e+01,-5.245185763142438873e+02
1.315261044176706839e+01,-4.996652693703479144e+02
1.325301204819277068e+01,-4.728549629514809567e+02
1.335341365461847296e+01,-4.544538162327879718e+02
1.345381526104417702e+01,-4.537905799317678657e+02
1.355421686746987930e+01,-4.739612961277623526e+02
1.365461847389558159e+01,-5.119328696557666376e+02
1.375502008032128565e+01,-5.628451334637500167e+02
1.385542168674698793e+01,-6.237115790192186751e+02
1.395582329317269021e+01,-6.935871683652000002e+02
1.405622489959839427e+01,-7.705239830172573647e+02
1.415662650602409656e+01,-8.481263130077737742e+02
1.425702811244979884e+01,-9.159744041903123843e+02
1.435742971887550112e+01,-9.649502242076831635e+02
1.445783132530120518e+01,-9.924706251073567955e+02
