time,R_energy_pc
0.000000000000000000e+00,-4.921511911761875808e+02
1.004016064257028107e-01,-5.525463405126102998e+02
2.008032128514056214e-01,-6.029673999587291746e+02
3.012048192771084043e-01,-6.423012595426041571e+02
4.016064257028112428e-01,-6.720928825978858185e+02
5.020080321285140812e-01,-6.950605073880627742e+02
6.024096385542168086e-01,-7.142797277818442581e+02
7.028112449799196471e-01,-7.327454389193744646e+02
8.032128514056224855e-01,-7.531924932761123728e+02
9.036144578313253239e-01,-7.783692602657165480e+02
1.004016064257028162e+00,-8.173407136445147216e+02
1.104417670682730890e+00,-8.842123497179721880e+02
1.204819277108433617e+00,-9.865939593345447065e+02
1.305220883534136567e+00,-1.122384618276340007e+03
1.405622489959839294e+00,-1.282383262836058293e+03
1.506024096385542244e+00,-1.454131863934969715e+03
1.606425702811244971e+00,-1.625749322179609180e+03
1.706827309236947698e+00,-1.788194040522165324e+03
1.807228915662650648e+00,-1.935789355171733860e+03
1.907630522088353375e+00,-2.066163375376980184e+03
2.008032128514056325e+00,-2.179879773706070864e+03
2.108433734939759052e+00,-2.279255704611163310e+03
2.208835341365461780e+00,-2.367132225456845845e+03
2.309236947791164507e+00,-2.445860573862119509e+03
2.409638554216867234e+00,-2.516705299294346332e+03
2.510040160642570406e+00,-2.579361654742437622e+03
2.610441767068273133e+00,-2.633086147484946650e+03
2.710843373493975861e+00,-2.678667149644554229e+03
2.811244979919678588e+00,-2.718460953286598851e+03
2.911646586345381316e+00,-2.762728561731307309e+03
3.012048192771084487e+00,-2.830592945960728230e+03
3.112449799196787215e+00,-2.937212101182175957e+03
3.212851405622489942e+00,-3.086528414865322247e+03
3.313253012048192669e+00,-3.272559084705113492e+03
3.413654618473895397e+00,-3.483329326632440825e+03
3.514056224899598568e+00,-3.705691084119765037e+03
3.614457831325301296e+00,-3.930026328077447943e+03
3.714859437751004023e+00,-4.152166921943718080e+03
3.815261044176706751e+00,-4.371833772842212056e+03
3.915662650602409478e+00,-4.590400055240317670e+03
4.016064257028112650e+00,-4.809118124371480917e+03
4.116465863453814933e+00,-5.028277966459681011e+03
4.216867469879518104e+00,-5.247265739880226647e+03
4.317269076305221276e+00,-5.465124523879951084e+03
4.417670682730923559e+00,-5.681366796907604112e+03
4.518072289156626731e+00,-5.897105171947133385e+03
4.618473895582329014e+00,-6.114753437115037741e+03
4.718875502008032186e+00,-6.337175952882383172e+03
4.819277108433734469e+00,-6.570775763416751033e+03
4.919678714859437640e+00,-6.826139926981963072e+03
5.020080321285140812e+00,-7.111499643509099769e+03
5.120481927710843095e+00,-7.430324569712596713e+03
5.220883534136546267e+00,-7.786994287733880810e+03
5.321285140562248550e+00,-8.174320543284088671e+03
5.421686746987951722e+00,-8.586852276532023097e+03
5.522088353413654893e+00,-9.044772253075207118e+03
5.622489959839357176e+00,-9.578131345468749714e+03
5.722891566265060348e+00,-1.020684755064977253e+04
5.823293172690762631e+00,-1.092002345459215940e+04
5.923694779116465803e+00,-1.167774640876380909e+04
6.024096385542168974e+00,-1.243468193273068937e+04
6.124497991967871258e+00,-1.315857156444802604e+04
6.224899598393574429e+00,-1.383619469153088176e+04
6.325301204819276712e+00,-1.446853990772908764e+04
6.425702811244979884e+00,-1.506372461986704548e+04
6.526104417670683056e+00,-1.563091030463850802e+04
6.626506024096385339e+00,-1.617694777500718010e+04
6.726907630522088510e+00,-1.670550022045707010e+04
6.827309236947790794e+00,-1.721772869126255682e+04
6.927710843373493965e+00,-1.771332922673947542e+04
7.028112449799197137e+00,-1.819142166009853099e+04
7.128514056224899420e+00,-1.865094786637747893e+04
7.228915662650602592e+00,-1.909038739980921309e+04
7.329317269076304875e+00,-1.950820823783524247e+04
7.429718875502008046e+00,-1.990358948749965930e+04
7.530120481927711218e+00,-2.027611383469773864e+04
7.630522088353413501e+00,-2.063048181241722705e+04
7.730923694779116673e+00,-2.096395192151314768e+04
7.831325301204818956e+00,-2.126446542255108216e+04
7.931726907630522128e+00,-2.151640626251704089e+04
8.032128514056225299e+00,-2.170532752925027307e+04
8.132530120481927582e+00,-2.183150336388351207e+04
8.232931726907629866e+00,-2.190140513176440800e+04
8.333333333333333925e+00,-2.192934603451021030e+04
8.433734939759036209e+00,-2.192903972865734249e+04
8.534136546184738492e+00,-2.191298788873007288e+04
8.634538152610442552e+00,-2.189041915211025116e+04
8.734939759036144835e+00,-2.187086003415071536e+04
8.835341365461847118e+00,-2.189393936470663903e+04
8.935742971887549402e+00,-2.208571245336570792e+04
9.036144578313253461e+00,-2.258993511202765876e+04
9.136546184738955745e+00,-2.345448837269958312e+04
9.236947791164658028e+00,-2.465097471894118644e+04
9.337349397590362088e+00,-2.610755579662181481e+04
9.437751004016064371e+00,-2.774074093378476391e+04
9.538152610441766655e+00,-2.947706137779492565e+04
9.638554216867468938e+00,-3.126265939990670449e+04
9.738955823293172998e+00,-3.306285315211176930e+04
9.839357429718875281e+00,-3.485674416024927632e+04
9.939759036144577564e+00,-3.663429394103800587e+04
1.004016064257028162e+01,-3.839189086147319176e+04
1.014056224899598391e+01,-4.012362275831885927e+04
1.024096385542168619e+01,-4.183355380783024157e+04
1.034136546184739025e+01,-4.352333439813280711e+04
1.044176706827309253e+01,-4.516879404356685700e+04
1.054216867469879482e+01,-4.673595421709324728e+04
1.064257028112449710e+01,-4.820111392329816590e+04
1.074297188755020116e+01,-4.957110360619240964e+04
1.084337349397590344e+01,-5.087531421311895247e+04
1.094377510040160573e+01,-5.214381903409896768e+04
1.104417670682730979e+01,-5.339993224647775060e+04
1.114457831325301207e+01,-5.465644037477728125e+04
1.124497991967871435e+01,-5.591892210380452161e+04
1.134538152610441841e+01,-5.719007627836473694e+04
1.144578313253012070e+01,-5.847065828947470436e+04
1.154618473895582298e+01,-5.976001247453049291e+04
1.164658634538152526e+01,-6.105707943456112844e+04
1.174698795180722932e+01,-6.236056119960224169e+04
1.184738955823293161e+01,-6.366891353672186960e+04
1.194779116465863389e+01,-6.497826557636301732e+04
1.204819277108433795e+01,-6.629374297394067980e+04
1.214859437751004023e+01,-6.762201980703753361e+04
1.224899598393574252e+01,-6.893788784500020847e+04
1.234939759036144658e+01,-7.021885287904436700e+04
1.244979919678714886e+01,-7.147144753952277824e+04
1.255020080321285114e+01,-7.270481504556082655e+04
1.265060240963855342e+01,-7.392940097210231761e+04
1.275100401606425748e+01,-7.514690303713991307e+04
1.285140562248995977e+01,-7.635178870117754559e+04
1.295180722891566205e+01,-7.753746129098553502e+04
1.305220883534136611e+01,-7.869274109645746648e+04
1.315261044176706839e+01,-7.981624992212759389e+04
1.325301204819277068e+01,-8.090939158201504324e+04
1.335341365461847296e+01,-8.197224283694439509e+04
1.345381526104417702e+01,-8.299618830895530118e+04
1.355421686746987930e+01,-8.397123908888912410e+04
1.365461847389558159e+01,-8.488918833426816855e+04
1.375502008032128565e+01,-8.571179573542461731e+04
1.385542168674698793e+01,-8.631339274312907946e+04
1.395582329317269021e+01,-8.655062247207689506e+04
1.405622489959839427e+01,-8.637607410164721659e+04
1.415662650602409656e+01,-8.581857578363134235e+04
1.425702811244979884e+01,-8.495034108437552641e+04
1.435742971887550112e+01,-8.385510585975668801e+04
1.445783132530120518e+01,-8.260640281257666356e+04
1.455823293172690747e+01,-8.125794848737590655e+04
1.465863453815260975e+01,-7.984371603511615831e+04
1.475903614457831381e+01,-7.838335909353104944e+04
1.485943775100401609e+01,-7.688779308941063937e+04
1.495983935742971838e+01,-7.536314426177594578e+04
1.506024096385542244e+01,-7.381303750299925741e+04
1.516064257028112472e+01,-7.223975669466416002e+04
1.526104417670682700e+01,-7.064460490015412506e+04
1.536144578313252929e+01,-6.905506410240876721e+04
1.546184738955823335e+01,-6.755463051308470313e+04
1.556224899598393563e+01,-6.623272417073634278e+04
1.566265060240963791e+01,-6.513318962362664024e+04
1.576305220883534197e+01,-6.426094420049321343e+04
1.586345381526104426e+01,-6.359539333631552290e+04
1.596385542168674654e+01,-6.310669769237282890e+04
1.606425702811245060e+01,-6.276770666787668597e+04
1.616465863453815288e+01,-6.255763441518761829e+04
1.626506024096385516e+01,-6.246167623904384527e+04
1.636546184738955745e+01,-6.247073803246596071e+04
1.646586345381525973e+01,-6.258048838575530681e+04
1.656626506024096201e+01,-6.278980147970646794e+04
1.666666666666666785e+01,-6.309996620984135370e+04
1.676706827309237013e+01,-6.351417974928439071e+04
1.686746987951807242e+01,-6.403908886715502740e+04
