time,R_loc
0.000000000000000000e+00,-9.999899999977707177e-02
1.004016064257028107e-01,-4.142753507308210015e-01
2.008032128514056214e-01,-5.680326444482362014e-01
3.012048192771084043e-01,-4.782165423855244679e-01
4.016064257028112428e-01,-3.044228718198962458e-01
5.020080321285140812e-01,-1.195022684266026647e-01
6.024096385542168086e-01,-5.734534429696960811e-02
7.028112449799196471e-01,-5.215300156938135201e-02
8.032128514056224855e-01,-4.740718138470798731e-02
9.036144578313253239e-01,-4.307357084536325015e-02
1.004016064257028162e+00,-3.911983360141242649e-02
1.104417670682730890e+00,-3.551553994729476915e-02
1.204819277108433617e+00,-1.786760922820942454e-01
1.305220883534136567e+00,-3.404767494974068054e-01
1.405622489959839294e+00,-4.376183078547705163e-01
1.506024096385542244e+00,-4.444132610807431938e-01
1.606425702811244971e+00,-1.689128657200135164e+00
1.706827309236947698e+00,-1.823013428309613104e+00
1.807228915662650648e+00,-9.904518548733560745e-01
1.907630522088353375e+00,-4.161100042498208640e-01
2.008032128514056325e+00,-5.656184736084224340e-01
2.108433734939759052e+00,-6.503181929282442209e-01
2.208835341365461780e+00,-2.086377584691031295e+00
2.309236947791164507e+00,-2.942251227337286501e+00
2.409638554216867234e+00,-2.816806013766264716e+00
2.510040160642570406e+00,-1.763725909448593754e+00
2.610441767068273133e+00,-8.100320201600168246e-03
2.710843373493975861e+00,-7.332119012914459222e-03
2.811244979919678588e+00,-1.034624232610701133e+00
2.911646586345381316e+00,-2.499977943506212164e+00
3.012048192771084487e+00,-3.217610856851346401e+00
3.112449799196787215e+00,-3.470905163473464228e+00
3.212851405622489942e+00,-3.424921065576526757e+00
3.313253012048192669e+00,-3.150592610285211315e+00
3.413654618473895397e+00,-2.660077096432930777e+00
3.514056224899598568e+00,-1.939018307310216294e+00
3.614457831325301296e+00,-9.332208453228899581e-01
3.714859437751004023e+00,-2.390642196898992156e-01
3.815261044176706751e+00,-1.904426922233676489e+00
3.915662650602409478e+00,-3.225619365980466391e+00
4.016064257028112650e+00,-4.131952151150017905e+00
4.116465863453814933e+00,-4.661209179576910167e+00
4.216867469879518104e+00,-4.885866338121477526e+00
4.317269076305221276e+00,-4.867975213612722563e+00
4.417670682730923559e+00,-4.635884449927420548e+00
4.518072289156626731e+00,-4.172337043420547786e+00
4.618473895582329014e+00,-3.430765717249171232e+00
4.718875502008032186e+00,-2.367841316168505461e+00
4.819277108433734469e+00,-9.625034850893005034e-01
4.919678714859437640e+00,-1.423751362415353050e+00
5.020080321285140812e+00,-3.322783063842057238e+00
5.120481927710843095e+00,-4.670982777523817298e+00
5.220883534136546267e+00,-5.486144251926768689e+00
5.321285140562248550e+00,-5.899029534763560179e+00
5.421686746987951722e+00,-6.042253580810855951e+00
5.522088353413654893e+00,-5.993961735421821757e+00
5.622489959839357176e+00,-5.757362392073341439e+00
5.722891566265060348e+00,-5.265685086344575438e+00
5.823293172690762631e+00,-4.386925558622289500e+00
5.923694779116465803e+00,-2.945479847739759016e+00
6.024096385542168974e+00,-7.355768526345994873e-01
6.124497991967871258e+00,-1.919832878003644439e-01
6.224899598393574429e+00,-2.193228030600584688e+00
6.325301204819276712e+00,-3.458648548161754821e+00
6.425702811244979884e+00,-4.116774278176663415e+00
6.526104417670683056e+00,-4.420919888417697230e+00
6.626506024096385339e+00,-4.561102447161980322e+00
6.726907630522088510e+00,-4.630293784404339696e+00
6.827309236947790794e+00,-4.665803818637931144e+00
6.927710843373493965e+00,-4.681142371181615580e+00
7.028112449799197137e+00,-4.680244441311414150e+00
7.128514056224899420e+00,-4.662220438430216163e+00
7.228915662650602592e+00,-4.622135495084488177e+00
7.329317269076304875e+00,-4.550193313095975967e+00
7.429718875502008046e+00,-4.430084499201355719e+00
7.530120481927711218e+00,-4.236841223064296003e+00
7.630522088353413501e+00,-3.934900494954620687e+00
7.730923694779116673e+00,-3.478575447901809170e+00
7.831325301204818956e+00,-2.817819174285307593e+00
7.931726907630522128e+00,-1.912989283058923462e+00
8.032128514056225299e+00,-7.502772711085982094e-01
8.132530120481927582e+00,-1.455524893711427126e+00
8.232931726907629866e+00,-2.982955308093209634e+00
8.333333333333333925e+00,-4.083431035207684801e+00
8.433734939759036209e+00,-4.754054567198656045e+00
8.534136546184738492e+00,-5.101657821608145404e+00
8.634538152610442552e+00,-5.255826134766965474e+00
8.734939759036144835e+00,-5.313764882275707535e+00
8.835341365461847118e+00,-5.331662560196461342e+00
8.935742971887549402e+00,-5.336287555047060316e+00
9.036144578313253461e+00,-5.338146057945469813e+00
9.136546184738955745e+00,-5.340321757356933929e+00
9.236947791164658028e+00,-5.342913330339584377e+00
9.337349397590362088e+00,-5.345018836741373569e+00
9.437751004016064371e+00,-5.345297675073135579e+00
9.538152610441766655e+00,-5.341881198023186172e+00
9.638554216867468938e+00,-5.331899086562271961e+00
9.738955823293172998e+00,-5.310665619182074693e+00
9.839357429718875281e+00,-5.270415716348336055e+00
9.939759036144577564e+00,-5.198079001304519053e+00
1.004016064257028162e+01,-5.072334848269179020e+00
1.014056224899598391e+01,-4.859542633191721528e+00
1.024096385542168619e+01,-4.509727199700456879e+00
1.034136546184739025e+01,-3.956676728687199329e+00
1.044176706827309253e+01,-3.129366946405643723e+00
1.054216867469879482e+01,-1.982500229784693868e+00
1.064257028112449710e+01,-5.359444615600936768e-01
1.074297188755020116e+01,-2.191413353356549187e+00
1.084337349397590344e+01,-3.965796287090572303e+00
1.094377510040160573e+01,-5.125805974250717156e+00
1.104417670682730979e+01,-5.759905928536529274e+00
1.114457831325301207e+01,-6.059320433398291073e+00
1.124497991967871435e+01,-6.183507053800860298e+00
1.134538152610441841e+01,-6.228327413877414287e+00
1.144578313253012070e+01,-6.241275509653418041e+00
1.154618473895582298e+01,-6.243047774889586066e+00
1.164658634538152526e+01,-6.241916686759457988e+00
1.174698795180722932e+01,-6.240837508927670640e+00
1.184738955823293161e+01,-6.240641081077773933e+00
1.194779116465863389e+01,-6.241386626031349749e+00
1.204819277108433795e+01,-6.242890643351154623e+00
1.214859437751004023e+01,-6.244939410544432690e+00
1.224899598393574252e+01,-6.247340985094030685e+00
1.234939759036144658e+01,-6.249918515564150567e+00
1.244979919678714886e+01,-6.252492243104182279e+00
1.255020080321285114e+01,-6.254820145825807032e+00
1.265060240963855342e+01,-6.256539590543534146e+00
1.275100401606425748e+01,-6.257012582238711929e+00
1.285140562248995977e+01,-6.255079145483676939e+00
1.295180722891566205e+01,-6.248592992423754211e+00
1.305220883534136611e+01,-6.233554286257028565e+00
1.315261044176706839e+01,-6.202561733283792123e+00
1.325301204819277068e+01,-6.141885006186603491e+00
1.335341365461847296e+01,-6.026576912448254220e+00
1.345381526104417702e+01,-5.812287096968109523e+00
1.355421686746987930e+01,-5.424389954710385098e+00
1.365461847389558159e+01,-4.745503384669763847e+00
1.375502008032128565e+01,-3.619367409897298771e+00
1.385542168674698793e+01,-1.878273999202777933e+00
1.395582329317269021e+01,9.034423000542357585e-07
1.405622489959839427e+01,-6.747893582086368358e-01
1.415662650602409656e+01,-2.455607923712907148e+00
1.425702811244979884e+01,-3.510337545073990206e+00
1.435742971887550112e+01,-4.043831042802541020e+00
1.445783132530120518e+01,-4.298815365254481158e+00
1.455823293172690747e+01,-4.423010894357457090e+00
1.465863453815260975e+01,-4.486042275459509732e+00
1.475903614457831381e+01,-4.520466506804466711e+00
1.485943775100401609e+01,-4.539661942818893792e+00
1.495983935742971838e+01,-4.550657517594568269e+00
1.506024096385542244e+01,-4.557283394476018934e+00
1.516064257028112472e+01,-4.561799860020479436e+00
1.526104417670682700e+01,-4.565491501332967772e+00
1.536144578313252929e+01,-4.569051269869109255e+00
1.546184738955823335e+01,-4.572818375365597099e+00
1.556224899598393563e+01,-4.576926697228680396e+00
1.566265060240963791e+01,-4.581408616165401071e+00
1.576305220883534197e+01,-4.586248977945565741e+00
1.586345381526104426e+01,-4.591412009973406150e+00
1.596385542168674654e+01,-4.596856272476187222e+00
1.606425702811245060e+01,-4.602544269814393907e+00
1.616465863453815288e+01,-4.608438541767603702e+00
1.626506024096385516e+01,-4.614505012717015298e+00
1.636546184738955745e+01,-4.620713338383528601e+00
1.646586345381525973e+01,-4.627038178569895521e+00
1.656626506024096201e+01,-4.633457698555921489e+00
1.666666666666666785e+01,-4.639953475065356159e+00
1.676706827309237013e+01,-4.646511140388779104e+00
1.686746987951807242e+01,-4.653145936076711564e+00
1.696787148594377470e+01,-4.659888794354911212e+00
1.706827309236947698e+01,-4.666740465068800248e+00
1.716867469879517927e+01,-4.673793737719823760e+00
1.726907630522088510e+01,-4.681084700259146025e+00
1.736947791164658739e+01,-4.688128458374890783e+00
1.746987951807228967e+01,-4.694186520699909160e+00
1.757028112449799195e+01,-4.700619755214867190e+00
1.767068273092369424e+01,-4.707343161085256966e+00
1.777108433734939652e+01,-4.714257184417009583e+00
1.787148594377509880e+01,-4.721291219556956520e+00
1.797188755020080464e+01,-4.728401703407698164e+00
1.807228915662650692e+01,-4.735564639120845243e+00
1.817269076305220921e+01,-4.742763837267020222e+00
1.827309236947791149e+01,-4.749989613508840414e+00
1.837349397590361377e+01,-4.757236838225180620e+00
1.847389558232931606e+01,-4.764485734029185515e+00
1.857429718875501834e+01,-4.771698506768211168e+00
1.867469879518072418e+01,-4.778809735722063579e+00
1.877510040160642646e+01,-4.785723495352712575e+00
