time,R_loc_pc
0.000000000000000000e+00,-1.989714125501303721e-01
1.004016064257028107e-01,-1.998668553250380897e-01
2.008032128514056214e-01,-2.006601875683550473e-01
3.012048192771084043e-01,-2.013637185356803305e-01
4.016064257028112428e-01,-2.019896990820406746e-01
5.020080321285140812e-01,-2.025498763374353750e-01
6.024096385542168086e-01,-2.030553598566188500e-01
7.028112449799196471e-01,-2.035164838068445059e-01
8.032128514056224855e-01,-2.039426801752805551e-01
9.036144578313253239e-01,-2.043424037992688236e-01
1.004016064257028162e+00,-2.047229888677294940e-01
1.104417670682730890e+00,-2.050906119575070519e-01
1.204819277108433617e+00,-2.054502251151280601e-01
1.305220883534136567e+00,-2.058055920936615601e-01
1.405622489959839294e+00,-2.061592082912100943e-01
1.506024096385542244e+00,-2.065123949708967954e-01
1.606425702811244971e+00,-2.068653423653450396e-01
1.706827309236947698e+00,-2.072171930376366933e-01
1.807228915662650648e+00,-2.075661538166943543e-01
1.907630522088353375e+00,-2.079096291636203242e-01
2.008032128514056325e+00,-2.082443672711180027e-01
2.108433734939759052e+00,-2.085666242506133417e-01
2.208835341365461780e+00,-2.088723201396765483e-01
2.309236947791164507e+00,-2.091572327904852591e-01
2.409638554216867234e+00,-2.094171680789033707e-01
2.510040160642570406e+00,-2.096481217478870507e-01
2.610441767068273133e+00,-2.098464569019776182e-01
2.710843373493975861e+00,-2.100090357842302469e-01
2.811244979919678588e+00,-2.101333579783114525e-01
2.911646586345381316e+00,-2.102176608260512003e-01
3.012048192771084487e+00,-2.102610055925954735e-01
3.112449799196787215e+00,-2.102633287085686198e-01
3.212851405622489942e+00,-2.102254723923510649e-01
3.313253012048192669e+00,-2.101491779898958523e-01
3.413654618473895397e+00,-2.100370554699970138e-01
3.514056224899598568e+00,-2.098925223478051993e-01
3.614457831325301296e+00,-2.097197255079781830e-01
3.714859437751004023e+00,-2.095234291083166167e-01
3.815261044176706751e+00,-2.093088941876753983e-01
3.915662650602409478e+00,-2.090817372273010566e-01
4.016064257028112650e+00,-2.088477804459683007e-01
4.116465863453814933e+00,-2.086128983509974444e-01
4.216867469879518104e+00,-2.083828614509922184e-01
4.317269076305221276e+00,-2.081631813314746560e-01
4.417670682730923559e+00,-2.079589687407683019e-01
4.518072289156626731e+00,-2.077747982043356423e-01
4.618473895582329014e+00,-2.076145940204320861e-01
4.718875502008032186e+00,-2.074815294548203459e-01
4.819277108433734469e+00,-2.073779494297838255e-01
4.919678714859437640e+00,-2.073053178396592200e-01
5.020080321285140812e+00,-2.072641840213175768e-01
5.120481927710843095e+00,-2.072541833807698408e-01
5.220883534136546267e+00,-2.072740512014946690e-01
