time,R_spec
0.000000000000000000e+00,2.989261502194178605e-02
1.004016064257028107e-01,3.833099823441760146e-02
2.008032128514056214e-01,4.060810377476553601e-02
3.012048192771084043e-01,3.891135599988935351e-02
4.016064257028112428e-01,4.187080814958524244e-02
5.020080321285140812e-01,4.325630251045996244e-02
6.024096385542168086e-01,3.901641472995653892e-02
7.028112449799196471e-01,3.182938353739492993e-02
8.032128514056224855e-01,2.613005774032682582e-02
9.036144578313253239e-01,2.328309664051845390e-02
1.004016064257028162e+00,2.272533878364468157e-02
1.104417670682730890e+00,2.499918826192897708e-02
1.204819277108433617e+00,3.150103024812228592e-02
1.305220883534136567e+00,4.186127851282761547e-02
1.405622489959839294e+00,3.968957172281062373e-02
1.506024096385542244e+00,2.899796990956663573e-02
1.606425702811244971e+00,2.291510157940224168e-02
1.706827309236947698e+00,2.074007772413560130e-02
1.807228915662650648e+00,2.259166611359572641e-02
1.907630522088353375e+00,3.288152140909476190e-02
2.008032128514056325e+00,4.573030065798058819e-02
2.108433734939759052e+00,2.599673421115806377e-02
2.208835341365461780e+00,1.746759603456319102e-02
2.309236947791164507e+00,1.381331267899936141e-02
2.409638554216867234e+00,1.138936682580023174e-02
2.510040160642570406e+00,1.055015617801412231e-02
2.610441767068273133e+00,1.370440739004423827e-02
2.710843373493975861e+00,2.185422133766896924e-02
2.811244979919678588e+00,1.570045170770072510e-02
2.911646586345381316e+00,8.558364916354021038e-03
3.012048192771084487e+00,6.724903421785726962e-03
3.112449799196787215e+00,5.305398389280254097e-03
3.212851405622489942e+00,3.757946947792336657e-03
3.313253012048192669e+00,2.729464848552652645e-03
3.413654618473895397e+00,2.287763450012141216e-03
3.514056224899598568e+00,2.470166658761270562e-03
3.614457831325301296e+00,4.127993908895073727e-03
3.714859437751004023e+00,2.564038129442266362e-02
3.815261044176706751e+00,6.869046942928662414e-03
3.915662650602409478e+00,3.385661017598476374e-03
4.016064257028112650e+00,2.741863524174863870e-03
4.116465863453814933e+00,2.899580833868945808e-03
4.216867469879518104e+00,3.046939697558353338e-03
4.317269076305221276e+00,2.124865981450728067e-03
4.417670682730923559e+00,1.282377909368562566e-03
4.518072289156626731e+00,8.514574000311157798e-04
4.618473895582329014e+00,7.064988877090658259e-04
4.718875502008032186e+00,8.620047258647567379e-04
4.819277108433734469e+00,2.056497822856939717e-03
4.919678714859437640e+00,5.746729960773633294e-03
5.020080321285140812e+00,8.839607671588117777e-04
5.120481927710843095e+00,5.120692938448273557e-04
5.220883534136546267e+00,4.909050936454557867e-04
5.321285140562248550e+00,6.131780975376282866e-04
5.421686746987951722e+00,7.437025679486586457e-04
5.522088353413654893e+00,4.674826063388657477e-04
5.622489959839357176e+00,2.216572540515003727e-04
5.722891566265060348e+00,1.114522232387198439e-04
5.823293172690762631e+00,6.705069804649844230e-05
5.923694779116465803e+00,5.575022767705375081e-05
6.024096385542168974e+00,8.062999624468709112e-05
6.124497991967871258e+00,3.569234093905720995e-04
6.224899598393574429e+00,2.980499278435412482e-04
6.325301204819276712e+00,1.148990700578451848e-04
6.425702811244979884e+00,1.008734068783847252e-04
6.526104417670683056e+00,1.224176224719082911e-04
6.626506024096385339e+00,1.727236693754736487e-04
6.726907630522088510e+00,2.567921861086014477e-04
6.827309236947790794e+00,3.532364092098345195e-04
6.927710843373493965e+00,2.969934774641666271e-04
7.028112449799197137e+00,1.626536839144385801e-04
7.128514056224899420e+00,8.249428118150178824e-05
7.228915662650602592e+00,4.158344830155380245e-05
7.329317269076304875e+00,2.123896044295616608e-05
7.429718875502008046e+00,1.114113271251645803e-05
7.530120481927711218e+00,6.103611408736404705e-06
7.630522088353413501e+00,3.579477516125047008e-06
