time,R_spec_pc
0.000000000000000000e+00,1.084317222632805722e-01
1.004016064257028107e-01,1.247400507383189527e-01
2.008032128514056214e-01,1.365451600518649000e-01
3.012048192771084043e-01,1.303285845596221793e-01
4.016064257028112428e-01,1.186991580958431935e-01
5.020080321285140812e-01,1.065269452142488527e-01
6.024096385542168086e-01,9.618291616852917003e-02
7.028112449799196471e-01,8.881455693975379151e-02
8.032128514056224855e-01,8.466159857063945693e-02
9.036144578313253239e-01,8.362838823141754974e-02
1.004016064257028162e+00,8.563041677660765405e-02
1.104417670682730890e+00,9.082194046296701573e-02
1.204819277108433617e+00,9.961793732656618050e-02
1.305220883534136567e+00,1.125902850194483440e-01
1.405622489959839294e+00,1.224524621806438174e-01
1.506024096385542244e+00,1.218814197999636695e-01
1.606425702811244971e+00,1.216889381534962677e-01
1.706827309236947698e+00,1.221113303087586754e-01
1.807228915662650648e+00,1.233699846735561712e-01
1.907630522088353375e+00,1.256373439310037587e-01
2.008032128514056325e+00,1.265732839832849066e-01
2.108433734939759052e+00,1.211596545293113225e-01
2.208835341365461780e+00,1.169510990763363567e-01
2.309236947791164507e+00,1.153899405320064908e-01
2.409638554216867234e+00,1.170789825403686091e-01
2.510040160642570406e+00,1.127218939703932832e-01
2.610441767068273133e+00,8.939243002330707344e-02
2.710843373493975861e+00,7.296770143148245680e-02
2.811244979919678588e+00,6.260790895000911682e-02
2.911646586345381316e+00,5.682102541518563310e-02
3.012048192771084487e+00,5.419356548651760308e-02
3.112449799196787215e+00,5.371496963701437311e-02
3.212851405622489942e+00,5.490753485177275739e-02
3.313253012048192669e+00,5.777435765106475607e-02
3.413654618473895397e+00,6.278646161571323214e-02
3.514056224899598568e+00,7.085150160317225942e-02
3.614457831325301296e+00,8.337128354792419649e-02
3.714859437751004023e+00,1.021729153916899058e-01
3.815261044176706751e+00,1.036212806458675639e-01
3.915662650602409478e+00,9.875710374541518677e-02
4.016064257028112650e+00,9.456602421773457889e-02
4.116465863453814933e+00,9.135508162537114840e-02
4.216867469879518104e+00,8.924108096097360665e-02
4.317269076305221276e+00,8.833982858468053534e-02
4.417670682730923559e+00,8.890365070262296054e-02
4.518072289156626731e+00,9.148258882620544097e-02
4.618473895582329014e+00,9.700189388665977908e-02
4.718875502008032186e+00,1.068748563928895445e-01
4.819277108433734469e+00,1.230295222560175983e-01
4.919678714859437640e+00,1.412071406758113046e-01
5.020080321285140812e+00,1.173125957085041637e-01
5.120481927710843095e+00,9.603245840600824201e-02
5.220883534136546267e+00,8.392675513978592461e-02
5.321285140562248550e+00,7.732224411553891008e-02
5.421686746987951722e+00,7.404909886038020528e-02
5.522088353413654893e+00,7.300709140837753630e-02
5.622489959839357176e+00,7.393889694078421837e-02
5.722891566265060348e+00,7.735675516862049184e-02
5.823293172690762631e+00,8.476335452292560468e-02
5.923694779116465803e+00,9.930277238695658926e-02
6.024096385542168974e+00,1.088527237449767315e-01
6.124497991967871258e+00,8.817822208986791921e-02
6.224899598393574429e+00,7.474449691909376692e-02
6.325301204819276712e+00,6.731479883766074146e-02
6.425702811244979884e+00,6.406166113652193850e-02
6.526104417670683056e+00,6.331734368333905016e-02
6.626506024096385339e+00,6.391988011891049093e-02
6.726907630522088510e+00,6.520093470240141686e-02
6.827309236947790794e+00,6.681651126403365115e-02
6.927710843373493965e+00,6.860193050099565315e-02
7.028112449799197137e+00,7.048593548184041435e-02
7.128514056224899420e+00,7.244469285697739680e-02
7.228915662650602592e+00,7.448009970323656026e-02
7.329317269076304875e+00,7.661124718820253032e-02
7.429718875502008046e+00,7.887238476142019450e-02
7.530120481927711218e+00,8.131258439412075711e-02
7.630522088353413501e+00,8.399145214997510989e-02
7.730923694779116673e+00,8.695973434615664188e-02
7.831325301204818956e+00,9.021298743577688128e-02
7.931726907630522128e+00,9.359997547202517088e-02
8.032128514056225299e+00,9.675766035865407400e-02
8.132530120481927582e+00,8.306803024939227176e-02
8.232931726907629866e+00,7.156063920569651071e-02
8.333333333333333925e+00,6.370015965664801993e-02
8.433734939759036209e+00,5.887725003725327588e-02
8.534136546184738492e+00,5.626490058991251431e-02
8.634538152610442552e+00,5.509034589899439172e-02
8.734939759036144835e+00,5.479526687294505871e-02
8.835341365461847118e+00,5.502448547426461167e-02
8.935742971887549402e+00,5.557664466834846828e-02
9.036144578313253461e+00,5.634413364844793881e-02
9.136546184738955745e+00,5.727304961797667626e-02
9.236947791164658028e+00,5.833897226865160379e-02
9.337349397590362088e+00,5.953308847415791916e-02
9.437751004016064371e+00,6.085545178599004179e-02
9.538152610441766655e+00,6.231268766979901341e-02
9.638554216867468938e+00,6.391891508653026188e-02
9.738955823293172998e+00,6.569939006569480711e-02
9.839357429718875281e+00,6.769713283965399231e-02
9.939759036144577564e+00,6.998542794601833594e-02
1.004016064257028162e+01,7.268444344705751736e-02
