time,R_norm
0.000000000000000000e+00,-1.426061515000001236e+02
1.004016064257028107e-01,-4.077426114388136114e+01
2.008032128514056214e-01,-2.143761803860519066e+01
3.012048192771084043e-01,-1.993069611658352258e+01
4.016064257028112428e-01,-3.434776754886638628e+01
5.020080321285140812e-01,-5.461108793545140117e+01
6.024096385542168086e-01,-6.039728134064114329e+01
7.028112449799196471e-01,-4.573680142016034722e+01
8.032128514056224855e-01,-2.615306816669927414e+01
9.036144578313253239e-01,-1.836059399505073486e+01
1.004016064257028162e+00,-2.643273086917877990e+01
1.104417670682730890e+00,-4.448000269128237960e+01
1.204819277108433617e+00,-6.153916977433235758e+01
1.305220883534136567e+00,-6.638780821132313292e+01
1.405622489959839294e+00,-5.471607366204226253e+01
1.506024096385542244e+00,-3.414153426019500870e+01
1.606425702811244971e+00,-2.010121027487456047e+01
1.706827309236947698e+00,-2.736476125414980132e+01
1.807228915662650648e+00,-6.234416788669445708e+01
1.907630522088353375e+00,-1.127988320133524098e+02
2.008032128514056325e+00,-1.439762281292908881e+02
2.108433734939759052e+00,-1.260466930131971424e+02
2.208835341365461780e+00,-7.227854731447263248e+01
2.309236947791164507e+00,-2.921299269452812197e+01
2.409638554216867234e+00,-3.784242785205220372e+01
2.510040160642570406e+00,-1.101337163461891038e+02
2.610441767068273133e+00,-2.014516505790322185e+02
2.710843373493975861e+00,-2.217649185197220731e+02
2.811244979919678588e+00,-1.504397189107661461e+02
2.911646586345381316e+00,-6.545671432235445764e+01
3.012048192771084487e+00,-1.991887706212683540e+01
3.112449799196787215e+00,-7.896503817747123399e+00
3.212851405622489942e+00,-1.263049320730803338e+01
3.313253012048192669e+00,-2.749004982394349028e+01
3.413654618473895397e+00,-5.192815816903510751e+01
3.514056224899598568e+00,-8.350851854933516449e+01
3.614457831325301296e+00,-1.116742117567830519e+02
3.714859437751004023e+00,-1.203513602877267630e+02
3.815261044176706751e+00,-1.023389909190160552e+02
3.915662650602409478e+00,-6.832917275584027550e+01
4.016064257028112650e+00,-3.590729781318035663e+01
4.116465863453814933e+00,-1.443257149851697818e+01
4.216867469879518104e+00,-4.249704838597162748e+00
4.317269076305221276e+00,-3.427717715328382209e+00
4.417670682730923559e+00,-1.292895491812278941e+01
4.518072289156626731e+00,-3.859810593205517648e+01
4.618473895582329014e+00,-8.817494650700071190e+01
4.718875502008032186e+00,-1.574189854066206351e+02
4.819277108433734469e+00,-2.123919604698983221e+02
4.919678714859437640e+00,-2.084110690172862235e+02
5.020080321285140812e+00,-1.477919959448468035e+02
5.120481927710843095e+00,-7.843069152679092326e+01
5.220883534136546267e+00,-3.265926122978900992e+01
5.321285140562248550e+00,-1.056355951582079022e+01
5.421686746987951722e+00,-2.250167610974850074e+00
5.522088353413654893e+00,-1.622642196071713006e+00
5.622489959839357176e+00,-9.282151803836923065e+00
5.722891566265060348e+00,-3.442859091499085622e+01
5.823293172690762631e+00,-9.614079615284130398e+01
5.923694779116465803e+00,-2.047561733409693545e+02
6.024096385542168974e+00,-3.064249882788329842e+02
6.124497991967871258e+00,-2.941725797468036490e+02
6.224899598393574429e+00,-1.748528000377077944e+02
6.325301204819276712e+00,-6.735579105900848162e+01
6.425702811244979884e+00,-1.835959328942035995e+01
6.526104417670683056e+00,-3.861053316575659533e+00
6.626506024096385339e+00,-6.875276843984347019e-01
6.726907630522088510e+00,-1.482159032955575606e-01
6.827309236947790794e+00,-8.369598620064358507e-02
6.927710843373493965e+00,-9.854626638286720364e-02
7.028112449799197137e+00,-1.596453875937609845e-01
7.128514056224899420e+00,-3.225418269181609121e-01
7.228915662650602592e+00,-7.347595304050200671e-01
7.329317269076304875e+00,-1.745983595253469911e+00
7.429718875502008046e+00,-4.154806386844686727e+00
7.530120481927711218e+00,-9.659627689050125809e+00
7.630522088353413501e+00,-2.142528202529515013e+01
7.730923694779116673e+00,-4.396493163456281650e+01
7.831325301204818956e+00,-8.018623145402739283e+01
7.931726907630522128e+00,-1.238406847065551517e+02
8.032128514056225299e+00,-1.541143010307959855e+02
8.132530120481927582e+00,-1.485845559309536554e+02
8.232931726907629866e+00,-1.094735813261413853e+02
8.333333333333333925e+00,-6.266131784791453896e+01
8.433734939759036209e+00,-2.881493046070606212e+01
8.534136546184738492e+00,-1.108025609905735998e+01
8.634538152610442552e+00,-3.654405904627640922e+00
8.734939759036144835e+00,-1.055624144257163000e+00
8.835341365461847118e+00,-2.694126394788797230e-01
8.935742971887549402e+00,-6.333231621197188410e-02
9.036144578313253461e+00,-1.744347254641278114e-02
9.136546184738955745e+00,-9.915499728794546774e-03
