time,Rspec_hyper
0.000000000000000000e+00,1.765851983571459227e-02
1.004016064257028107e-01,2.208227515283301551e-02
2.008032128514056214e-01,2.060088852370219048e-02
3.012048192771084043e-01,1.990732201683836217e-02
4.016064257028112428e-01,2.053012779150242134e-02
5.020080321285140812e-01,2.304589881209653107e-02
6.024096385542168086e-01,2.184437459589341768e-02
7.028112449799196471e-01,1.933915994756579132e-02
8.032128514056224855e-01,1.817210197247641837e-02
9.036144578313253239e-01,1.806503550757755650e-02
1.004016064257028162e+00,1.905205506057973050e-02
1.104417670682730890e+00,2.062411164493034577e-02
1.204819277108433617e+00,2.129774591961439145e-02
1.305220883534136567e+00,2.234278469525004945e-02
1.405622489959839294e+00,2.115652481268202878e-02
1.506024096385542244e+00,1.916733986006517731e-02
1.606425702811244971e+00,1.829488523654083931e-02
1.706827309236947698e+00,1.865619843415773291e-02
1.807228915662650648e+00,2.070060590379115689e-02
1.907630522088353375e+00,2.535202619024629067e-02
2.008032128514056325e+00,2.602439577659157455e-02
2.108433734939759052e+00,2.151051084782636125e-02
2.208835341365461780e+00,1.862851041890359327e-02
2.309236947791164507e+00,1.692139211972306517e-02
2.409638554216867234e+00,1.636603365528163309e-02
2.510040160642570406e+00,1.746216774096387772e-02
2.610441767068273133e+00,2.134869471149680731e-02
2.710843373493975861e+00,2.437695664861554146e-02
2.811244979919678588e+00,2.021869890680135992e-02
2.911646586345381316e+00,1.808516603262622438e-02
3.012048192771084487e+00,1.711879522959491862e-02
3.112449799196787215e+00,1.682763632181943567e-02
3.212851405622489942e+00,1.695998709703374491e-02
3.313253012048192669e+00,1.745827213011755946e-02
3.413654618473895397e+00,1.849823019150929893e-02
3.514056224899598568e+00,2.033363312773394521e-02
3.614457831325301296e+00,2.058452681719572658e-02
3.714859437751004023e+00,2.142998901680088358e-02
3.815261044176706751e+00,1.911933988885292784e-02
3.915662650602409478e+00,1.666638911223115166e-02
4.016064257028112650e+00,1.517938022930436295e-02
4.116465863453814933e+00,1.428471287238515172e-02
4.216867469879518104e+00,1.379174206261534613e-02
4.317269076305221276e+00,1.361045147371594405e-02
4.417670682730923559e+00,1.374116018148113794e-02
4.518072289156626731e+00,1.432414258954232966e-02
4.618473895582329014e+00,1.574712241029631310e-02
4.718875502008032186e+00,1.884645533324308397e-02
4.819277108433734469e+00,2.527409598643218236e-02
