time,connectedness
0.000000000000000000e+00,2.855947647619674967e+01
1.004016064257028107e-01,2.752293149659358917e+01
2.008032128514056214e-01,2.748476028349362821e+01
3.012048192771084043e-01,2.785521082149166716e+01
4.016064257028112428e-01,2.837628504547282660e+01
5.020080321285140812e-01,2.886792156870252413e+01
6.024096385542168086e-01,2.919749268830823041e+01
7.028112449799196471e-01,2.932640048240908115e+01
8.032128514056224855e-01,2.931170940284824411e+01
9.036144578313253239e-01,2.923734377220911895e+01
1.004016064257028162e+00,2.915157066828809462e+01
1.104417670682730890e+00,2.905626289295271292e+01
1.204819277108433617e+00,2.892907222542116585e+01
1.305220883534136567e+00,2.875546152539920897e+01
1.405622489959839294e+00,2.855602651280217685e+01
1.506024096385542244e+00,2.838835530976780319e+01
1.606425702811244971e+00,2.831401484773275712e+01
1.706827309236947698e+00,2.835464300362130885e+01
1.807228915662650648e+00,2.846925068130858705e+01
1.907630522088353375e+00,2.856301800782352274e+01
2.008032128514056325e+00,2.853658087702284973e+01
2.108433734939759052e+00,2.838098879237859151e+01
2.208835341365461780e+00,2.824213252014641995e+01
2.309236947791164507e+00,2.833785881067839796e+01
2.409638554216867234e+00,2.878611085192122232e+01
2.510040160642570406e+00,2.951126200695876634e+01
2.610441767068273133e+00,3.025142892046488541e+01
2.710843373493975861e+00,3.067727237841294397e+01
2.811244979919678588e+00,3.065347773720171531e+01
2.911646586345381316e+00,3.035511144321407784e+01
3.012048192771084487e+00,3.002883325507951540e+01
3.112449799196787215e+00,2.978360061067328246e+01
3.212851405622489942e+00,2.962336715161000100e+01
3.313253012048192669e+00,2.952229137018590421e+01
3.413654618473895397e+00,2.944426808037583498e+01
3.514056224899598568e+00,2.933976136231930454e+01
3.614457831325301296e+00,2.915111489947855006e+01
3.714859437751004023e+00,2.883970491442810768e+01
3.815261044176706751e+00,2.842706846340295712e+01
3.915662650602409478e+00,2.800792469393825357e+01
4.016064257028112650e+00,2.769864242655333086e+01
4.116465863453814933e+00,2.756103701694322794e+01
4.216867469879518104e+00,2.758017293931469993e+01
4.317269076305221276e+00,2.770366160932572086e+01
4.417670682730923559e+00,2.788585163975254488e+01
4.518072289156626731e+00,2.809949546669277964e+01
4.618473895582329014e+00,2.831578668604204907e+01
4.718875502008032186e+00,2.846938637874013267e+01
4.819277108433734469e+00,2.844322199889790781e+01
4.919678714859437640e+00,2.813077690983589108e+01
5.020080321285140812e+00,2.756926388498772695e+01
